Produtor singular segundo a OTE e as classes de idade (Baixo Alentejo - Vidigueira),,,,,,,,,,,
,,,,,,,,,,,Pág 7/14
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Mértola,,,,,,,,,,
,Total,   684 ,   64 ,   8 ,   5 ,- ,   60 ,   25 ,   14 ,   2 ,   6 
,15 - 24,   4 ,- ,- ,- ,- ,- ,- ,- ,- ,   1 
,25 - 34,   42 ,   5 ,- ,- ,- ,- ,- ,- ,- ,- 
,35 - 44,   86 ,   13 ,   1 ,- ,- ,- ,- ,- ,- ,   2 
,45 - 54,   87 ,   6 ,- ,   1 ,- ,   5 ,   1 ,   1 ,- ,   2 
,55 - 64,   164 ,   18 ,   2 ,- ,- ,   7 ,   8 ,   5 ,   1 ,- 
,>= 65,   301 ,   22 ,   5 ,   4 ,- ,   48 ,   16 ,   8 ,   1 ,   1 
,Moura,,,,,,,,,,
,Total,  1 549 ,   57 ,   78 ,   5 ,   109 ,   42 ,   634 ,   139 ,- ,   24 
,15 - 24,   3 ,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   69 ,   3 ,   4 ,- ,   2 ,   2 ,   18 ,   3 ,- ,   2 
,35 - 44,   210 ,   9 ,   15 ,   1 ,   13 ,   3 ,   62 ,   15 ,- ,   6 
,45 - 54,   317 ,   14 ,   26 ,   1 ,   28 ,   16 ,   105 ,   23 ,- ,   4 
,55 - 64,   387 ,   13 ,   17 ,   2 ,   21 ,   12 ,   148 ,   49 ,- ,   8 
,>= 65,   563 ,   18 ,   15 ,   1 ,   45 ,   9 ,   301 ,   49 ,- ,   4 
,Ourique,,,,,,,,,,
,Total,   640 ,   50 ,   9 ,- ,   5 ,   2 ,   26 ,   3 ,- ,   20 
,15 - 24,   2 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   24 ,   4 ,- ,- ,- ,   1 ,- ,- ,- ,- 
,35 - 44,   62 ,   11 ,   1 ,- ,   2 ,   1 ,   1 ,- ,- ,   2 
,45 - 54,   109 ,   7 ,   2 ,- ,- ,- ,   3 ,- ,- ,   8 
,55 - 64,   167 ,   14 ,   2 ,- ,   2 ,- ,   3 ,   1 ,- ,   3 
,>= 65,   276 ,   14 ,   4 ,- ,   1 ,- ,   19 ,   2 ,- ,   7 
,Serpa,,,,,,,,,,
,Total,  1 818 ,   115 ,   53 ,   5 ,   2 ,   40 ,   839 ,   56 ,- ,   11 
,15 - 24,   7 ,- ,- ,- ,- ,- ,   2 ,- ,- ,   1 
,25 - 34,   84 ,   11 ,   3 ,- ,- ,- ,   21 ,   1 ,- ,   1 
,35 - 44,   218 ,   19 ,   12 ,- ,- ,   3 ,   64 ,   8 ,- ,   2 
,45 - 54,   319 ,   20 ,   12 ,   1 ,- ,   9 ,   152 ,   6 ,- ,   3 
,55 - 64,   465 ,   30 ,   6 ,   2 ,- ,   14 ,   222 ,   16 ,- ,   1 
,>= 65,   725 ,   35 ,   20 ,   2 ,   2 ,   14 ,   378 ,   25 ,- ,   3 
,Vidigueira,,,,,,,,,,
,Total,   591 ,   50 ,   22 ,   7 ,   140 ,   26 ,   124 ,   64 ,   1 ,   3 
,15 - 24,   3 ,- ,- ,- ,- ,   2 ,- ,- ,- ,- 
,25 - 34,   25 ,   1 ,- ,- ,   4 ,   1 ,   4 ,   3 ,- ,- 
,35 - 44,   61 ,   6 ,   7 ,- ,   11 ,   1 ,   12 ,   3 ,- ,   1 
,45 - 54,   91 ,   8 ,   5 ,   1 ,   28 ,   6 ,   9 ,   8 ,- ,   1 
,55 - 64,   164 ,   15 ,   3 ,   4 ,   38 ,   8 ,   27 ,   23 ,   1 ,   1 
,>= 65,   247 ,   20 ,   7 ,   2 ,   59 ,   8 ,   72 ,   27 ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
