Produtor singular segundo a OTE e as classes de idade (Página 7),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 7/10
Região Agrária,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
,,Vila Nova de Gaia,,,,,,,,,,,
,,,Total,562,13,77,149,3,25,- ,3,9,11
,,,15 - 24,1,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,8,- ,1,2,- ,- ,- ,- ,- ,3
,,,35 - 44,48,1,4,10,1,5,- ,- ,1,3
,,,45 - 54,82,1,15,18,- ,2,- ,1,2,- 
,,,55 - 64,171,1,21,51,1,6,- ,1,2,3
,,,>= 65,252,10,36,68,1,12,- ,1,4,2
,Tâmega,,,,,,,,,,,,
,,,Total,"20,273",65,"1,118",62,"3,921",195,7,608,160,451
,,,15 - 24,77,- ,2,- ,16,1,- ,4,3,8
,,,25 - 34,"1,040",1,45,13,165,15,1,25,13,41
,,,35 - 44,"2,964",20,147,21,463,21,- ,73,33,83
,,,45 - 54,"4,118",12,206,14,761,46,- ,130,40,79
,,,55 - 64,"5,427",8,297,9,946,53,2,164,38,106
,,,>= 65,"6,647",24,421,5,"1,570",59,4,212,33,134
,,Amarante,,,,,,,,,,,
,,,Total,"2,185",8,100,9,633,7,- ,47,8,6
,,,15 - 24,4,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,106,- ,3,1,30,- ,- ,2,2,- 
,,,35 - 44,335,2,10,2,94,- ,- ,6,- ,3
,,,45 - 54,441,3,19,3,130,2,- ,12,2,1
,,,55 - 64,570,1,24,1,148,4,- ,11,3,1
,,,>= 65,729,2,44,2,230,1,- ,16,1,1
,,Baião,,,,,,,,,,,
,,,Total,"1,887",3,102,4,499,16,1,102,2,4
,,,15 - 24,6,- ,1,- ,1,- ,- ,1,- ,- 
,,,25 - 34,96,- ,6,- ,17,3,1,6,1,2
,,,35 - 44,255,1,17,1,58,1,- ,12,- ,1
,,,45 - 54,365,1,18,- ,105,1,- ,16,- ,1
,,,55 - 64,492,- ,23,2,118,4,- ,28,- ,- 
,,,>= 65,673,1,37,1,200,7,- ,39,1,- 
,,Cabeceiras de Basto,,,,,,,,,,,
,,,Total,"1,256",2,62,- ,194,1,- ,22,1,51
,,,15 - 24,5,- ,- ,- ,- ,- ,- ,1,- ,2
,,,25 - 34,57,- ,1,- ,2,1,- ,- ,- ,3
,,,35 - 44,184,1,9,- ,20,- ,- ,1,1,10
,,,45 - 54,240,- ,3,- ,43,- ,- ,3,- ,10
