Produtor singular segundo a OTE e as classes de idade (Página 6),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 6/10
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Trofa,,,,,,,,,,
,,,Total,3,5,- ,69,23,1,23,12,- 
,,,15 - 24,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,1,1,- ,1,- ,- 
,,,35 - 44,1,- ,- ,10,4,- ,4,2,- 
,,,45 - 54,- ,- ,- ,15,8,- ,4,2,- 
,,,55 - 64,2,2,- ,15,1,1,5,5,- 
,,,>= 65,- ,3,- ,27,9,- ,9,3,- 
,,Vieira do Minho,,,,,,,,,,
,,,Total,- ,47,6,411,280,2,28,130,- 
,,,15 - 24,- ,1,- ,- ,- ,- ,- ,1,- 
,,,25 - 34,- ,8,1,8,13,- ,1,1,- 
,,,35 - 44,- ,7,3,61,39,1,5,20,- 
,,,45 - 54,- ,10,1,68,44,1,7,34,- 
,,,55 - 64,- ,16,- ,135,96,- ,8,26,- 
,,,>= 65,- ,5,1,139,88,- ,7,48,- 
,,Vila Nova de Famalicão,,,,,,,,,,
,,,Total,8,11,2,506,159,6,84,81,4
,,,15 - 24,1,- ,- ,1,- ,- ,- ,1,- 
,,,25 - 34,- ,- ,1,11,4,- ,3,2,1
,,,35 - 44,1,1,1,32,12,- ,6,5,- 
,,,45 - 54,2,6,- ,73,30,2,8,16,1
,,,55 - 64,2,2,- ,141,58,3,27,30,2
,,,>= 65,2,2,- ,248,55,1,40,27,- 
,,Vizela,,,,,,,,,,
,,,Total,1,2,- ,103,19,- ,5,14,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,6,- ,- ,- ,2,- 
,,,35 - 44,1,1,- ,11,7,- ,1,1,- 
,,,45 - 54,- ,- ,- ,20,5,- ,- ,1,- 
,,,55 - 64,- ,1,- ,31,4,- ,2,5,- 
,,,>= 65,- ,- ,- ,35,3,- ,2,5,- 
,Grande Porto,,,,,,,,,,,
,,,Total,70,51,12,885,180,20,192,131,- 
,,,15 - 24,1,- ,- ,2,- ,- ,1,- ,- 
,,,25 - 34,6,4,- ,18,7,- ,5,8,- 
,,,35 - 44,9,7,2,87,24,1,14,14,- 
,,,45 - 54,14,7,3,168,37,5,44,28,- 
,,,55 - 64,21,20,4,258,49,5,63,45,- 
,,,>= 65,19,13,3,352,63,9,65,36,- 
,,Espinho,,,,,,,,,,
,,,Total,- ,- ,- ,13,2,- ,1,1,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,- ,- ,2,- ,- ,- ,- ,- 
,,,45 - 54,- ,- ,- ,4,- ,- ,- ,1,- 
,,,55 - 64,- ,- ,- ,2,1,- ,- ,- ,- 
,,,>= 65,- ,- ,- ,5,1,- ,1,- ,- 
