Culturas regadas (Página 1),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 1/2
Região Agrária,,,,Trigo mole,Trigo duro,Milho híbrido,Milho regional,Arroz,Milho para silagem,Milharada,Outras culturas forrageiras,Prados temporários,Batata excepto a da horta familiar
,Nut III,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,
Entre Douro e Minho,,,expl (nº),168,- ,"25,247","26,374",- ,"9,488","8,408","18,309","8,147","37,412"
,,,área regada (ha),67,- ,"21,556","18,306",- ,"35,064","3,207","18,633","5,827","5,853"
,Minho Lima ,,expl (nº),- ,- ,"8,076","6,428",- ,"1,005","1,573","6,274","4,315","6,251"
,,,área regada (ha),- ,- ,"4,517","2,927",- ,"2,042",232,"4,247","2,382",456
,,Arcos de Valdevez,expl (nº),- ,- ,640,"2,184",- ,19,383,"1,341","1,145","1,667"
,,,área regada (ha),- ,- ,314,971,- ,45,53,817,639,88
,,Caminha,expl (nº),- ,- ,372,52,- ,37,35,48,5,155
,,,área regada (ha),- ,- ,171,8,- ,32,3,9,2,7
,,Melgaço,expl (nº),- ,- ,827,177,- ,2,98,131,226,653
,,,área regada (ha),- ,- ,204,32,- ,... ,9,33,61,40
,,Monção,expl (nº),- ,- ,"1,195",995,- ,28,466,"1,433",933,"1,510"
,,,área regada (ha),- ,- ,422,344,- ,40,54,536,246,89
,,Paredes de Coura,expl (nº),- ,- ,515,623,- ,64,78,950,944,219
,,,área regada (ha),- ,- ,224,243,- ,104,12,824,914,23
,,Ponte da Barca,expl (nº),- ,- ,339,783,- ,8,144,491,443,748
,,,área regada (ha),- ,- ,177,376,- ,31,25,357,220,69
,,Ponte de Lima,expl (nº),- ,- ,"2,027","1,125",- ,428,224,"1,120",303,358
,,,área regada (ha),- ,- ,"1,499",734,- ,857,47,"1,027",157,33
,,Valença,expl (nº),- ,- ,502,209,- ,21,64,496,170,182
,,,área regada (ha),- ,- ,393,100,- ,47,16,360,83,16
,,Viana do Castelo,expl (nº),- ,- ,"1,425",165,- ,373,74,76,77,554
,,,área regada (ha),- ,- ,941,50,- ,673,12,37,29,69
,,Vila Nova de Cerveira,expl (nº),- ,- ,234,115,- ,25,7,188,69,205
,,,área regada (ha),- ,- ,172,69,- ,210,1,247,31,22
,Cávado,,expl (nº),1,- ,"4,284","3,416",- ,"3,599",603,"1,886",729,"4,795"
,,,área regada (ha),... ,- ,"4,131","2,473",- ,"11,207",152,"1,602",420,630
,,Amares,expl (nº),- ,- ,509,216,- ,61,86,119,8,575
,,,área regada (ha),- ,- ,528,189,- ,216,25,116,8,59
,,Barcelos,expl (nº),- ,- ,800,"1,006",- ,"2,525",128,187,49,"1,473"
,,,área regada (ha),- ,- ,554,640,- ,"7,802",27,144,28,186
,,Braga,expl (nº),1,- ,858,469,- ,363,28,42,40,797
,,,área regada (ha),... ,- ,"1,389",567,- ,"1,411",11,74,30,194
,,Esposende,expl (nº),- ,- ,556,113,- ,446,27,38,12,182
,,,área regada (ha),- ,- ,315,46,- ,"1,113",7,19,3,44
,,Terras de Bouro,expl (nº),- ,- ,224,487,- ,2,104,280,72,593
,,,área regada (ha),- ,- ,139,286,- ,... ,22,298,82,40
,,Vila Verde,expl (nº),- ,- ,"1,337","1,125",- ,202,230,"1,220",548,"1,175"
,,,área regada (ha),- ,- ,"1,206",745,- ,663,60,951,269,107
,Ave,,expl (nº),1,- ,"2,418","4,505",- ,"1,577",814,"2,323","1,430","5,922"
,,,área regada (ha),... ,- ,"2,756","4,648",- ,"7,343",373,"3,276","1,776","1,068"
,,Fafe,expl (nº),1,- ,446,"1,393",- ,59,193,"1,384","1,014","1,560"
,,,área regada (ha),... ,- ,447,"1,116",- ,255,81,"1,751","1,421",264
,,Guimarães,expl (nº),- ,- ,658,707,- ,260,141,320,37,"1,166"
,,,área regada (ha),- ,- ,962,"1,086",- ,"1,257",59,692,34,246
,,Póvoa de Lanhoso,expl (nº),- ,- ,259,669,- ,93,132,165,136,688
,,,área regada (ha),- ,- ,293,740,- ,493,72,268,135,65
,,Santo Tirso,expl (nº),- ,- ,332,246,- ,153,26,7,57,573
,,,área regada (ha),- ,- ,411,236,- ,748,8,15,41,111
,,Trofa,expl (nº),- ,- ,145,41,- ,214,29,36,1,243
,,,área regada (ha),- ,- ,118,35,- ,"1,067",13,16,... ,121
,,Vieira do Minho,expl (nº),- ,- ,382,591,- ,25,262,291,152,792
,,,área regada (ha),- ,- ,234,378,- ,106,131,306,105,101
,,Vila Nova de Famalicão,expl (nº),- ,- ,115,785,- ,754,19,107,28,784
,,,área regada (ha),- ,- ,164,982,- ,"3,330",4,211,30,128
,,Vizela,expl (nº),- ,- ,81,73,- ,19,12,13,5,116
,,,área regada (ha),- ,- ,127,75,- ,87,5,17,5,32
,Grande Porto,,expl (nº),- ,- ,"1,266",480,- ,"1,542",93,474,62,"2,097"
,,,área regada (ha),- ,- ,"1,257",348,- ,"9,315",37,507,68,829
,,Espinho,expl (nº),- ,- ,23,4,- ,- ,- ,- ,- ,12
,,,área regada (ha),- ,- ,23,2,- ,- ,- ,- ,- ,2
,,Gondomar,expl (nº),- ,- ,331,105,- ,31,18,36,- ,407
,,,área regada (ha),- ,- ,350,71,- ,106,6,16,- ,136
,,Maia,expl (nº),- ,- ,139,30,- ,184,7,27,16,260
,,,área regada (ha),- ,- ,149,31,- ,"1,011",4,43,20,166
,,Matosinhos,expl (nº),- ,- ,75,24,- ,171,2,94,7,216
,,,área regada (ha),- ,- ,71,21,- ,798,... ,122,10,92
,,Póvoa de Varzim,expl (nº),- ,- ,93,114,- ,384,23,89,3,367
,,,área regada (ha),- ,- ,43,63,- ,"2,051",4,90,8,79
,,Valongo,expl (nº),- ,- ,147,45,- ,53,24,63,5,146
,,,área regada (ha),- ,- ,132,26,- ,267,12,61,4,42
,,Vila do Conde,expl (nº),- ,- ,123,108,- ,692,6,111,23,450
,,,área regada (ha),- ,- ,80,95,- ,"4,918",2,99,20,235
,,Vila Nova de Gaia,expl (nº),- ,- ,335,50,- ,27,13,54,8,239
,,,área regada (ha),- ,- ,409,39,- ,164,8,76,6,77
,Tâmega,,expl (nº),166,- ,"6,190","10,012",- ,938,"4,287","6,952","1,489","14,850"
,,,área regada (ha),67,- ,"6,831","7,148",- ,"3,157","2,210","8,924","1,128","2,523"
,,Amarante,expl (nº),- ,- ,801,924,- ,73,833,808,36,"1,480"
,,,área regada (ha),- ,- ,934,882,- ,246,589,955,24,226
,,Baião,expl (nº),2,- ,60,"1,411",- ,5,351,546,417,"1,561"
,,,área regada (ha),... ,- ,35,832,- ,36,121,370,303,260
,,Cabeceiras de Basto,expl (nº),- ,- ,281,753,- ,17,323,107,21,964
,,,área regada (ha),- ,- ,242,662,- ,28,247,103,22,166
,,Castelo de Paiva,expl (nº),2,- ,125,483,- ,19,93,19,10,678
,,,área regada (ha),... ,- ,93,329,- ,74,52,3,2,85
,,Celorico de Basto,expl (nº),3,- ,700,804,- ,71,612,"1,244",298,"1,344"
