Explorações segundo o número de bovinos ( Classes do número de animais 30 a >=300),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 2/2
Região Agrária,,,,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,
,,Concelho,,30 a 39,40 a 49,50 a 59,60 a 99,100 a 199,200 a 299,>= 300
,,Celorico de Basto,expl (nº),6,1,4,3,- ,- ,- 
,,,efect (nº),195,... ,218,218,- ,- ,- 
,,Cinfães,expl (nº),1,- ,- ,- ,- ,- ,- 
,,,efect (nº),... ,- ,- ,- ,- ,- ,- 
,,Felgueiras,expl (nº),6,3,5,2,3,- ,- 
,,,efect (nº),186,132,266,... ,466,- ,- 
,,Lousada,expl (nº),10,2,2,3,3,- ,2
,,,efect (nº),346,... ,... ,229,419,- ,... 
,,Marco de Canaveses,expl (nº),1,1,- ,- ,1,- ,- 
,,,efect (nº),... ,... ,- ,- ,... ,- ,- 
,,Mondim de Basto,expl (nº),1,1,- ,- ,- ,- ,- 
,,,efect (nº),... ,... ,- ,- ,- ,- ,- 
,,Paços de Ferreira,expl (nº),5,9,1,5,- ,- ,- 
,,,efect (nº),166,376,... ,377,- ,- ,- 
,,Paredes,expl (nº),5,2,1,4,3,- ,- 
,,,efect (nº),167,... ,... ,313,444,- ,- 
,,Penafiel,expl (nº),10,2,- ,3,3,1,- 
,,,efect (nº),327,... ,- ,228,456,... ,- 
,,Resende,expl (nº),- ,- ,- ,2,- ,- ,- 
,,,efect (nº),- ,- ,- ,... ,- ,- ,- 
,,Ribeira de Pena,expl (nº),5,3,1,3,1,- ,- 
,,,efect (nº),170,129,... ,233,... ,- ,- 
,Entre Douro e Vouga,,expl (nº),61,46,19,46,18,1,- 
,,,efect (nº),"2,065","2,028","1,016","3,488","2,325",... ,- 
,,Arouca,expl (nº),16,18,4,7,3,- ,- 
,,,efect (nº),539,777,224,502,379,- ,- 
,,Oliveira de Azeméis,expl (nº),33,19,14,30,13,- ,- 
,,,efect (nº),"1,119",840,740,"2,269","1,691",- ,- 
,,Santa Maria da Feira,expl (nº),10,8,1,9,2,1,- 
,,,efect (nº),347,369,... ,717,... ,... ,- 
,,São João da Madeira,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Vale de Cambra,expl (nº),2,1,- ,- ,- ,- ,- 
,,,efect (nº),... ,... ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,
,,,,,,,,,,
