Produtor singular segundo a OTE e as classes de idade (Página 9),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 9/10
Região Agrária,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
,,Paços de Ferreira,,,,,,,,,,,
,,,Total,601,12,62,4,42,3,- ,5,40,11
,,,15 - 24,3,- ,- ,- ,- ,- ,- ,- ,1,- 
,,,25 - 34,18,- ,2,1,- ,- ,- ,- ,3,1
,,,35 - 44,56,2,3,1,1,- ,- ,- ,7,2
,,,45 - 54,100,1,12,1,6,2,- ,1,7,1
,,,55 - 64,182,1,16,- ,12,1,- ,1,12,3
,,,>= 65,242,8,29,1,23,- ,- ,3,10,4
,,Paredes,,,,,,,,,,,
,,,Total,"1,175",6,83,9,162,9,- ,16,23,15
,,,15 - 24,1,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,54,- ,6,1,9,- ,- ,- ,1,1
,,,35 - 44,159,1,7,3,11,1,- ,1,6,5
,,,45 - 54,281,- ,23,2,37,1,- ,2,9,2
,,,55 - 64,322,2,18,3,42,2,- ,3,5,3
,,,>= 65,358,3,29,- ,63,5,- ,10,2,4
,,Penafiel,,,,,,,,,,,
,,,Total,"1,864",5,121,7,341,7,- ,34,14,10
,,,15 - 24,5,- ,- ,- ,- ,- ,- ,- ,1,- 
,,,25 - 34,92,- ,2,2,18,1,- ,2,1,- 
,,,35 - 44,275,1,23,3,40,- ,- ,- ,4,3
,,,45 - 54,427,2,28,1,68,- ,- ,11,4,2
,,,55 - 64,493,- ,35,1,84,1,- ,8,2,5
,,,>= 65,572,2,33,- ,131,5,- ,13,2,- 
,,Resende,,,,,,,,,,,
,,,Total,"1,230",2,24,- ,367,118,- ,219,4,86
,,,15 - 24,5,- ,- ,- ,2,1,- ,1,- ,- 
,,,25 - 34,83,- ,2,- ,20,9,- ,8,1,6
,,,35 - 44,190,1,7,- ,48,16,- ,32,- ,10
,,,45 - 54,236,- ,6,- ,53,34,- ,50,1,15
,,,55 - 64,340,- ,4,- ,104,29,- ,61,- ,26
,,,>= 65,376,1,5,- ,140,29,- ,67,2,29
,,Ribeira de Pena,,,,,,,,,,,
,,,Total,879,2,130,- ,75,3,4,11,10,69
,,,15 - 24,10,- ,- ,- ,- ,- ,- ,- ,- ,1
,,,25 - 34,49,- ,5,- ,4,- ,- ,- ,1,9
,,,35 - 44,119,1,8,- ,10,- ,- ,1,1,10
,,,45 - 54,155,- ,21,- ,7,- ,- ,4,2,11
,,,55 - 64,226,- ,40,- ,13,2,2,2,4,12
,,,>= 65,320,1,56,- ,41,1,2,4,2,26
,Entre Douro e Vouga,,,,,,,,,,,,
,,,Total,"5,047",43,353,38,112,45,- ,40,752,144
,,,15 - 24,9,1,- ,- ,- ,- ,- ,- ,1,1
,,,25 - 34,215,1,11,7,3,2,- ,- ,42,10
,,,35 - 44,690,4,28,7,9,3,- ,3,128,30
,,,45 - 54,"1,144",5,64,7,19,8,- ,7,206,46
,,,55 - 64,"1,343",7,70,8,27,11,- ,13,208,27
,,,>= 65,"1,646",25,180,9,54,21,- ,17,167,30
,,Arouca,,,,,,,,,,,
,,,Total,"1,678",1,51,4,41,7,- ,26,155,69
,,,15 - 24,5,- ,- ,- ,- ,- ,- ,- ,1,1
,,,25 - 34,109,- ,8,2,3,- ,- ,- ,18,5
,,,35 - 44,309,- ,6,- ,5,1,- ,3,34,16
,,,45 - 54,405,- ,8,- ,9,2,- ,5,48,25
,,,55 - 64,416,1,7,1,8,1,- ,10,36,12
,,,>= 65,434,- ,22,1,16,3,- ,8,18,10
,,Oliveira de Azeméis,,,,,,,,,,,
,,,Total,"1,056",8,78,20,12,14,- ,5,284,45
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,30,1,1,1,- ,2,- ,- ,10,2
,,,35 - 44,141,1,12,5,- ,- ,- ,- ,59,11
,,,45 - 54,222,1,15,4,- ,3,- ,1,77,11
,,,55 - 64,316,2,15,6,4,3,- ,1,84,9
,,,>= 65,347,3,35,4,8,6,- ,3,54,12
,,Santa Maria da Feira,,,,,,,,,,,
,,,Total,976,32,180,7,1,19,- ,1,105,20
,,,15 - 24,2,1,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,19,- ,1,2,- ,- ,- ,- ,5,2
,,,35 - 44,75,2,6,1,- ,2,- ,- ,13,3
,,,45 - 54,204,4,27,1,- ,2,- ,1,32,7
,,,55 - 64,267,4,42,- ,1,6,- ,- ,36,4
,,,>= 65,409,21,104,3,- ,9,- ,- ,19,4
,,São João da Madeira,,,,,,,,,,,
,,,Total,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,45 - 54,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,55 - 64,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,>= 65,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Vale de Cambra,,,,,,,,,,,
,,,Total,"1,337",2,44,7,58,5,- ,8,208,10
,,,15 - 24,2,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,57,- ,1,2,- ,- ,- ,- ,9,1
,,,35 - 44,165,1,4,1,4,- ,- ,- ,22,- 
,,,45 - 54,313,- ,14,2,10,1,- ,- ,49,3
,,,55 - 64,344,- ,6,1,14,1,- ,2,52,2
,,,>= 65,456,1,19,1,30,3,- ,6,76,4
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
