Características da habitação do produtor singular (Idade da habitação > 50 anos),,,,,,,,,,,,,,,
,,,,,,,,,,,Pág. 3/3,,,,
REGIÃO AGRÁRIA,,Total de explorações,,,,,Total de explorações com produtor residente na exploração,,,,,,,,
Ilha / Concelho,,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodo                            mésticos,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodo                                            mésticos,,,,
AÇORES,,  10 272 ,  10 259 ,  10 229 ,  9 770 ,  10 222 ,  3 945 ,  3 938 ,  3 917 ,  3 663 ,  3 922 ,,,,
Ilha de Santa Maria ( Vila do Porto ),,   311 ,   307 ,   306 ,   274 ,   305 ,   200 ,   197 ,   196 ,   173 ,   195 ,,,,
Ilha de São Miguel,,  4 363 ,  4 360 ,  4 363 ,  4 290 ,  4 345 ,  1 166 ,  1 166 ,  1 166 ,  1 154 ,  1 161 ,,,,
,Lagoa,   387 ,   387 ,   387 ,   384 ,   387 ,   61 ,   61 ,   61 ,   61 ,   61 ,,,,
,Nordeste,   499 ,   499 ,   499 ,   490 ,   497 ,   98 ,   98 ,   98 ,   98 ,   97 ,,,,
,Ponta Delgada,  1 644 ,  1 643 ,  1 644 ,  1 628 ,  1 637 ,   690 ,   690 ,   690 ,   685 ,   686 ,,,,
,Povoação,   437 ,   436 ,   437 ,   435 ,   436 ,   84 ,   84 ,   84 ,   84 ,   84 ,,,,
,Ribeira Grande,   938 ,   937 ,   938 ,   919 ,   932 ,   135 ,   135 ,   135 ,   132 ,   135 ,,,,
,Vila Franca do Campo,   458 ,   458 ,   458 ,   434 ,   456 ,   98 ,   98 ,   98 ,   94 ,   98 ,,,,
Ilha Terceira,,  1 951 ,  1 951 ,  1 950 ,  1 836 ,  1 943 ,   516 ,   516 ,   516 ,   429 ,   515 ,,,,
,Angra do Heroísmo,  1 187 ,  1 187 ,  1 186 ,  1 087 ,  1 180 ,   314 ,   314 ,   314 ,   233 ,   313 ,,,,
,Vila da Praia da Vitória,   764 ,   764 ,   764 ,   749 ,   763 ,   202 ,   202 ,   202 ,   196 ,   202 ,,,,
Ilha da Graciosa ( Santa Cruz da Graciosa ),,   701 ,   700 ,   696 ,   650 ,   696 ,   77 ,   77 ,   77 ,   71 ,   76 ,,,,
Ilha de São Jorge,,   423 ,   422 ,   416 ,   378 ,   420 ,   199 ,   199 ,   194 ,   177 ,   197 ,,,,
,Calheta,   232 ,   231 ,   231 ,   218 ,   230 ,   142 ,   142 ,   142 ,   132 ,   141 ,,,,
,Velas,   191 ,   191 ,   185 ,   160 ,   190 ,   57 ,   57 ,   52 ,   45 ,   56 ,,,,
Ilha do Pico,,  1 441 ,  1 438 ,  1 420 ,  1 301 ,  1 436 ,   891 ,   888 ,   876 ,   801 ,   886 ,,,,
,Lajes do Pico,   619 ,   616 ,   606 ,   538 ,   616 ,   507 ,   504 ,   496 ,   439 ,   504 ,,,,
,Madalena,   550 ,   550 ,   544 ,   510 ,   549 ,   213 ,   213 ,   211 ,   204 ,   212 ,,,,
,São Roque do Pico,   272 ,   272 ,   270 ,   253 ,   271 ,   171 ,   171 ,   169 ,   158 ,   170 ,,,,
Ilha do Faial ( Horta ),,   608 ,   608 ,   608 ,   605 ,   608 ,   457 ,   457 ,   457 ,   455 ,   457 ,,,,
Ilha das Flores,,   422 ,   421 ,   418 ,   385 ,   418 ,   398 ,   397 ,   394 ,   363 ,   395 ,,,,
,Lajes das Flores,   233 ,   232 ,   231 ,   214 ,   230 ,   225 ,   224 ,   223 ,   207 ,   223 ,,,,
,Santa Cruz das Flores,   189 ,   189 ,   187 ,   171 ,   188 ,   173 ,   173 ,   171 ,   156 ,   172 ,,,,
Ilha do Corvo (Corvo),,52,52,52,51,51,41,41,41,40,40,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
