Explorações segundo o número de bovinos (Classe >= 300),,,,,,,,,
,,,,,,,,,Pág. 2/2
REGIÃO AGRÁRIA,,,Classes do número de animais,,,,,,
Ilha / Concelho,,,30 a 39,40 a 49,50 a 59,60 a 99,100 a 199,200 a 299,>= 300
AÇORES,,expl (nº),   760 ,   509 ,   373 ,   624 ,   259 ,   28 ,   18 
,,efect (nº),  26 016 ,  22 522 ,  20 306 ,  47 317 ,  34 084 ,  6 652 ,  12 291 
,Ilha de Santa Maria ( Vila do Porto ),expl (nº),   15 ,   5 ,   2 ,   10 ,   3 ,- ,- 
,,efect (nº),   497 ,   219 ,... ,   761 ,   453 ,- ,- 
,Ilha de São Miguel,expl (nº),   313 ,   231 ,   189 ,   303 ,   130 ,   18 ,   14 
,,efect (nº),  10 728 ,  10 255 ,  10 237 ,  23 308 ,  17 032 ,  4 271 ,  10 549 
,Lagoa,expl (nº),   16 ,   9 ,   14 ,   19 ,   5 ,   2 ,   1 
,,efect (nº),   533 ,   386 ,   753 ,  1 417 ,   646 ,... ,... 
,Nordeste,expl (nº),   35 ,   22 ,   22 ,   28 ,   7 ,   1 ,- 
,,efect (nº),  1 183 ,   978 ,  1 173 ,  2 109 ,   769 ,... ,- 
,Ponta Delgada,expl (nº),   114 ,   105 ,   80 ,   123 ,   50 ,   7 ,   8 
,,efect (nº),  3 963 ,  4 655 ,  4 336 ,  9 450 ,  6 819 ,  1 657 ,  7 271 
,Povoação,expl (nº),   36 ,   17 ,   15 ,   20 ,   13 ,- ,- 
,,efect (nº),  1 220 ,   763 ,   818 ,  1 510 ,  1 874 ,- ,- 
,Ribeira Grande,expl (nº),   71 ,   55 ,   44 ,   78 ,   40 ,   6 ,   4 
,,efect (nº),  2 444 ,  2 451 ,  2 412 ,  6 105 ,  4 941 ,  1 361 ,  2 635 
,Vila Franca do Campo,expl (nº),   41 ,   23 ,   14 ,   35 ,   15 ,   2 ,   1 
,,efect (nº),  1 385 ,  1 022 ,   745 ,  2 717 ,  1 983 ,... ,... 
,Ilha Terceira,expl (nº),   180 ,   113 ,   92 ,   168 ,   84 ,   9 ,   3 
,,efect (nº),  6 228 ,  4 968 ,  5 041 ,  12 613 ,  11 180 ,  2 139 ,  1 382 
,Angra do Heroísmo,expl (nº),   113 ,   74 ,   61 ,   121 ,   50 ,   7 ,   3 
,,efect (nº),  3 934 ,  3 263 ,  3 346 ,  9 117 ,  6 501 ,  1 629 ,  1 382 
,Vila da Praia da Vitória,expl (nº),   67 ,   39 ,   31 ,   47 ,   34 ,   2 ,- 
,,efect (nº),  2 294 ,  1 705 ,  1 695 ,  3 496 ,  4 679 ,... ,- 
,Ilha da  Graciosa ( Santa Cruz da Graciosa ),expl (nº),   22 ,   14 ,   4 ,   10 ,   4 ,   1 ,- 
,,efect (nº),   730 ,   615 ,   221 ,   753 ,   629 ,... ,- 
,Ilha de São Jorge,expl (nº),   59 ,   40 ,   31 ,   44 ,   17 ,- ,- 
,,efect (nº),  1 985 ,  1 774 ,  1 690 ,  3 198 ,  2 221 ,- ,- 
,Calheta,expl (nº),   40 ,   19 ,   13 ,   18 ,   8 ,- ,- 
,,efect (nº),  1 333 ,   837 ,   711 ,  1 280 ,   997 ,- ,- 
,Velas,expl (nº),   19 ,   21 ,   18 ,   26 ,   9 ,- ,- 
,,efect (nº),   652 ,   937 ,   979 ,  1 918 ,  1 224 ,- ,- 
,Ilha do Pico,expl (nº),   87 ,   62 ,   25 ,   48 ,   13 ,- ,   1 
,,efect (nº),  2 990 ,  2 749 ,  1 365 ,  3 594 ,  1 614 ,- ,... 
,Lajes do Pico,expl (nº),   31 ,   27 ,   10 ,   24 ,   8 ,- ,   1 
,,efect (nº),  1 059 ,  1 217 ,   545 ,  1 729 ,  1 004 ,- ,... 
,Madalena,expl (nº),   34 ,   21 ,   9 ,   13 ,   3 ,- ,- 
,,efect (nº),  1 188 ,   916 ,   492 ,  1 015 ,   326 ,- ,- 
,São Roque do Pico,expl (nº),   22 ,   14 ,   6 ,   11 ,   2 ,- ,- 
,,efect (nº),   743 ,   616 ,   328 ,   850 ,... ,- ,- 
,Ilha do Faial ( Horta ),expl (nº),   59 ,   38 ,   22 ,   32 ,   6 ,- ,- 
,,efect (nº),  2 032 ,  1 676 ,  1 191 ,  2 451 ,   729 ,- ,- 
,Ilha das Flores,expl (nº),   21 ,   6 ,   8 ,   9 ,   2 ,- ,- 
,,efect (nº),   689 ,   266 ,   443 ,   639 ,... ,- ,- 
,Lajes das Flores,expl (nº),   10 ,   4 ,   4 ,   7 ,- ,- ,- 
,,efect (nº),   328 ,   178 ,   228 ,   480 ,- ,- ,- 
,Santa Cruz das Flores,expl (nº),   11 ,   2 ,   4 ,   2 ,   2 ,- ,- 
,,efect (nº),   361 ,... ,   215 ,... ,... ,- ,- 
,Ilha do Corvo ( Corvo ),expl (nº),   4 ,- ,- ,- ,- ,- ,- 
,,efect (nº),   137 ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,
