Actividade remunerada exterior à exploração da população agrícola familiar (Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,
,,,,,,,,,,Pág. 1/3
,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
,"Sivicult, exploraç. florestal e activ. seviços relacionados",   4 ,- ,   1 ,- ,- ,- ,- ,   1 ,- 
,"Pesca, aquacultura e activ. seviços relacionados",   13 ,   1 ,- ,- ,- ,- ,- ,- ,- 
,Ind. alimentares das bebidas e do tabaco,   5 ,- ,   1 ,- ,- ,   1 ,- ,- ,- 
,Outras indústrias,   16 ,- ,   8 ,   2 ,   1 ,   1 ,- ,   4 ,- 
,"Prod. e distribuição de  electricidade, gás e água",   1 ,- ,   1 ,- ,- ,   1 ,- ,- ,- 
,Construção,   32 ,   2 ,   4 ,- ,   3 ,- ,- ,   1 ,- 
,Comércio por grosso e retalho,   61 ,   1 ,   38 ,   2 ,   3 ,   12 ,   2 ,   18 ,   1 
,Alojamento e restauração,   4 ,- ,   3 ,- ,- ,   1 ,- ,   1 ,   1 
,Administração pública,   2 ,- ,- ,- ,- ,- ,- ,- ,- 
,Educação,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Saúde e acção social,   1 ,- ,   1 ,- ,- ,   1 ,- ,- ,- 
,Outras,   70 ,   3 ,   17 ,   3 ,   6 ,   5 ,- ,   3 ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,
