Produtor singular segundo a OTE e as classes de idade (Não Classificados - Ilha de São Jorge),,,,,,,,,,
,,,,,,,,,,Pág. 6/8
REGIÃO AGRÁRIA,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Ilha / Concelho,,nº de indivíduos,,,,,,,,
,Ribeira Grande,,,,,,,,,
,Total,   14 ,   108 ,   26 ,   126 ,   24 ,   25 ,   36 ,   61 ,   9 
,15 - 24,- ,- ,   1 ,- ,- ,- ,- ,- ,- 
,25 - 34,   1 ,   9 ,   2 ,   7 ,   2 ,   2 ,   3 ,   4 ,- 
,35 - 44,   4 ,   15 ,   5 ,   23 ,   3 ,   4 ,   7 ,   11 ,   1 
,45 - 54,   4 ,   17 ,   4 ,   30 ,   5 ,   7 ,   8 ,   18 ,   1 
,55 - 64,   1 ,   20 ,   7 ,   25 ,   7 ,   8 ,   7 ,   13 ,   2 
,>= 65,   4 ,   47 ,   7 ,   41 ,   7 ,   4 ,   11 ,   15 ,   5 
,Vila Franca do Campo,,,,,,,,,
,Total,   11 ,   11 ,   5 ,   125 ,   6 ,   5 ,   7 ,   21 ,- 
,15 - 24,- ,- ,- ,   1 ,- ,- ,- ,- ,- 
,25 - 34,   3 ,   1 ,- ,   14 ,   2 ,   1 ,   1 ,- ,- 
,35 - 44,   1 ,   3 ,   2 ,   27 ,   2 ,   1 ,- ,   6 ,- 
,45 - 54,   2 ,   2 ,   1 ,   27 ,   2 ,   2 ,   2 ,   3 ,- 
,55 - 64,   1 ,   4 ,   1 ,   20 ,- ,- ,   4 ,   5 ,- 
,>= 65,   4 ,   1 ,   1 ,   36 ,- ,   1 ,- ,   7 ,- 
Ilha Terceira,,,,,,,,,,
Total,,   166 ,   191 ,   181 ,   340 ,   154 ,   111 ,   33 ,   258 ,   95 
15 - 24,,   6 ,   2 ,   1 ,- ,   1 ,   1 ,- ,   1 ,- 
25 - 34,,   13 ,   15 ,   15 ,   16 ,   11 ,   12 ,   3 ,   20 ,   7 
35 - 44,,   44 ,   42 ,   27 ,   51 ,   34 ,   21 ,   6 ,   45 ,   16 
45 - 54,,   39 ,   41 ,   38 ,   73 ,   44 ,   31 ,   9 ,   73 ,   17 
55 - 64,,   33 ,   37 ,   44 ,   98 ,   32 ,   27 ,   9 ,   56 ,   25 
>= 65,,   31 ,   54 ,   56 ,   102 ,   32 ,   19 ,   6 ,   63 ,   30 
,Angra do Heroísmo,,,,,,,,,
,Total,   96 ,   100 ,   109 ,   252 ,   106 ,   60 ,   19 ,   164 ,   56 
,15 - 24,   4 ,   1 ,- ,- ,   1 ,   1 ,- ,   1 ,- 
,25 - 34,   5 ,   10 ,   12 ,   13 ,   10 ,   7 ,   2 ,   13 ,   4 
,35 - 44,   22 ,   25 ,   15 ,   39 ,   25 ,   11 ,   3 ,   35 ,   7 
,45 - 54,   28 ,   24 ,   25 ,   49 ,   30 ,   15 ,   5 ,   43 ,   11 
,55 - 64,   22 ,   17 ,   27 ,   72 ,   24 ,   18 ,   5 ,   36 ,   15 
,>= 65,   15 ,   23 ,   30 ,   79 ,   16 ,   8 ,   4 ,   36 ,   19 
,Vila da Praia da Vitória,,,,,,,,,
,Total,   70 ,   91 ,   72 ,   88 ,   48 ,   51 ,   14 ,   94 ,   39 
,15 - 24,   2 ,   1 ,   1 ,- ,- ,- ,- ,- ,- 
,25 - 34,   8 ,   5 ,   3 ,   3 ,   1 ,   5 ,   1 ,   7 ,   3 
,35 - 44,   22 ,   17 ,   12 ,   12 ,   9 ,   10 ,   3 ,   10 ,   9 
,45 - 54,   11 ,   17 ,   13 ,   24 ,   14 ,   16 ,   4 ,   30 ,   6 
,55 - 64,   11 ,   20 ,   17 ,   26 ,   8 ,   9 ,   4 ,   20 ,   10 
,>= 65,   16 ,   31 ,   26 ,   23 ,   16 ,   11 ,   2 ,   27 ,   11 
Ilha da Graciosa (Santa Cruz da Graciosa),,,,,,,,,,
Total,,- ,   29 ,   29 ,   184 ,   80 ,   12 ,   11 ,   81 ,   8 
15 - 24,,- ,- ,- ,- ,   2 ,   1 ,- ,   1 ,   2 
25 - 34,,- ,   7 ,   3 ,   17 ,   15 ,- ,- ,   9 ,   1 
35 - 44,,- ,   5 ,   6 ,   29 ,   18 ,   3 ,   1 ,   19 ,   1 
45 - 54,,- ,   6 ,   4 ,   26 ,   24 ,   3 ,   4 ,   15 ,- 
55 - 64,,- ,   6 ,   7 ,   34 ,   11 ,   2 ,   3 ,   23 ,   1 
>= 65,,- ,   5 ,   9 ,   78 ,   10 ,   3 ,   3 ,   14 ,   3 
Ilha de São Jorge,,,,,,,,,,
Total,,   69 ,   45 ,   21 ,   141 ,   87 ,   24 ,   37 ,   76 ,   6 
15 - 24,,   4 ,   3 ,   1 ,   2 ,   4 ,   1 ,- ,   3 ,- 
25 - 34,,   9 ,   2 ,   1 ,   4 ,   4 ,   5 ,   3 ,   5 ,- 
35 - 44,,   16 ,   12 ,   2 ,   17 ,   20 ,   4 ,   6 ,   14 ,- 
45 - 54,,   18 ,   12 ,   4 ,   28 ,   12 ,   4 ,   5 ,   20 ,   1 
55 - 64,,   11 ,   3 ,   4 ,   40 ,   31 ,   3 ,   7 ,   15 ,- 
>= 65,,   11 ,   13 ,   9 ,   50 ,   16 ,   7 ,   16 ,   19 ,   5 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,
