Produtor singular segundo a OTE e as classes de idade (Não Classificados - Ilha de São Miguel - Povoação),,,,,,,,,,
,,,,,,,,,,Pág. 5/8
REGIÃO AGRÁRIA,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Ilha / Concelho,,nº de indivíduos,,,,,,,,
AÇORES,,,,,,,,,,
Total,,   626 ,   771 ,   361 ,  2 239 ,   795 ,   310 ,   325 ,  1 002 ,   154 
15 - 24,,   21 ,   15 ,   7 ,   8 ,   11 ,   6 ,   1 ,   10 ,   3 
25 - 34,,   75 ,   68 ,   30 ,   128 ,   89 ,   35 ,   28 ,   77 ,   8 
35 - 44,,   173 ,   160 ,   63 ,   352 ,   185 ,   61 ,   62 ,   191 ,   21 
45 - 54,,   168 ,   165 ,   78 ,   467 ,   209 ,   79 ,   64 ,   274 ,   28 
55 - 64,,   106 ,   137 ,   85 ,   554 ,   163 ,   64 ,   77 ,   218 ,   36 
>= 65,,   83 ,   226 ,   98 ,   730 ,   138 ,   65 ,   93 ,   232 ,   58 
Ilha de Santa Maria (Vila do Porto),,,,,,,,,,
Total,,   4 ,   26 ,   4 ,   44 ,   49 ,   9 ,   12 ,   57 ,- 
15 - 24,,- ,   2 ,   1 ,- ,- ,   2 ,- ,- ,- 
25 - 34,,   1 ,   2 ,   1 ,   1 ,   7 ,- ,- ,   5 ,- 
35 - 44,,   1 ,   7 ,- ,   5 ,   20 ,   7 ,   2 ,   14 ,- 
45 - 54,,   1 ,   6 ,   1 ,   8 ,   10 ,- ,   2 ,   13 ,- 
55 - 64,,   1 ,   3 ,- ,   11 ,   4 ,- ,- ,   13 ,- 
>= 65,,- ,   6 ,   1 ,   19 ,   8 ,- ,   8 ,   12 ,- 
Ilha de São Miguel,,,,,,,,,,
Total,,   83 ,   360 ,   99 ,   690 ,   110 ,   109 ,   152 ,   282 ,   24 
15 - 24,,   1 ,   3 ,   4 ,   3 ,- ,- ,- ,   1 ,- 
25 - 34,,   12 ,   32 ,   8 ,   48 ,   9 ,   16 ,   16 ,   16 ,- 
35 - 44,,   16 ,   60 ,   22 ,   118 ,   24 ,   20 ,   31 ,   49 ,   3 
45 - 54,,   23 ,   71 ,   24 ,   160 ,   29 ,   30 ,   29 ,   66 ,   5 
55 - 64,,   11 ,   67 ,   25 ,   154 ,   26 ,   21 ,   33 ,   69 ,   8 
>= 65,,   20 ,   127 ,   16 ,   207 ,   22 ,   22 ,   43 ,   81 ,   8 
,Lagoa,,,,,,,,,
,Total,   5 ,   16 ,   6 ,   89 ,   8 ,   5 ,   8 ,   19 ,   3 
,15 - 24,- ,   1 ,- ,   1 ,- ,- ,- ,- ,- 
,25 - 34,- ,   1 ,   1 ,   10 ,   1 ,- ,   2 ,- ,- 
,35 - 44,   1 ,   2 ,   1 ,   13 ,   1 ,   1 ,   3 ,   6 ,- 
,45 - 54,   4 ,   5 ,   1 ,   22 ,   2 ,   1 ,   1 ,   4 ,   2 
,55 - 64,- ,   2 ,   3 ,   25 ,   3 ,   1 ,- ,   2 ,   1 
,>= 65,- ,   5 ,- ,   18 ,   1 ,   2 ,   2 ,   7 ,- 
,Nordeste,,,,,,,,,
,Total,   13 ,   22 ,   8 ,   70 ,   21 ,   14 ,   35 ,   28 ,   1 
,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   2 ,   1 ,- ,   2 ,   3 ,   1 ,   3 ,- ,- 
,35 - 44,   2 ,   3 ,   2 ,   8 ,   5 ,   3 ,   12 ,   2 ,- 
,45 - 54,   5 ,   6 ,   3 ,   12 ,   7 ,   3 ,   4 ,   7 ,- 
,55 - 64,   2 ,   6 ,   2 ,   19 ,   2 ,   2 ,   6 ,   6 ,- 
,>= 65,   1 ,   6 ,   1 ,   29 ,   4 ,   5 ,   10 ,   13 ,   1 
,Ponta Delgada,,,,,,,,,
,Total,   29 ,   180 ,   49 ,   184 ,   45 ,   55 ,   60 ,   120 ,   8 
,15 - 24,- ,   2 ,   2 ,   1 ,- ,- ,- ,   1 ,- 
,25 - 34,   3 ,   17 ,   5 ,   15 ,   1 ,   10 ,   6 ,   9 ,- 
,35 - 44,   6 ,   35 ,   10 ,   30 ,   12 ,   11 ,   9 ,   21 ,   1 
,45 - 54,   6 ,   35 ,   14 ,   45 ,   11 ,   16 ,   14 ,   27 ,   2 
,55 - 64,   6 ,   30 ,   12 ,   43 ,   13 ,   9 ,   14 ,   32 ,   4 
,>= 65,   8 ,   61 ,   6 ,   50 ,   8 ,   9 ,   17 ,   30 ,   1 
,Povoação,,,,,,,,,
,Total,   11 ,   23 ,   5 ,   96 ,   6 ,   5 ,   6 ,   33 ,   3 
,15 - 24,- ,- ,   1 ,- ,- ,- ,- ,- ,- 
,25 - 34,   3 ,   3 ,- ,- ,- ,   2 ,   1 ,   3 ,- 
,35 - 44,   2 ,   2 ,   2 ,   17 ,   1 ,- ,- ,   3 ,   1 
,45 - 54,   2 ,   6 ,   1 ,   24 ,   2 ,   1 ,- ,   7 ,- 
,55 - 64,   1 ,   5 ,- ,   22 ,   1 ,   1 ,   2 ,   11 ,   1 
,>= 65,   3 ,   7 ,   1 ,   33 ,   2 ,   1 ,   3 ,   9 ,   1 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,
