Produtor singular segundo a OTE e as classes de idade (Bovinos para Gado/Carne - Ilha de São Miguel - Povoação),,,,,,,,,,,
,,,,,,,,,,,Pág. 1/8
REGIÃO AGRÁRIA,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos de leite,Bovinos para gado/carne
Ilha / Concelho,,nº de indivíduos,,,,,,,,,
AÇORES,,,,,,,,,,,
,Total,  19 086 ,   92 ,  1 834 ,   272 ,  1 627 ,  1 720 ,- ,   688 ,  3 822 ,  2 448 
,15 - 24,   278 ,   4 ,   14 ,   4 ,   8 ,   9 ,- ,   1 ,   85 ,   71 
,25 - 34,  1 985 ,   14 ,   126 ,   29 ,   84 ,   75 ,- ,   23 ,   731 ,   365 
,35 - 44,  3 935 ,   20 ,   352 ,   51 ,   241 ,   233 ,- ,   76 ,  1 083 ,   611 
,45 - 54,  4 398 ,   10 ,   361 ,   75 ,   307 ,   337 ,- ,   161 ,  1 029 ,   586 
,55 - 64,  3 818 ,   10 ,   400 ,   69 ,   394 ,   393 ,- ,   177 ,   528 ,   407 
,>= 65,  4 672 ,   34 ,   581 ,   44 ,   593 ,   673 ,- ,   250 ,   366 ,   408 
,Ilha de Santa Maria (Vila do Porto),,,,,,,,,,
,Total,   576 ,   5 ,   55 ,   1 ,   35 ,   13 ,- ,   3 ,- ,   259 
,15 - 24,   26 ,- ,   1 ,- ,   1 ,- ,- ,- ,- ,   19 
,25 - 34,   70 ,- ,   4 ,- ,   2 ,- ,- ,- ,- ,   47 
,35 - 44,   139 ,   2 ,   9 ,- ,   3 ,   1 ,- ,   1 ,- ,   67 
,45 - 54,   114 ,- ,   7 ,   1 ,   7 ,   2 ,- ,   1 ,- ,   55 
,55 - 64,   91 ,- ,   12 ,- ,   10 ,   4 ,- ,   1 ,- ,   32 
,>= 65,   136 ,   3 ,   22 ,- ,   12 ,   6 ,- ,- ,- ,   39 
,Ilha de São Miguel,,,,,,,,,,
,Total,  7 276 ,   65 ,  1 147 ,   97 ,   329 ,   960 ,- ,   267 ,  1 934 ,   568 
