Produtor singular segundo a OTE e as classes de idade (Bovinos para Gado/Carne - Ilha de São Jorge),,,,,,,,,,,
,,,,,,,,,,,Pág. 2/8
REGIÃO AGRÁRIA,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos de leite,Bovinos para gado/carne
Ilha / Concelho,,nº de indivíduos,,,,,,,,,
,Ribeira Grande,,,,,,,,,,
,Total,  1 697 ,   25 ,   387 ,   29 ,   23 ,   217 ,- ,   13 ,   467 ,   107 
,15 - 24,   7 ,   2 ,   1 ,- ,- ,   1 ,- ,- ,   1 ,   1 
,25 - 34,   170 ,   6 ,   34 ,   4 ,   1 ,   8 ,- ,   1 ,   72 ,   14 
,35 - 44,   360 ,   8 ,   86 ,   3 ,   3 ,   24 ,- ,   2 ,   141 ,   20 
,45 - 54,   399 ,   2 ,   93 ,   13 ,   4 ,   46 ,- ,   2 ,   120 ,   25 
,55 - 64,   311 ,   2 ,   69 ,   9 ,   5 ,   42 ,- ,   2 ,   72 ,   20 
,>= 65,   450 ,   5 ,   104 ,- ,   10 ,   96 ,- ,   6 ,   61 ,   27 
,Vila Franca do Campo,,,,,,,,,,
,Total,   859 ,   1 ,   82 ,   2 ,   148 ,   123 ,- ,   79 ,   202 ,   31 
,15 - 24,   5 ,- ,   1 ,- ,   1 ,   2 ,- ,- ,- ,- 
,25 - 34,   99 ,- ,   9 ,- ,   18 ,   5 ,- ,   7 ,   35 ,   3 
,35 - 44,   172 ,   1 ,   11 ,   1 ,   24 ,   17 ,- ,   12 ,   48 ,   16 
,45 - 54,   176 ,- ,   19 ,   1 ,   28 ,   23 ,- ,   16 ,   44 ,   4 
,55 - 64,   165 ,- ,   19 ,- ,   25 ,   29 ,- ,   14 ,   40 ,   3 
,>= 65,   242 ,- ,   23 ,- ,   52 ,   47 ,- ,   30 ,   35 ,   5 
Ilha Terceira,,,,,,,,,,,
Total,,  4 464 ,   7 ,   193 ,   65 ,   374 ,   404 ,- ,   111 ,   963 ,   818 
15 - 24,,   65 ,- ,   2 ,   1 ,   3 ,- ,- ,- ,   31 ,   16 
25 - 34,,   497 ,   1 ,   10 ,   9 ,   8 ,   19 ,- ,   1 ,   216 ,   121 
35 - 44,,   924 ,- ,   34 ,   13 ,   52 ,   63 ,- ,   9 ,   260 ,   207 
45 - 54,,  1 103 ,   1 ,   47 ,   17 ,   69 ,   85 ,- ,   33 ,   281 ,   205 
55 - 64,,   932 ,   2 ,   59 ,   17 ,   116 ,   105 ,- ,   32 ,   107 ,   133 
>= 65,,   943 ,   3 ,   41 ,   8 ,   126 ,   132 ,- ,   36 ,   68 ,   136 
,Angra do Heroísmo,,,,,,,,,,
,Total,  2 592 ,   2 ,   132 ,   47 ,   180 ,   239 ,- ,   53 ,   613 ,   364 
,15 - 24,   49 ,- ,   2 ,   1 ,   1 ,- ,- ,- ,   25 ,   12 
,25 - 34,   316 ,   1 ,   7 ,   6 ,   4 ,   17 ,- ,   1 ,   139 ,   65 
,35 - 44,   533 ,- ,   22 ,   6 ,   22 ,   38 ,- ,   4 ,   171 ,   88 
,45 - 54,   634 ,   1 ,   34 ,   13 ,   36 ,   51 ,- ,   16 ,   165 ,   88 
,55 - 64,   548 ,- ,   40 ,   13 ,   54 ,   57 ,- ,   17 ,   72 ,   59 
,>= 65,   512 ,- ,   27 ,   8 ,   63 ,   76 ,- ,   15 ,   41 ,   52 
,Vila da Praia da Vitória,,,,,,,,,,
,Total,  1 872 ,   5 ,   61 ,   18 ,   194 ,   165 ,- ,   58 ,   350 ,   454 
,15 - 24,   16 ,- ,- ,- ,   2 ,- ,- ,- ,   6 ,   4 
,25 - 34,   181 ,- ,   3 ,   3 ,   4 ,   2 ,- ,- ,   77 ,   56 
,35 - 44,   391 ,- ,   12 ,   7 ,   30 ,   25 ,- ,   5 ,   89 ,   119 
,45 - 54,   469 ,- ,   13 ,   4 ,   33 ,   34 ,- ,   17 ,   116 ,   117 
,55 - 64,   384 ,   2 ,   19 ,   4 ,   62 ,   48 ,- ,   15 ,   35 ,   74 
,>= 65,   431 ,   3 ,   14 ,- ,   63 ,   56 ,- ,   21 ,   27 ,   84 
Ilha da Graciosa (Santa Cruz da Graciosa),,,,,,,,,,,
,Total,   921 ,   8 ,   39 ,   62 ,   180 ,   26 ,- ,   29 ,   43 ,   100 
,15 - 24,   17 ,   1 ,- ,   1 ,- ,- ,- ,- ,   1 ,   8 
,25 - 34,   98 ,- ,   1 ,   8 ,   4 ,   1 ,- ,   1 ,   11 ,   20 
,35 - 44,   173 ,   1 ,   10 ,   11 ,   22 ,   3 ,- ,   4 ,   11 ,   29 
,45 - 54,   174 ,- ,   7 ,   9 ,   29 ,   5 ,- ,   6 ,   15 ,   21 
,55 - 64,   171 ,   1 ,   4 ,   13 ,   40 ,   5 ,- ,   4 ,   4 ,   13 
,>= 65,   288 ,   5 ,   17 ,   20 ,   85 ,   12 ,- ,   14 ,   1 ,   9 
Ilha de São Jorge,,,,,,,,,,,
,Total,  1 279 ,- ,   65 ,   4 ,   81 ,   59 ,- ,   37 ,   469 ,   58 
,15 - 24,   44 ,- ,- ,- ,   1 ,- ,- ,- ,   22 ,   3 
,25 - 34,   144 ,- ,   4 ,- ,   2 ,   4 ,- ,   2 ,   95 ,   4 
,35 - 44,   260 ,- ,   12 ,- ,   6 ,   7 ,- ,   2 ,   131 ,   11 
,45 - 54,   286 ,- ,   9 ,   1 ,   14 ,   7 ,- ,   7 ,   130 ,   14 
,55 - 64,   263 ,- ,   16 ,   1 ,   24 ,   16 ,- ,   16 ,   63 ,   13 
