Principais culturas temporárias (Ilha de São Miguel - Ribeira Grande),,,,,,,,,,,,
,,,,,,,,,,,,pág. 2/7
REGIÃO AGRÁRIA,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Nordeste,,,,,,,,,,
,,Culturas temporárias,   533 ,   528 ,   521 ,   367 ,   241 ,   161 ,   218 ,   159 ,   28 ,   1 
,,Cereais para grão,   95 ,   16 ,   81 ,   14 ,   15 ,   2 ,   14 ,   2 ,   1 ,... 
,,Leguminosas secas para grão,   136 ,   8 ,   116 ,   5 ,   23 ,   1 ,   18 ,   1 ,   5 ,o 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   293 ,   397 ,   211 ,   240 ,   189 ,   155 ,   189 ,   155 ,- ,- 
,,Batata,   385 ,   101 ,   371 ,   101 ,   24 ,o ,   3 ,o ,   21 ,o 
,,Beterraba sacarina,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   14 ,   1 ,   8 ,o ,   6 ,   1 ,   2 ,... ,   4 ,   1 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   46 ,   2 ,   44 ,   2 ,   2 ,... ,- ,- ,   2 ,... 
,,Ponta Delgada,,,,,,,,,,
,,Culturas temporárias,  1 678 ,  2 686 ,  1 661 ,  2 068 ,   598 ,   620 ,   557 ,   610 ,   52 ,   5 
,,Cereais para grão,   259 ,   42 ,   242 ,   39 ,   19 ,   2 ,   6 ,o ,   13 ,   2 
,,Leguminosas secas para grão,   526 ,   48 ,   427 ,   37 ,   140 ,   13 ,   137 ,   12 ,   3 ,o 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   846 ,  2 334 ,   758 ,  1 750 ,   379 ,   581 ,   379 ,   581 ,- ,- 
,,Batata,   876 ,   103 ,   828 ,   83 ,   95 ,   16 ,   55 ,   14 ,   42 ,   2 
,,Beterraba sacarina,   36 ,   33 ,   36 ,   33 ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   33 ,   19 ,   33 ,   19 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   215 ,   71 ,   210 ,   69 ,   10 ,   1 ,   8 ,   1 ,   2 ,... 
,,Flores e plantas ornamentais,   22 ,   4 ,   22 ,   4 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   4 ,   5 ,   4 ,   5 ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   255 ,   22 ,   232 ,   21 ,   26 ,   2 ,   20 ,   1 ,   6 ,   1 
,,Povoação,,,,,,,,,,
,,Culturas temporárias,   450 ,   501 ,   438 ,   381 ,   200 ,   120 ,   167 ,   114 ,   58 ,   6 
,,Cereais para grão,   185 ,   27 ,   154 ,   23 ,   46 ,   5 ,   27 ,   3 ,   23 ,   2 
,,Leguminosas secas para grão,   170 ,   14 ,   139 ,   12 ,   43 ,   2 ,   41 ,   2 ,   4 ,o 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
