Principais culturas permanentes,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Ilha / Concelho,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes,,,,,,,,,,
,,área (ha),   32 ,   3 ,   22 ,   5 ,o ,- ,- ,... ,- ,- ,- ,,,,,,,,,,
,Lajes das Flores,expl (nº),   197 ,   89 ,   191 ,   84 ,   3 ,- ,- ,   1 ,- ,- ,- ,,,,,,,,,,
,,área (ha),   19 ,   2 ,   13 ,   3 ,o ,- ,- ,... ,- ,- ,- ,,,,,,,,,,
,Santa Cruz das Flores,expl (nº),   106 ,   21 ,   91 ,   40 ,   2 ,- ,- ,   1 ,- ,- ,- ,,,,,,,,,,
,,área (ha),   13 ,   1 ,   9 ,   2 ,... ,- ,- ,... ,- ,- ,- ,,,,,,,,,,
Ilha do Corvo ( Corvo ),,expl (nº),   16 ,   6 ,   16 ,   3 ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),   2 ,o ,   1 ,o ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
