"Explorações, SAU e MB segundo a origem do rendimento do agregado doméstico do produtor",,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,Rendimento proveniente,,,,,,,,,,,,,,,
Ilha,Exclusivamente da actividade                                       da exploração,,,Principalmente da actividade                                       da exploração,,,Principalmente de origem exterior                                            à exploração,,,,,,,,,
Concelho,Expl (nº),SAU (ha),MB (1000 esc),Expl (nº),SAU (ha),MB (1000 esc),Expl (nº),SAU (ha),MB (1000 esc),,,,,,,
AÇORES,  1 885 ,  34 798 , 9 131 309 ,  3 224 ,  49 748 , 12 519 774 ,  13 977 ,  26 496 , 8 836 227 ,,,,,,,
Ilha de Santa Maria ( Vila do Porto ),   36 ,   733 ,  89 999 ,   59 ,  1 093 ,  118 054 ,   481 ,  2 302 ,  334 981 ,,,,,,,
Ilha de São Miguel,   875 ,  13 725 , 4 576 674 ,  1 361 ,  16 936 , 5 901 216 ,  5 040 ,  8 311 , 3 282 949 ,,,,,,,
Lagoa,   48 ,   843 ,  271 823 ,   110 ,   984 ,  438 403 ,   399 ,   588 ,  273 750 ,,,,,,,
Nordeste,   102 ,  1 572 ,  436 489 ,   166 ,  1 756 ,  507 354 ,   398 ,   571 ,  176 590 ,,,,,,,
Ponta Delgada,   344 ,  5 506 , 1 942 284 ,   398 ,  5 340 , 2 025 465 ,  2 091 ,  3 080 , 1 175 375 ,,,,,,,
Povoação,   86 ,  1 391 ,  389 801 ,   100 ,  1 962 ,  474 390 ,   478 ,   382 ,  183 501 ,,,,,,,
Ribeira Grande,   179 ,  2 797 ,  986 013 ,   377 ,  5 008 , 1 763 873 ,  1 141 ,  2 828 , 1 045 451 ,,,,,,,
Vila Franca do Campo,   116 ,  1 616 ,  550 264 ,   210 ,  1 886 ,  691 731 ,   533 ,   862 ,  428 282 ,,,,,,,
Ilha Terceira,   431 ,  7 440 , 2 248 550 ,   643 ,  10 017 , 2 757 496 ,  3 390 ,  5 243 , 1 783 885 ,,,,,,,
Angra do Heroísmo,   292 ,  5 380 , 1 602 643 ,   385 ,  7 010 , 1 838 760 ,  1 915 ,  3 001 , 1 015 917 ,,,,,,,
Vila da Praia da Vitória,   139 ,  2 060 ,  645 907 ,   258 ,  3 007 ,  918 736 ,  1 475 ,  2 242 ,  767 968 ,,,,,,,
Ilha da Graciosa ( Santa Cruz da Graciosa ),   39 ,   798 ,  191 189 ,   73 ,  1 057 ,  249 584 ,   809 ,  1 337 ,  609 474 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha de São Jorge,   194 ,  4 474 ,  782 511 ,   271 ,  5 147 ,  870 727 ,   814 ,  1 579 ,  408 499 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calheta,   102 ,  2 306 ,  425 121 ,   159 ,  2 490 ,  440 528 ,   380 ,   663 ,  197 563 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velas,   92 ,  2 168 ,  357 390 ,   112 ,  2 657 ,  430 199 ,   434 ,   916 ,  210 936 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha do Pico,   126 ,  3 860 ,  584 896 ,   479 ,  10 559 , 1 798 324 ,  2 035 ,  3 295 , 1 554 670 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lajes do Pico,   60 ,  1 822 ,  243 989 ,   213 ,  4 624 ,  621 891 ,   729 ,   996 ,  399 943 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madalena,   38 ,  1 193 ,  250 466 ,   169 ,  3 551 ,  871 633 ,   877 ,  1 315 ,  927 033 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Roque do Pico,   28 ,   845 ,  90 441 ,   97 ,  2 384 ,  304 800 ,   429 ,   984 ,  227 694 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha do Faial ( Horta ),   137 ,  3 023 ,  550 045 ,   194 ,  2 865 ,  523 460 ,   931 ,  2 633 ,  549 571 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha das Flores,   42 ,   721 ,  99 661 ,   132 ,  1 967 ,  276 597 ,   430 ,  1 611 ,  263 256 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lajes das Flores,   16 ,   366 ,  48 234 ,   69 ,  1 262 ,  146 937 ,   218 ,   911 ,  136 043 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz das Flores,   26 ,   355 ,  51 427 ,   63 ,   705 ,  129 660 ,   212 ,   700 ,  127 213 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha do Corvo (Corvo),   5 ,   24 ,  7 784 ,   12 ,   107 ,  24 316 ,   47 ,   185 ,  48 942 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
