Culturas regadas (Alentejo Central Arraiolos / Beterraba Sacarina),,,,,,,,,,,,
,,,,,,,,,,,,Pág 1/4
REGIÃO AGRÁRIA / Nut III / Concelho,,Trigo mole,Trigo duro,Milho híbrido,Milho regional,Arroz,Milho para silagem,Milharada,Outras culturas forrageiras,Prados temporários,Batata excepto a da horta familiar,Beterraba sacarina
ALENTEJO,expl (nº),   483 ,   373 ,  1 898 ,   397 ,   598 ,   322 ,   314 ,  1 814 ,   224 ,   605 ,   124 
,área regada (ha),  12 263 ,  8 401 ,  20 946 ,  1 249 ,  9 938 ,  2 244 ,   496 ,  9 182 ,   846 ,   689 ,  2 905 
Alentejo Litoral,expl (nº),   29 ,   55 ,   782 ,   130 ,   522 ,   157 ,   17 ,   203 ,   99 ,   218 ,   1 
,área regada (ha),   527 ,  1 053 ,  5 896 ,   175 ,  7 718 ,  1 282 ,   80 ,  1 148 ,   385 ,   490 ,... 
Alcácer do Sal,expl (nº),   4 ,   6 ,   22 ,   7 ,   392 ,   3 ,   1 ,   35 ,- ,   37 ,   1 
,área regada (ha),   183 ,   118 ,   817 ,   6 ,  5 798 ,   108 ,... ,   445 ,- ,   122 ,... 
Grândola,expl (nº),   4 ,- ,   75 ,   32 ,   74 ,   9 ,- ,   45 ,   2 ,   75 ,- 
,área regada (ha),   42 ,- ,   401 ,   22 ,   602 ,   67 ,- ,   224 ,... ,   111 ,- 
Odemira,expl (nº),   10 ,   29 ,   485 ,   71 ,   29 ,   138 ,   15 ,   87 ,   96 ,   91 ,- 
,área regada (ha),   152 ,   572 ,  2 504 ,   86 ,   678 ,  1 008 ,   78 ,   262 ,   352 ,   210 ,- 
Santiago do Cacém,expl (nº),   10 ,   19 ,   182 ,   18 ,   26 ,   7 ,- ,   34 ,   1 ,   15 ,- 
,área regada (ha),   144 ,   359 ,  2 127 ,   51 ,   632 ,   99 ,- ,   208 ,... ,   47 ,- 
Sines,expl (nº),   1 ,   1 ,   18 ,   2 ,   1 ,- ,   1 ,   2 ,- ,- ,- 
,área regada (ha),... ,... ,   47 ,... ,... ,- ,... ,... ,- ,- ,- 
Alto Alentejo,expl (nº),   83 ,   85 ,   504 ,   193 ,   26 ,   111 ,   294 ,   854 ,   59 ,   294 ,   34 
,área regada (ha),  2 463 ,  2 309 ,  6 647 ,   424 ,   505 ,   307 ,   414 ,  3 826 ,   204 ,   149 ,   822 
Alter do Chão,expl (nº),- ,   2 ,   8 ,   2 ,- ,   4 ,   2 ,   13 ,   1 ,- ,- 
,área regada (ha),- ,... ,   171 ,... ,- ,   35 ,... ,   91 ,... ,- ,- 
Arronches,expl (nº),   3 ,   2 ,   4 ,- ,- ,   12 ,   17 ,   46 ,   2 ,   1 ,   1 
,área regada (ha),   56 ,... ,   71 ,- ,- ,   26 ,   25 ,   120 ,... ,... ,... 
Avis,expl (nº),   15 ,   13 ,   32 ,   1 ,- ,   4 ,   2 ,   18 ,   12 ,   2 ,   8 
,área regada (ha),   511 ,   246 ,   962 ,... ,- ,   94 ,... ,   211 ,   58 ,... ,   253 
Campo Maior,expl (nº),   23 ,   12 ,   53 ,   1 ,- ,- ,- ,   9 ,   6 ,   2 ,   7 
,área regada (ha),   548 ,   578 ,  1 269 ,... ,- ,- ,- ,   102 ,   73 ,... ,   117 
Castelo de Vide,expl (nº),- ,- ,   1 ,   1 ,- ,   1 ,   1 ,   5 ,- ,- ,- 
,área regada (ha),- ,- ,... ,... ,- ,... ,... ,   53 ,- ,- ,- 
Crato,expl (nº),   1 ,   1 ,   4 ,   7 ,- ,   4 ,   26 ,   80 ,   5 ,   3 ,- 
,área regada (ha),... ,... ,   30 ,   65 ,- ,   21 ,   71 ,   380 ,   21 ,o ,- 
Elvas,expl (nº),   28 ,   39 ,   80 ,   14 ,   6 ,   3 ,- ,   42 ,   5 ,   1 ,   13 
,área regada (ha),   824 ,   966 ,  1 963 ,   171 ,   187 ,   6 ,- ,   306 ,   5 ,... ,   239 
Fronteira,expl (nº),   8 ,   5 ,   11 ,- ,- ,- ,- ,   18 ,   3 ,- ,   2 
,área regada (ha),   235 ,   36 ,   295 ,- ,- ,- ,- ,   78 ,   8 ,- ,... 
Gavião,expl (nº),- ,- ,   65 ,   62 ,- ,   19 ,   66 ,   148 ,   9 ,   20 ,- 
,área regada (ha),- ,- ,   90 ,   31 ,- ,   15 ,   88 ,   869 ,   13 ,   6 ,- 
Marvão,expl (nº),- ,- ,   1 ,   5 ,- ,- ,   35 ,   23 ,   1 ,   78 ,- 
,área regada (ha),- ,- ,... ,   3 ,- ,- ,   31 ,   74 ,... ,   46 ,- 
Monforte,expl (nº),   4 ,   5 ,   9 ,   2 ,- ,- ,- ,   9 ,- ,- ,   2 
,área regada (ha),   284 ,   246 ,   149 ,... ,- ,- ,- ,   68 ,- ,- ,... 
Mora,expl (nº),- ,   6 ,   49 ,- ,   2 ,   2 ,- ,   16 ,   1 ,   2 ,   1 
,área regada (ha),- ,   131 ,   926 ,- ,... ,... ,- ,   134 ,... ,... ,... 
Nisa,expl (nº),- ,- ,   4 ,   6 ,- ,   1 ,   39 ,   30 ,   1 ,   16 ,- 
,área regada (ha),- ,- ,   205 ,   10 ,- ,... ,   76 ,   136 ,... ,   4 ,- 
Ponte de Sor,expl (nº),   1 ,- ,   173 ,   72 ,   18 ,   9 ,   63 ,   186 ,   12 ,   63 ,- 
,área regada (ha),... ,- ,   489 ,   54 ,   267 ,   19 ,   69 ,   459 ,   16 ,   23 ,- 
Portalegre,expl (nº),- ,- ,   10 ,   20 ,- ,   52 ,   43 ,   211 ,   1 ,   106 ,- 
,área regada (ha),- ,- ,   21 ,   24 ,- ,   57 ,   35 ,   745 ,... ,   64 ,- 
Alentejo Central,expl (nº),   159 ,   100 ,   259 ,   31 ,   25 ,   42 ,   3 ,   602 ,   60 ,   59 ,   43 
,área regada (ha),  3 961 ,  2 374 ,  4 294 ,   167 ,   892 ,   547 ,   2 ,  3 400 ,   245 ,   25 ,  1 088 
Alandroal,expl (nº),   12 ,   6 ,   16 ,   4 ,- ,   4 ,- ,   16 ,   4 ,- ,   1 
,área regada (ha),   306 ,   135 ,   669 ,   24 ,- ,   16 ,- ,   58 ,   7 ,- ,... 
Arraiolos,expl (nº),   13 ,   10 ,   19 ,   2 ,   2 ,   4 ,- ,   37 ,   4 ,   6 ,   9 
,área regada (ha),   290 ,   301 ,   358 ,... ,... ,   92 ,- ,   309 ,   8 ,o ,   226 
