Explorações segundo o número de blocos com SAU (Alto Alentejo - Marvão),,,,,,,,,,,,,
,,,,,,,,,,Pág 1/3,,,
REGIÃO AGRÁRIA,,,Número de blocos com SAU,,,,,,,,,,
Nut III / Concelho,,,Total,1,2,3,4 e 5,6 a 9,10 a 19,> = 20,,,
,,blocos com SAU (nº),  1 704 ,   508 ,   282 ,   186 ,   213 ,   275 ,   142 ,   98 ,,,
,Fronteira,expl (nº),   244 ,   121 ,   42 ,   39 ,   30 ,   11 ,   1 ,- ,,,
,,SAU (ha),  17 797 ,  8 811 ,  2 901 ,  2 356 ,  3 070 ,   584 ,... ,- ,,,
,,blocos com SAU (nº),   535 ,   121 ,   84 ,   117 ,   130 ,   73 ,... ,- ,,,
,Gavião,expl (nº),   949 ,   81 ,   147 ,   131 ,   207 ,   226 ,   132 ,   25 ,,,
,,SAU (ha),  7 911 ,   259 ,   924 ,   291 ,   703 ,   859 ,  1 919 ,  2 958 ,,,
,,blocos com SAU (nº),  5 656 ,   81 ,   294 ,   393 ,   917 ,  1 653 ,  1 679 ,   639 ,,,
,Marvão,expl (nº),   558 ,   304 ,   108 ,   64 ,   53 ,   27 ,   2 ,- ,,,
,,SAU (ha),  10 463 ,  3 474 ,  1 046 ,  1 758 ,  2 009 ,  1 557 ,... ,- ,,,
,,blocos com SAU (nº),  1 141 ,   304 ,   216 ,   192 ,   233 ,   175 ,... ,- ,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,
