Culturas regadas (Alentejo Central Arraiolos / Outras),,,,,,,,,,,
,,,,,,,,,,,Pág 3/4
REGIÃO AGRÁRIA / Nut III / Concelho,,Girasol,Tomate para indústria,Hortícolas              ao ar livre,"Prados, Pastagens Permanentes",Pomares excepto citrinos,Citrinos,Vinha para uva de mesa,Vinha para Vinho,Olival,Outras excepto a da horta familiar
ALENTEJO,expl (nº),   809 ,   591 ,  3 206 ,   373 ,  1 840 ,  3 894 ,   91 ,   370 ,  1 156 ,  1 250 
,área regada (ha),  11 425 ,  4 101 ,  4 165 ,  2 854 ,  1 951 ,  1 934 ,   286 ,  2 984 ,  7 050 ,  12 518 
Alentejo Litoral,expl (nº),   169 ,   168 ,   298 ,   156 ,   716 ,  1 276 ,   24 ,   17 ,   51 ,   398 
,área regada (ha),  2 076 ,   808 ,  1 076 ,  1 042 ,   334 ,   594 ,   13 ,   23 ,   89 ,  1 792 
Alcácer do Sal,expl (nº),   11 ,   29 ,   99 ,   4 ,   40 ,   71 ,   2 ,- ,   7 ,   43 
,área regada (ha),   394 ,   221 ,   79 ,   116 ,   13 ,   121 ,... ,- ,   38 ,   240 
Grândola,expl (nº),   3 ,   41 ,   116 ,   7 ,   111 ,   304 ,   3 ,   9 ,   13 ,   61 
,área regada (ha),   49 ,   139 ,   83 ,   19 ,   58 ,   66 ,   1 ,   20 ,   4 ,   201 
Odemira,expl (nº),   82 ,   5 ,   41 ,   140 ,   59 ,   102 ,   5 ,   1 ,   4 ,   242 
,área regada (ha),   827 ,   38 ,   837 ,   820 ,   63 ,   47 ,   7 ,... ,   2 ,   971 
Santiago do Cacém,expl (nº),   73 ,   92 ,   41 ,   4 ,   414 ,   684 ,   14 ,   7 ,   27 ,   46 
,área regada (ha),   806 ,   401 ,   76 ,   61 ,   187 ,   339 ,   5 ,   2 ,   45 ,   337 
Sines,expl (nº),- ,   1 ,   1 ,   1 ,   92 ,   115 ,- ,- ,- ,   6 
,área regada (ha),- ,... ,... ,... ,   13 ,   21 ,- ,- ,- ,   43 
Alto Alentejo,expl (nº),   122 ,   134 ,  1 939 ,   124 ,   519 ,  1 009 ,   14 ,   93 ,   650 ,   350 
,área regada (ha),  2 165 ,  1 387 ,  1 185 ,   589 ,   597 ,   333 ,   8 ,   255 ,  3 636 ,  3 544 
Alter do Chão,expl (nº),   1 ,   1 ,   13 ,   2 ,   9 ,   19 ,- ,   3 ,   11 ,   12 
,área regada (ha),... ,... ,   17 ,... ,   4 ,   5 ,- ,   74 ,   396 ,   353 
Arronches,expl (nº),   2 ,   1 ,   5 ,   13 ,   6 ,   7 ,- ,   3 ,   32 ,   3 
