Principais culturas temporárias (Baixo Alentejo - Beja),,,,,,,,,,,
,,,,,,,,,,,Pág 11/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Almodôvar,,,,,,,,,,
,Culturas temporárias,   426 ,  7 050 ,   413 ,  7 002 ,   26 ,   49 ,   2 ,... ,   24 ,   41 
,Cereais para grão,   244 ,  4 435 ,   240 ,  4 419 ,   9 ,   18 ,   1 ,... ,   8 ,   14 
,Leguminosas secas para grão,   34 ,   56 ,   32 ,   56 ,   2 ,... ,- ,- ,   2 ,... 
,Prados temporários,   14 ,   143 ,   14 ,   143 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   248 ,  2 406 ,   237 ,  2 379 ,   18 ,   27 ,   1 ,... ,   17 ,   27 
,Batata,   12 ,o ,   11 ,o ,   1 ,... ,   1 ,... ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   2 ,... ,   1 ,... ,   1 ,... ,   1 ,... ,- ,- 
,Culturas hortícolas,   8 ,   2 ,   7 ,   2 ,   1 ,... ,- ,- ,   1 ,... 
,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Alvito,,,,,,,,,,
,Culturas temporárias,   132 ,  5 851 ,   129 ,  5 653 ,   8 ,   198 ,   1 ,... ,   7 ,   18 
,Cereais para grão,   71 ,  3 207 ,   70 ,  3 193 ,   4 ,   13 ,- ,- ,   4 ,   13 
,Leguminosas secas para grão,   4 ,   15 ,   3 ,   11 ,   1 ,... ,- ,- ,   1 ,... 
,Prados temporários,   4 ,   340 ,   4 ,   340 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   60 ,  1 126 ,   60 ,  1 126 ,- ,- ,- ,- ,- ,- 
,Batata,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   26 ,  1 105 ,   26 ,   925 ,   1 ,... ,   1 ,... ,- ,- 
,Culturas hortícolas,   34 ,   56 ,   32 ,   56 ,   3 ,   2 ,- ,- ,   3 ,   2 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Barrancos,,,,,,,,,,
,Culturas temporárias,   19 ,   564 ,   17 ,   554 ,   2 ,... ,- ,- ,   2 ,... 
,Cereais para grão,   3 ,   52 ,   3 ,   52 ,- ,- ,- ,- ,- ,- 
,Leguminosas secas para grão,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   14 ,   412 ,   12 ,   402 ,   2 ,... ,- ,- ,   2 ,... 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
