Actividade remunerada exterior à exploração da população agrícola familiar (Alentejo Central - Montemor-o-Novo),,,,,,,,,,,,
,,,,,,,,,,,,Pág 3/5
,,,Nisa,Ponte Sôr,Portalegre,Alentejo Central,Alandroal,Arraiolos,Borba,Estremoz,Évora,Montemor-o-Novo
População agrícola familiar,,,  3 247 ,  4 977 ,  4 091 ,  23 360 ,  2 030 ,  1 037 ,  1 346 ,  2 825 ,  3 049 ,  2 130 
,Actividade exterior - principal,,   805 ,  1 626 ,  1 136 ,  7 701 ,   525 ,   325 ,   510 ,   867 ,  1 101 ,   651 
,,"Agric, prod. animal, caça e activ. seviços relacionados",   39 ,   361 ,   75 ,  1 484 ,   121 ,   57 ,   76 ,   196 ,   172 ,   121 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   13 ,   76 ,   25 ,   61 ,   8 ,   2 ,   2 ,   3 ,   10 ,   3 
,,"Pesca, aquacultura e activ. seviços relacionados",   3 ,   7 ,   2 ,   9 ,- ,   1 ,- ,- ,   1 ,- 
,,Ind. alimentares das bebidas e do tabaco,   24 ,   17 ,   69 ,   190 ,   8 ,   8 ,   15 ,   28 ,   35 ,   12 
,,Outras indústrias,   90 ,   183 ,   172 ,   967 ,   95 ,   18 ,   117 ,   107 ,   122 ,   75 
,,"Prod. e distribuição de  electricidade, gás e água",   17 ,   23 ,   9 ,   49 ,   3 ,   1 ,   4 ,   3 ,   10 ,   4 
,,Construção,   89 ,   259 ,   109 ,   608 ,   59 ,   21 ,   25 ,   48 ,   76 ,   61 
,,Comércio por grosso e retalho,   95 ,   158 ,   129 ,  1 024 ,   69 ,   70 ,   82 ,   131 ,   124 ,   59 
,,Alojamento e restauração,   18 ,   32 ,   16 ,   236 ,   5 ,   9 ,   17 ,   43 ,   34 ,   21 
,,Administração pública,   174 ,   132 ,   181 ,   729 ,   62 ,   32 ,   29 ,   50 ,   133 ,   46 
,,Educação,   39 ,   58 ,   97 ,   496 ,   21 ,   20 ,   20 ,   44 ,   99 ,   47 
,,Saúde e acção social,   39 ,   58 ,   54 ,   306 ,   13 ,   16 ,   9 ,   22 ,   78 ,   40 
,,Outras,   165 ,   262 ,   198 ,  1 542 ,   61 ,   70 ,   114 ,   192 ,   207 ,   162 
,Actividade exterior - secundária,,   2 ,   14 ,   17 ,   120 ,- ,   10 ,   9 ,   10 ,   15 ,   7 
,,"Agric, prod. animal, caça e activ. seviços relacionados",   1 ,   5 ,   10 ,   51 ,- ,   1 ,   1 ,   5 ,   5 ,   4 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",- ,   1 ,   1 ,   2 ,- ,- ,- ,- ,- ,- 
,,"Pesca, aquacultura e activ. seviços relacionados",- ,   1 ,- ,   1 ,- ,- ,   1 ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,- ,   2 ,- ,   2 ,- ,- ,- ,- ,   1 ,   1 
,,Outras indústrias,- ,- ,   1 ,   12 ,- ,   1 ,   3 ,- ,   1 ,- 
,,"Prod. e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Construção,- ,- ,   1 ,   3 ,- ,   1 ,- ,   1 ,- ,- 
,,Comércio por grosso e retalho,- ,   2 ,   4 ,   25 ,- ,   2 ,   3 ,- ,   4 ,   1 
,,Alojamento e restauração,- ,- ,- ,   3 ,- ,- ,- ,   1 ,   1 ,- 
,,Administração pública,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Educação,- ,- ,- ,   2 ,- ,   1 ,- ,- ,- ,   1 
,,Saúde e acção social,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras,   1 ,   3 ,- ,   19 ,- ,   4 ,   1 ,   3 ,   3 ,- 
Produtor Singular,,,  1 388 ,  1 993 ,  1 617 ,  8 639 ,   877 ,   366 ,   498 ,  1 059 ,  1 065 ,   747 
,Actividade exterior - principal,,   329 ,   646 ,   451 ,  2 930 ,   236 ,   121 ,   190 ,   337 ,   411 ,   248 
,,"Agric, prod. animal, caça e activ. seviços relacionados",   27 ,   144 ,   35 ,   658 ,   54 ,   27 ,   32 ,   77 ,   74 ,   71 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   8 ,   30 ,   15 ,   28 ,   4 ,- ,   1 ,   2 ,   1 ,   2 
,,"Pesca, aquacultura e activ. seviços relacionados",   3 ,   4 ,   2 ,   4 ,- ,- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,   11 ,   11 ,   29 ,   60 ,   2 ,   3 ,   7 ,   9 ,   7 ,   3 
,,Outras indústrias,   38 ,   83 ,   73 ,   428 ,   47 ,   9 ,   58 ,   51 ,   43 ,   27 
,,"Prod. e distribuição de  electricidade, gás e água",   14 ,   11 ,   3 ,   18 ,   2 ,- ,   1 ,   2 ,   6 ,   1 
