Mão-de-obra agrícola não familiar (UTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,Mão - de -obra não familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nut III,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concelho,,,Total,Dirigente,Outros trabalhadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   32 ,   13 ,   4 ,   11 ,   19 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monforte,ind (nº),- ,   223 ,   31 ,   192 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   259 ,   204 ,   19 ,   186 ,   51 ,   4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mora,ind (nº),- ,   222 ,   23 ,   199 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   300 ,   209 ,   14 ,   195 ,   86 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nisa,ind (nº),- ,   64 ,   7 ,   57 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   113 ,   56 ,   4 ,   52 ,   55 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponte de Sor,ind (nº),- ,   382 ,   39 ,   343 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   538 ,   336 ,   25 ,   312 ,   192 ,   10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalegre,ind (nº),- ,   202 ,   35 ,   167 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   242 ,   174 ,   17 ,   156 ,   64 ,   4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alentejo Central,ind (nº),- ,  5 082 ,   551 ,  4 531 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,  7 489 ,  4 575 ,   322 ,  4 259 ,  2 781 ,   133 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alandroal,ind (nº),- ,   277 ,   29 ,   248 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   497 ,   263 ,   19 ,   244 ,   226 ,   8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arraiolos,ind (nº),- ,   450 ,   38 ,   412 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   533 ,   432 ,   30 ,   402 ,   96 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borba,ind (nº),- ,   265 ,   36 ,   229 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   448 ,   206 ,   17 ,   189 ,   236 ,   6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estremoz,ind (nº),- ,   414 ,   50 ,   364 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   658 ,   352 ,   23 ,   332 ,   296 ,   10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Évora,ind (nº),- ,   965 ,   103 ,   862 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,  1 081 ,   906 ,   71 ,   839 ,   149 ,   26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montemor-o-Novo,ind (nº),- ,   866 ,   81 ,   785 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,  1 036 ,   779 ,   50 ,   727 ,   241 ,   16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourão,ind (nº),- ,   125 ,   19 ,   106 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   169 ,   112 ,   8 ,   105 ,   55 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portel,ind (nº),- ,   247 ,   30 ,   217 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   320 ,   222 ,   17 ,   204 ,   93 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redondo,ind (nº),- ,   271 ,   36 ,   235 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   894 ,   243 ,   16 ,   226 ,   644 ,   7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reguengos de Monsaraz,ind (nº),- ,   493 ,   49 ,   444 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   865 ,   426 ,   25 ,   400 ,   410 ,   29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sousel,ind (nº),- ,   202 ,   31 ,   171 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   405 ,   185 ,   16 ,   169 ,   211 ,   9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendas Novas,ind (nº),- ,   171 ,   13 ,   158 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   162 ,   140 ,   9 ,   131 ,   20 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viana do Alentejo,ind (nº),- ,   235 ,   17 ,   218 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   276 ,   223 ,   9 ,   214 ,   48 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vila Viçosa,ind (nº),- ,   101 ,   19 ,   82 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   145 ,   86 ,   12 ,   77 ,   56 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baixo Alentejo,ind (nº),- ,  3 209 ,   403 ,  2 806 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,  4 804 ,  2 875 ,   249 ,  2 631 ,  1 781 ,   148 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aljustrel,ind (nº),- ,   227 ,   28 ,   199 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   267 ,   205 ,   22 ,   183 ,   47 ,   15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almodôvar,ind (nº),- ,   63 ,   6 ,   57 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   80 ,   56 ,   2 ,   54 ,   19 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvito,ind (nº),- ,   117 ,   16 ,   101 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   159 ,   105 ,   9 ,   95 ,   49 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrancos,ind (nº),- ,   23 ,   5 ,   18 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   31 ,   17 ,   3 ,   15 ,   14 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beja,ind (nº),- ,   751 ,   87 ,   664 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   832 ,   639 ,   58 ,   582 ,   164 ,   29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castro Verde,ind (nº),- ,   171 ,   23 ,   148 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   188 ,   159 ,   16 ,   143 ,   23 ,   6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,ind (nº),- ,   127 ,   8 ,   119 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   202 ,   108 ,   5 ,   104 ,   88 ,   6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferreira do Alentejo,ind (nº),- ,   330 ,   35 ,   295 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   494 ,   312 ,   20 ,   292 ,   160 ,   22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mértola,ind (nº),- ,   237 ,   30 ,   207 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   283 ,   215 ,   23 ,   191 ,   59 ,   9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moura,ind (nº),- ,   315 ,   39 ,   276 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   777 ,   290 ,   24 ,   269 ,   464 ,   23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ourique,ind (nº),- ,   161 ,   31 ,   130 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   170 ,   144 ,   16 ,   128 ,   22 ,   4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpa,ind (nº),- ,   471 ,   67 ,   404 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   915 ,   428 ,   35 ,   394 ,   470 ,   17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vidigueira,ind (nº),- ,   216 ,   28 ,   188 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   406 ,   197 ,   16 ,   181 ,   202 ,   7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
