Principais culturas temporárias (Alentejo Central - Estremoz),,,,,,,,,,,
,,,,,,,,,,,Pág 7/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Alandroal,,,,,,,,,,
,Culturas temporárias,   370 ,  9 016 ,   347 ,  8 908 ,   59 ,   107 ,- ,- ,   59 ,   107 
,Cereais para grão,   215 ,  6 305 ,   212 ,  6 274 ,   8 ,   32 ,- ,- ,   8 ,   32 
,Leguminosas secas para grão,   12 ,   145 ,   12 ,   145 ,- ,- ,- ,- ,- ,- 
,Prados temporários,   24 ,   127 ,   21 ,   118 ,   3 ,   9 ,- ,- ,   3 ,   9 
,Culturas forrageiras,   206 ,  1 816 ,   180 ,  1 750 ,   47 ,   64 ,- ,- ,   47 ,   64 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   17 ,   512 ,   17 ,   512 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   9 ,   71 ,   9 ,   69 ,   1 ,... ,- ,- ,   1 ,... 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Arraiolos,,,,,,,,,,
,Culturas temporárias,   304 ,  15 164 ,   272 ,  14 898 ,   98 ,   268 ,   7 ,   7 ,   94 ,   260 
,Cereais para grão,   177 ,  6 795 ,   170 ,  6 687 ,   28 ,   109 ,   1 ,... ,   27 ,   105 
,Leguminosas secas para grão,   19 ,   212 ,   15 ,   196 ,   7 ,   16 ,- ,- ,   7 ,   16 
,Prados temporários,   10 ,   459 ,   9 ,   454 ,   2 ,... ,- ,- ,   2 ,... 
,Culturas forrageiras,   184 ,  5 460 ,   150 ,  5 345 ,   56 ,   116 ,   5 ,   3 ,   53 ,   113 
,Batata,   7 ,   1 ,   5 ,o ,   2 ,... ,- ,- ,   2 ,... 
,Beterraba sacarina,   9 ,   226 ,   9 ,   226 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   65 ,  1 954 ,   64 ,  1 942 ,   3 ,   12 ,- ,- ,   3 ,   12 
,Culturas hortícolas,   54 ,   56 ,   43 ,   46 ,   29 ,   11 ,   1 ,... ,   29 ,   10 
,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Borba,,,,,,,,,,
,Culturas temporárias,   206 ,  2 309 ,   162 ,  2 215 ,   80 ,   94 ,   2 ,... ,   80 ,   87 
,Cereais para grão,   57 ,  1 560 ,   56 ,  1 559 ,   2 ,... ,- ,- ,   2 ,... 
,Leguminosas secas para grão,   3 ,   1 ,   3 ,   1 ,- ,- ,- ,- ,- ,- 
