Principais culturas temporárias (Alentejo Central - Portel),,,,,,,,,,,
,Cereais para grão,   137 ,  4 962 ,   124 ,  4 815 ,   22 ,   149 ,- ,- ,   22 ,   149 
,Leguminosas secas para grão,   18 ,   47 ,   9 ,   37 ,   10 ,   10 ,- ,- ,   10 ,   10 
,Prados temporários,   6 ,   36 ,   2 ,... ,   4 ,   17 ,- ,- ,   4 ,   17 
,Culturas forrageiras,   156 ,  2 138 ,   97 ,  1 889 ,   81 ,   250 ,   2 ,... ,   79 ,   229 
,Batata,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   60 ,  1 489 ,   60 ,  1 489 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   30 ,   17 ,   22 ,   14 ,   12 ,   4 ,- ,- ,   12 ,   4 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
