Produtor singular segundo a OTE e as classes de idade (Bovinos para Gado/Carne / Baixo Alentejo - Ferreira do Alentejo),,,,,,,,,,,
,,,,,,,,,,,Pág 6/14
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Aljustrel,,,,,,,,,,
,Total,   459 ,   219 ,   90 ,- ,   3 ,- ,   15 ,   2 ,   4 ,   6 
,15 - 24,   5 ,- ,   3 ,- ,   1 ,- ,- ,- ,- ,   1 
,25 - 34,   32 ,   9 ,   9 ,- ,- ,- ,- ,- ,- ,   2 
,35 - 44,   94 ,   36 ,   25 ,- ,- ,- ,- ,- ,   2 ,   1 
,45 - 54,   98 ,   43 ,   19 ,- ,   1 ,- ,   6 ,- ,- ,   1 
,55 - 64,   97 ,   47 ,   21 ,- ,- ,- ,   2 ,   2 ,   1 ,   1 
,>= 65,   133 ,   84 ,   13 ,- ,   1 ,- ,   7 ,- ,   1 ,- 
,Almodôvar,,,,,,,,,,
,Total,   713 ,   29 ,   3 ,   2 ,   4 ,   5 ,   51 ,   5 ,- ,   13 
,15 - 24,   2 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   26 ,   1 ,- ,- ,- ,- ,- ,- ,- ,   2 
,35 - 44,   61 ,- ,- ,- ,- ,- ,   2 ,   2 ,- ,   3 
,45 - 54,   144 ,   8 ,- ,   1 ,   1 ,   2 ,   5 ,   1 ,- ,   4 
,55 - 64,   229 ,   5 ,   1 ,- ,   1 ,   1 ,   9 ,- ,- ,   2 
,>= 65,   251 ,   15 ,   2 ,   1 ,   2 ,   2 ,   35 ,   2 ,- ,   2 
,Alvito,,,,,,,,,,
,Total,   215 ,   23 ,   5 ,   17 ,   3 ,   13 ,   62 ,   7 ,- ,   7 
,15 - 24,   3 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   6 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,35 - 44,   19 ,   1 ,   1 ,   1 ,- ,- ,   1 ,- ,- ,   3 
,45 - 54,   40 ,   6 ,   2 ,   2 ,   1 ,   4 ,   8 ,   1 ,- ,   2 
,55 - 64,   56 ,   6 ,   1 ,   5 ,   1 ,   3 ,   17 ,   3 ,- ,   1 
,>= 65,   91 ,   10 ,   1 ,   9 ,   1 ,   6 ,   36 ,   3 ,- ,   1 
,Barrancos,,,,,,,,,,
,Total,   279 ,   1 ,- ,- ,- ,- ,   153 ,   1 ,- ,   18 
,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   23 ,   1 ,- ,- ,- ,- ,   4 ,   1 ,- ,   6 
,35 - 44,   28 ,- ,- ,- ,- ,- ,   10 ,- ,- ,   1 
,45 - 54,   37 ,- ,- ,- ,- ,- ,   12 ,- ,- ,   2 
,55 - 64,   71 ,- ,- ,- ,- ,- ,   40 ,- ,- ,   6 
,>= 65,   120 ,- ,- ,- ,- ,- ,   87 ,- ,- ,   3 
,Beja,,,,,,,,,,
,Total,  1 130 ,   558 ,   131 ,   16 ,   8 ,   20 ,   84 ,   8 ,   1 ,   7 
,15 - 24,   6 ,   3 ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   65 ,   33 ,   11 ,- ,- ,- ,   1 ,   1 ,- ,   3 
,35 - 44,   139 ,   77 ,   19 ,   3 ,   1 ,   2 ,   5 ,- ,   1 ,- 
,45 - 54,   185 ,   88 ,   23 ,   3 ,   3 ,   4 ,   9 ,- ,- ,   2 
,55 - 64,   304 ,   149 ,   30 ,   5 ,   2 ,   6 ,   22 ,   3 ,- ,   2 
,>= 65,   431 ,   208 ,   48 ,   5 ,   2 ,   8 ,   47 ,   4 ,- ,- 
,Castro Verde,,,,,,,,,,
,Total,   254 ,   60 ,   3 ,- ,   2 ,   1 ,   4 ,- ,   1 ,   4 
,15 - 24,   4 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   15 ,   6 ,- ,- ,- ,- ,- ,- ,- ,- 
,35 - 44,   41 ,   10 ,- ,- ,   1 ,- ,   1 ,- ,- ,   1 
,45 - 54,   50 ,   12 ,- ,- ,   1 ,- ,- ,- ,   1 ,   1 
,55 - 64,   66 ,   16 ,- ,- ,- ,- ,- ,- ,- ,   2 
,>= 65,   78 ,   16 ,   3 ,- ,- ,   1 ,   3 ,- ,- ,- 
,Cuba,,,,,,,,,,
,Total,   425 ,   120 ,   10 ,   9 ,   83 ,   3 ,   75 ,   18 ,- ,   4 
,15 - 24,   3 ,- ,   1 ,- ,   1 ,- ,- ,- ,- ,- 
,25 - 34,   15 ,   1 ,- ,- ,   4 ,- ,   2 ,   1 ,- ,- 
,35 - 44,   54 ,   16 ,- ,   1 ,   7 ,   1 ,   7 ,   3 ,- ,   2 
,45 - 54,   56 ,   17 ,   2 ,   2 ,   9 ,   1 ,   4 ,   3 ,- ,   1 
,55 - 64,   108 ,   32 ,   2 ,   1 ,   18 ,- ,   21 ,   4 ,- ,- 
,>= 65,   189 ,   54 ,   5 ,   5 ,   44 ,   1 ,   41 ,   7 ,- ,   1 
,Ferreira do Alentejo,,,,,,,,,,
,Total,   714 ,   339 ,   161 ,   1 ,   1 ,   3 ,   28 ,   2 ,- ,   5 
,15 - 24,   5 ,   2 ,   1 ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   50 ,   14 ,   18 ,- ,- ,- ,   1 ,- ,- ,   1 
,35 - 44,   97 ,   37 ,   32 ,   1 ,- ,   1 ,- ,- ,- ,- 
,45 - 54,   136 ,   62 ,   32 ,- ,- ,   1 ,   4 ,   1 ,- ,   2 
,55 - 64,   168 ,   67 ,   46 ,- ,- ,- ,   8 ,- ,- ,- 
,>= 65,   258 ,   157 ,   32 ,- ,   1 ,   1 ,   15 ,   1 ,- ,   2 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
