Produtor singular segundo a OTE e as classes de idade (Não Classificado / Alto Alentejo - Elvas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alto Alentejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,  10 867 ,   42 ,  1 021 ,   120 ,  1 315 ,   284 ,   111 ,   194 ,  1 146 ,   56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 - 24,,   45 ,- ,   6 ,   2 ,- ,   4 ,- ,   2 ,   10 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 - 34,,   354 ,   4 ,   61 ,   6 ,   25 ,   14 ,   5 ,   23 ,   43 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 - 44,,   971 ,   5 ,   154 ,   15 ,   86 ,   30 ,   8 ,   33 ,   114 ,   8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 - 54,,  1 579 ,   12 ,   174 ,   19 ,   174 ,   49 ,   22 ,   34 ,   167 ,   13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 - 64,,  2 627 ,   10 ,   269 ,   33 ,   357 ,   91 ,   33 ,   41 ,   289 ,   16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>= 65,,  5 291 ,   11 ,   357 ,   45 ,   673 ,   96 ,   43 ,   61 ,   523 ,   16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alter do Chão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   333 ,   2 ,   59 ,   1 ,   42 ,   10 ,- ,   14 ,   42 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   1 ,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   9 ,- ,   3 ,- ,- ,- ,- ,   1 ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   37 ,- ,   13 ,- ,   2 ,- ,- ,   2 ,   7 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   61 ,- ,   12 ,- ,   6 ,   3 ,- ,   1 ,   4 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   70 ,   1 ,   12 ,- ,   10 ,   2 ,- ,   5 ,   11 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   155 ,   1 ,   18 ,   1 ,   24 ,   5 ,- ,   5 ,   18 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arronches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   463 ,   4 ,   61 ,   12 ,   22 ,   23 ,   9 ,   11 ,   53 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   1 ,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   20 ,- ,   2 ,   1 ,- ,   4 ,- ,   1 ,   4 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   51 ,   2 ,   10 ,   1 ,   3 ,   5 ,- ,   2 ,   4 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   68 ,   1 ,   12 ,   1 ,   2 ,   3 ,   4 ,   1 ,   7 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   107 ,   1 ,   16 ,   7 ,   4 ,   5 ,   2 ,   2 ,   14 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   216 ,- ,   20 ,   2 ,   13 ,   6 ,   3 ,   5 ,   24 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   437 ,   1 ,   54 ,   1 ,   52 ,   8 ,   2 ,   8 ,   31 ,   10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   4 ,- ,   2 ,   1 ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   22 ,- ,   5 ,- ,   2 ,   2 ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   53 ,- ,   8 ,- ,   4 ,   1 ,- ,   3 ,   1 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   78 ,   1 ,   10 ,- ,   10 ,- ,   2 ,   1 ,   6 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   87 ,- ,   13 ,- ,   13 ,   2 ,- ,   2 ,   5 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   193 ,- ,   16 ,- ,   23 ,   3 ,- ,   2 ,   18 ,   7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Campo Maior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   651 ,- ,   19 ,   4 ,   57 ,   9 ,   3 ,   10 ,   13 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   4 ,- ,- ,- ,- ,- ,- ,   1 ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   25 ,- ,- ,- ,   3 ,- ,   1 ,   1 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   71 ,- ,- ,- ,   10 ,   1 ,- ,   1 ,   1 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   122 ,- ,   6 ,- ,   9 ,- ,   2 ,   3 ,   2 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   165 ,- ,   6 ,- ,   12 ,   3 ,- ,   3 ,   5 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   264 ,- ,   7 ,   4 ,   23 ,   5 ,- ,   1 ,   4 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Castelo de Vide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   298 ,   1 ,   27 ,- ,   58 ,   10 ,- ,   5 ,   49 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   13 ,- ,   1 ,- ,   1 ,- ,- ,   1 ,   5 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   28 ,- ,   5 ,- ,   1 ,   2 ,- ,   3 ,   4 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   46 ,- ,   7 ,- ,   10 ,   4 ,- ,- ,   6 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   68 ,- ,   6 ,- ,   13 ,   3 ,- ,- ,   10 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   142 ,   1 ,   8 ,- ,   33 ,   1 ,- ,   1 ,   23 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
