Explorações segundo as práticas agrícolas e actividades lucrativas não agrícolas,,,,,,,,
REGIÃO AGRÁRIA,Agricultura biológica,,Protecção integrada,,Tratamento de resíduos,,Actividades lucrativas não agrícolas da exploração,
Nut III / Concelho,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
Marvão,   2 ,... ,- ,- ,   68 ,  1 504 ,   2 ,... 
Monforte,   4 ,  1 849 ,   1 ,... ,- ,- ,   5 ,  2 889 
Mora,   3 ,  5 498 ,- ,- ,   5 ,  2 265 ,   6 ,  4 434 
Nisa,   1 ,... ,   3 ,   661 ,   6 ,   288 ,   13 ,  1 531 
Ponte de Sor,   1 ,... ,   2 ,... ,   4 ,   54 ,   13 ,  9 140 
Portalegre,   4 ,   937 ,   12 ,   728 ,   85 ,  3 543 ,   8 ,  1 841 
Alentejo Central,   77 ,  29 248 ,   414 ,  52 754 ,   418 ,  92 996 ,   261 ,  71 495 
Alandroal,   8 ,  3 943 ,   13 ,  5 387 ,   11 ,  8 326 ,   44 ,  11 173 
Arraiolos,   4 ,  1 539 ,   4 ,  1 280 ,   28 ,  10 748 ,   22 ,  7 908 
Borba,   5 ,   347 ,   85 ,  2 877 ,   8 ,   678 ,   6 ,   73 
Estremoz,   2 ,... ,   36 ,  4 476 ,   4 ,  1 648 ,   18 ,  3 172 
Évora,   17 ,  7 789 ,   31 ,  14 415 ,   138 ,  25 492 ,   38 ,  20 159 
Montemor-o-Novo,   6 ,  3 351 ,   6 ,  2 384 ,   54 ,  15 570 ,   32 ,  7 634 
Mourão,   12 ,  5 324 ,   3 ,   120 ,   3 ,  2 053 ,   3 ,   246 
Portel,   6 ,  1 629 ,   6 ,  1 879 ,   37 ,  4 662 ,   44 ,  7 804 
Redondo,   9 ,  3 468 ,   98 ,  8 137 ,   68 ,  4 005 ,   5 ,  1 311 
Reguengos de Monsaraz,   2 ,... ,   127 ,  11 227 ,   10 ,  3 563 ,   8 ,  3 255 
Sousel,   4 ,   390 ,   1 ,... ,   16 ,  4 689 ,   20 ,   731 
Vendas Novas,- ,- ,   1 ,... ,   6 ,  2 219 ,   7 ,  1 964 
