Utilização das terras (Alentejo Central - Montemor-o-Novo),,,,,,,,,,,,
,,,,,,,,,,,,Pág. 3/5
,,,Nisa,Ponte Sôr,Portalegre,Alentejo Central,Alandroal,Arraiolos,Borba,Estremoz,Évora,Montemor-o-Novo
Superfície Total,,expl (nº),  1 392 ,  2 031 ,  1 646 ,  9 173 ,   906 ,   401 ,   532 ,  1 109 ,  1 165 ,   827 
,,área (ha),  30 327 ,  74 327 ,  36 083 ,  613 649 ,  44 604 ,  60 247 ,  9 318 ,  43 315 ,  117 732 ,  96 467 
Superfície Agrícola Utilizada (SAU),,expl (nº),  1 392 ,  1 943 ,  1 620 ,  8 847 ,   875 ,   377 ,   511 ,  1 052 ,  1 140 ,   804 
,,área (ha),  25 604 ,  57 429 ,  29 496 ,  566 254 ,  42 025 ,  54 821 ,  8 277 ,  41 270 ,  108 762 ,  90 381 
Terra arável,,expl (nº),   571 ,  1 623 ,   818 ,  6 020 ,   631 ,   307 ,   226 ,   743 ,   956 ,   656 
,,área (ha),  4 326 ,  20 814 ,  6 420 ,  281 430 ,  26 028 ,  32 827 ,  4 587 ,  19 679 ,  56 490 ,  45 554 
Terra arável limpa,,expl (nº),   554 ,  1 586 ,   765 ,  5 744 ,   536 ,   282 ,   215 ,   729 ,   936 ,   613 
,,área (ha),  3 573 ,  11 196 ,  4 637 ,  197 449 ,  16 008 ,  19 782 ,  3 670 ,  16 749 ,  44 690 ,  22 471 
,Culturas temporárias,expl (nº),   309 ,  1 247 ,   476 ,  4 138 ,   275 ,   247 ,   155 ,   567 ,   744 ,   439 
,,área (ha),  3 114 ,  6 428 ,  2 774 ,  120 388 ,  6 241 ,  11 637 ,  1 858 ,  9 519 ,  31 826 ,  13 453 
,Pousio (com e sem ajuda),expl (nº),   30 ,   380 ,   109 ,  2 796 ,   407 ,   150 ,   86 ,   318 ,   385 ,   219 
,,área (ha),   431 ,  4 716 ,  1 818 ,  76 812 ,  9 743 ,  8 135 ,  1 806 ,  7 210 ,  12 824 ,  8 993 
,Horta familiar,expl (nº),   365 ,   490 ,   389 ,  1 743 ,   136 ,   76 ,   65 ,   182 ,   326 ,   272 
,,área (ha),   30 ,   51 ,   44 ,   247 ,   22 ,   9 ,   6 ,   21 ,   41 ,   26 
Culturas sob-coberto matas e florestas,,expl (nº),   43 ,   176 ,   122 ,  1 014 ,   236 ,   84 ,   26 ,   68 ,   96 ,   189 
,,área (ha),   752 ,  9 616 ,  1 784 ,  83 976 ,  10 018 ,  13 044 ,   917 ,  2 932 ,  11 797 ,  23 083 
,Culturas temporárias,expl (nº),   41 ,   118 ,   116 ,   657 ,   112 ,   61 ,   10 ,   51 ,   80 ,   130 
,,área (ha),   741 ,  4 374 ,  1 436 ,  29 861 ,  2 668 ,  3 260 ,   358 ,   930 ,  4 824 ,  7 636 
,Pousio (com e sem ajuda),expl (nº),   3 ,   105 ,   14 ,   670 ,   204 ,   64 ,   19 ,   24 ,   53 ,   120 
,,área (ha),   11 ,  5 243 ,   348 ,  54 128 ,  7 353 ,  9 783 ,   560 ,  2 003 ,  6 977 ,  15 448 
Culturas permanentes,,expl (nº),  1 342 ,  1 479 ,  1 487 ,  7 010 ,   742 ,   255 ,   468 ,   816 ,   690 ,   547 
,,área (ha),  5 505 ,  3 470 ,  5 394 ,  46 857 ,  3 357 ,  1 683 ,  2 750 ,  6 526 ,  4 559 ,  3 082 
Sem culturas sob-coberto,,expl (nº),   363 ,  1 107 ,   929 ,  4 955 ,   699 ,   114 ,   349 ,   449 ,   388 ,   157 
,,área (ha),  1 213 ,  1 902 ,  2 445 ,  29 732 ,  2 618 ,   852 ,  2 232 ,  3 861 ,  2 326 ,   885 
Com culturas temporárias,,expl (nº),   323 ,   492 ,   488 ,  1 310 ,   59 ,   94 ,   80 ,   133 ,   213 ,   204 
,,área (ha),   614 ,   621 ,  1 042 ,  3 829 ,   107 ,   260 ,   86 ,   416 ,   746 ,   667 
Com pousio (com e sem ajuda),,expl (nº),   8 ,   73 ,   150 ,   561 ,   6 ,   41 ,   25 ,   90 ,   99 ,   157 
,,área (ha),   10 ,   372 ,   329 ,  2 552 ,   75 ,   205 ,   44 ,   346 ,   376 ,   642 
Com horta familiar,,expl (nº),   234 ,   111 ,   383 ,   790 ,   10 ,   55 ,   30 ,   17 ,   138 ,   122 
,,área (ha),   14 ,   12 ,   41 ,   89 ,   3 ,   4 ,   3 ,   1 ,   14 ,   8 
Com pastagens permanentes,,expl (nº),  1 015 ,   126 ,   497 ,  1 254 ,   27 ,   46 ,   98 ,   262 ,   107 ,   151 
,,área (ha),  3 655 ,   564 ,  1 535 ,  10 647 ,   554 ,   364 ,   385 ,  1 898 ,  1 094 ,   879 
Pastagens permanentes,,expl (nº),   699 ,   386 ,   360 ,  1 812 ,   155 ,   111 ,   36 ,   225 ,   281 ,   266 
