Principais culturas temporárias (Alto Alentejo),,,,,,,,,,,
,,,,,,,,,,,Pág 2/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Odemira,,,,,,,,,,
,Culturas temporárias,  1 433 ,  20 836 ,  1 417 ,  20 336 ,   117 ,   502 ,   35 ,   389 ,   83 ,   114 
,Cereais para grão,  1 059 ,  11 553 ,  1 046 ,  11 447 ,   52 ,   108 ,   6 ,   22 ,   46 ,   86 
,Leguminosas secas para grão,   187 ,   518 ,   183 ,   487 ,   6 ,   31 ,   1 ,... ,   5 ,   2 
,Prados temporários,   111 ,   469 ,   111 ,   469 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   655 ,  4 991 ,   643 ,  4 793 ,   41 ,   198 ,   17 ,   175 ,   25 ,   23 
,Batata,   126 ,   350 ,   118 ,   217 ,   10 ,   133 ,   7 ,   133 ,   3 ,o 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   115 ,  1 803 ,   115 ,  1 803 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   74 ,   965 ,   66 ,   932 ,   12 ,   33 ,   4 ,   30 ,   8 ,   3 
,Flores e plantas ornamentais,   13 ,   102 ,   11 ,   102 ,   2 ,... ,   1 ,... ,   1 ,... 
,Sementes de culturas forrageiras,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,   8 ,o ,   8 ,o ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,   149 ,   87 ,   147 ,   87 ,   2 ,... ,   2 ,... ,- ,- 
,Santiago do Cacém,,,,,,,,,,
,Culturas temporárias,   883 ,  19 540 ,   868 ,  19 366 ,   87 ,   175 ,   5 ,   10 ,   84 ,   165 
,Cereais para grão,   570 ,  10 952 ,   562 ,  10 880 ,   41 ,   74 ,   3 ,   3 ,   38 ,   71 
,Leguminosas secas para grão,   127 ,   815 ,   121 ,   808 ,   9 ,   6 ,   1 ,... ,   8 ,   6 
,Prados temporários,   8 ,   29 ,   7 ,   28 ,   1 ,... ,- ,- ,   1 ,... 
,Culturas forrageiras,   344 ,  5 400 ,   334 ,  5 311 ,   32 ,   89 ,   3 ,   6 ,   31 ,   83 
,Batata,   21 ,   50 ,   18 ,   48 ,   3 ,   1 ,   1 ,... ,   2 ,... 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   92 ,  1 780 ,   91 ,  1 776 ,   4 ,   4 ,- ,- ,   4 ,   4 
,Culturas hortícolas,   134 ,   504 ,   131 ,   503 ,   6 ,   1 ,- ,- ,   6 ,   1 
,Flores e plantas ornamentais,   3 ,   5 ,   3 ,   5 ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,   2 ,... ,   1 ,... ,   1 ,... ,- ,- ,   1 ,... 
,Sementes e propágulos de outras culturas não lenhosas,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sines,,,,,,,,,,
,Culturas temporárias,   137 ,  2 811 ,   137 ,  2 810 ,   1 ,... ,- ,- ,   1 ,... 
