Explorações segundo o número de blocos com SAU (Alentejo Central - Vendas Novas),,,,,,,,,,,,,
,,,,,,,,,,Pág 2/3,,,
REGIÃO AGRÁRIA,,,Número de blocos com SAU,,,,,,,,,,
Nut III / Concelho,,,Total,1,2,3,4 e 5,6 a 9,10 a 19,> = 20,,,
,Monforte,expl (nº),   250 ,   141 ,   61 ,   19 ,   22 ,   6 ,   1 ,- ,,,
,,SAU (ha),  37 740 ,  16 630 ,  8 925 ,  3 247 ,  5 981 ,  2 843 ,... ,- ,,,
,,blocos com SAU (nº),   473 ,   141 ,   122 ,   57 ,   99 ,   39 ,... ,- ,,,
,Mora,expl (nº),   503 ,   285 ,   124 ,   47 ,   28 ,   17 ,   2 ,- ,,,
,,SAU (ha),  44 121 ,  11 957 ,  13 653 ,  8 583 ,  8 428 ,  1 420 ,... ,- ,,,
,,blocos com SAU (nº),   940 ,   285 ,   248 ,   141 ,   123 ,   118 ,... ,- ,,,
,Nisa,expl (nº),  1 392 ,   297 ,   290 ,   219 ,   266 ,   231 ,   79 ,   10 ,,,
,,SAU (ha),  25 604 ,  2 986 ,  2 257 ,  3 362 ,  3 785 ,  5 597 ,  6 083 ,  1 537 ,,,
,,blocos com SAU (nº),  5 559 ,   297 ,   580 ,   657 ,  1 180 ,  1 611 ,   980 ,   254 ,,,
,Ponte de Sor,expl (nº),  1 943 ,  1 064 ,   426 ,   210 ,   166 ,   71 ,   5 ,   1 ,,,
,,SAU (ha),  57 429 ,  12 484 ,  9 959 ,  9 890 ,  13 348 ,  11 581 ,   123 ,... ,,,
,,blocos com SAU (nº),  3 828 ,  1 064 ,   852 ,   630 ,   727 ,   473 ,   62 ,... ,,,
,Portalegre,expl (nº),  1 620 ,  1 137 ,   246 ,   112 ,   85 ,   31 ,   9 ,- ,,,
,,SAU (ha),  29 496 ,  11 900 ,  5 319 ,  4 547 ,  5 037 ,   931 ,  1 761 ,- ,,,
,,blocos com SAU (nº),  2 668 ,  1 137 ,   492 ,   336 ,   372 ,   214 ,   117 ,- ,,,
Alentejo Central,,expl (nº),  8 847 ,  4 488 ,  1 779 ,   936 ,   869 ,   518 ,   222 ,   35 ,,,
,,SAU (ha),  566 254 ,  215 932 ,  112 526 ,  67 784 ,  75 154 ,  65 465 ,  23 099 ,  6 304 ,,,
,,blocos com SAU (nº),  22 061 ,  4 488 ,  3 558 ,  2 808 ,  3 826 ,  3 669 ,  2 829 ,   883 ,,,
,Alandroal,expl (nº),   875 ,   385 ,   200 ,   130 ,   101 ,   42 ,   15 ,   2 ,,,
,,SAU (ha),  42 025 ,  16 351 ,  6 032 ,  5 828 ,  8 819 ,  3 702 ,  1 073 ,... ,,,
,,blocos com SAU (nº),  2 154 ,   385 ,   400 ,   390 ,   447 ,   297 ,   192 ,... ,,,
,Arraiolos,expl (nº),   377 ,   199 ,   77 ,   36 ,   24 ,   24 ,   14 ,   3 ,,,
,,SAU (ha),  54 821 ,  24 894 ,  13 448 ,  6 564 ,  1 862 ,  5 878 ,  1 937 ,   235 ,,,
,,blocos com SAU (nº),  1 002 ,   199 ,   154 ,   108 ,   104 ,   182 ,   174 ,   81 ,,,
,Borba,expl (nº),   511 ,   289 ,   111 ,   45 ,   42 ,   16 ,   7 ,   1 ,,,
,,SAU (ha),  8 277 ,  3 914 ,   858 ,  1 184 ,  1 008 ,   933 ,   219 ,... ,,,
,,blocos com SAU (nº),  1 041 ,   289 ,   222 ,   135 ,   185 ,   108 ,   82 ,... ,,,
,Estremoz,expl (nº),  1 052 ,   552 ,   197 ,   112 ,   99 ,   70 ,   21 ,   1 ,,,
,,SAU (ha),  41 270 ,  12 922 ,  8 606 ,  5 482 ,  4 957 ,  7 491 ,  1 452 ,... ,,,
,,blocos com SAU (nº),  2 500 ,   552 ,   394 ,   336 ,   443 ,   487 ,   263 ,... ,,,
,Évora,expl (nº),  1 140 ,   693 ,   191 ,   99 ,   81 ,   57 ,   18 ,   1 ,,,
,,SAU (ha),  108 762 ,  43 962 ,  20 936 ,  12 977 ,  11 855 ,  17 721 ,  1 256 ,... ,,,
,,blocos com SAU (nº),  2 387 ,   693 ,   382 ,   297 ,   359 ,   395 ,   237 ,... ,,,
,Montemor-o-Novo,expl (nº),   804 ,   568 ,   137 ,   40 ,   48 ,   6 ,   4 ,   1 ,,,
,,SAU (ha),  90 381 ,  40 467 ,  19 210 ,  7 282 ,  14 566 ,  3 792 ,  4 088 ,... ,,,
,,blocos com SAU (nº),  1 284 ,   568 ,   274 ,   120 ,   204 ,   41 ,   44 ,... ,,,
,Mourão,expl (nº),   362 ,   104 ,   59 ,   45 ,   55 ,   54 ,   40 ,   5 ,,,
