Produtor singular segundo a OTE e as classes de idade (Não Classificado / Alentejo Litoral - Sines),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 8/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALENTEJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   261 ,- ,   62 ,   24 ,   23 ,   13 ,   14 ,   6 ,   23 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   402 ,- ,   105 ,   22 ,   36 ,   16 ,   19 ,   8 ,   45 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odemira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,  1 878 ,   5 ,   251 ,   183 ,   154 ,   107 ,   117 ,   235 ,   120 ,   16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   5 ,- ,   1 ,   2 ,- ,- ,- ,- ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   76 ,   1 ,   11 ,   13 ,   6 ,   3 ,   4 ,   15 ,- ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   223 ,- ,   30 ,   23 ,   16 ,   12 ,   9 ,   35 ,   13 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   316 ,   2 ,   44 ,   22 ,   28 ,   15 ,   21 ,   36 ,   25 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   530 ,   1 ,   80 ,   43 ,   38 ,   32 ,   42 ,   78 ,   28 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   728 ,   1 ,   85 ,   80 ,   66 ,   45 ,   41 ,   71 ,   52 ,   11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santiago do Cacém,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,  1 581 ,   4 ,   244 ,   112 ,   147 ,   65 ,   66 ,   71 ,   122 ,   24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
