Produtor singular segundo a OTE e as classes de idade (Não Classificado / Baixo Alentejo - Ferreira do Alentejo),,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 13/14,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,
,15 - 24,   3 ,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   15 ,- ,   2 ,   1 ,- ,   1 ,   1 ,   1 ,- ,   1 ,,,,,,
,35 - 44,   54 ,- ,   5 ,   1 ,   6 ,   1 ,- ,   2 ,   2 ,- ,,,,,,
,45 - 54,   56 ,- ,   6 ,   2 ,   5 ,   1 ,- ,   2 ,- ,   1 ,,,,,,
,55 - 64,   108 ,- ,   6 ,   1 ,   8 ,   1 ,   1 ,   6 ,   5 ,   2 ,,,,,,
,>= 65,   189 ,- ,   6 ,- ,   19 ,- ,   1 ,   1 ,   2 ,   2 ,,,,,,
,Ferreira do Alentejo,,,,,,,,,,,,,,,,
,Total,   714 ,- ,   78 ,   2 ,   28 ,   7 ,   2 ,   41 ,   6 ,   10 ,,,,,,
,15 - 24,   5 ,- ,   2 ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   50 ,- ,   9 ,   1 ,- ,   1 ,- ,   5 ,- ,- ,,,,,,
,35 - 44,   97 ,- ,   12 ,- ,   4 ,- ,- ,   9 ,- ,   1 ,,,,,,
,45 - 54,   136 ,- ,   18 ,   1 ,   4 ,   2 ,- ,   7 ,   1 ,   1 ,,,,,,
,55 - 64,   168 ,- ,   20 ,- ,   8 ,   3 ,   1 ,   8 ,   4 ,   3 ,,,,,,
,>= 65,   258 ,- ,   17 ,- ,   12 ,   1 ,   1 ,   12 ,   1 ,   5 ,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,,,,
