Produtor singular segundo a  dimensão económica e as classes de idade (Alentejo Central - Sousel),,,,,,,,,,
,,,,,,,,,,Pág 5/8
REGIÃO AGRÁRIA,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III / Concelho,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,Évora,,,,,,,,
,,Total,  1 041 ,   545 ,   140 ,   102 ,   72 ,   96 ,   53 ,   33 
,,15 - 24,   3 ,   1 ,- ,   1 ,- ,- ,   1 ,- 
,,25 - 34,   43 ,   17 ,   5 ,   2 ,- ,   11 ,   5 ,   3 
,,35 - 44,   126 ,   49 ,   14 ,   13 ,   13 ,   22 ,   7 ,   8 
,,45 - 54,   191 ,   106 ,   21 ,   21 ,   11 ,   17 ,   12 ,   3 
,,55 - 64,   259 ,   132 ,   41 ,   28 ,   15 ,   22 ,   13 ,   8 
,,>= 65,   419 ,   240 ,   59 ,   37 ,   33 ,   24 ,   15 ,   11 
,,Montemor-o-Novo,,,,,,,,
,,Total,   736 ,   314 ,   87 ,   90 ,   76 ,   104 ,   51 ,   14 
,,15 - 24,   4 ,   1 ,- ,- ,- ,   2 ,   1 ,- 
,,25 - 34,   31 ,   10 ,   1 ,   9 ,   4 ,   4 ,   3 ,- 
,,35 - 44,   75 ,   17 ,   7 ,   13 ,   6 ,   21 ,   9 ,   2 
,,45 - 54,   147 ,   52 ,   16 ,   16 ,   17 ,   29 ,   13 ,   4 
,,55 - 64,   205 ,   89 ,   25 ,   25 ,   27 ,   22 ,   10 ,   7 
,,>= 65,   274 ,   145 ,   38 ,   27 ,   22 ,   26 ,   15 ,   1 
,,Mourão,,,,,,,,
,,Total,   349 ,   207 ,   37 ,   36 ,   29 ,   22 ,   14 ,   4 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,   17 ,   5 ,- ,   4 ,   4 ,   2 ,   2 ,- 
,,35 - 44,   39 ,   18 ,   7 ,   4 ,   2 ,   7 ,   1 ,- 
,,45 - 54,   54 ,   25 ,   8 ,   6 ,   4 ,   5 ,   4 ,   2 
,,55 - 64,   76 ,   47 ,   5 ,   8 ,   6 ,   6 ,   3 ,   1 
,,>= 65,   163 ,   112 ,   17 ,   14 ,   13 ,   2 ,   4 ,   1 
,,Portel,,,,,,,,
,,Total,   739 ,   522 ,   92 ,   37 ,   21 ,   45 ,   18 ,   4 
,,15 - 24,   2 ,   2 ,- ,- ,- ,- ,- ,- 
,,25 - 34,   31 ,   18 ,   2 ,   3 ,- ,   7 ,   1 ,- 
,,35 - 44,   63 ,   37 ,   5 ,   5 ,   3 ,   5 ,   7 ,   1 
,,45 - 54,   104 ,   67 ,   11 ,   7 ,   5 ,   9 ,   4 ,   1 
,,55 - 64,   187 ,   127 ,   31 ,   6 ,   7 ,   14 ,   2 ,- 
,,>= 65,   352 ,   271 ,   43 ,   16 ,   6 ,   10 ,   4 ,   2 
,,Redondo,,,,,,,,
,,Total,   635 ,   327 ,   98 ,   65 ,   47 ,   47 ,   32 ,   19 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,   36 ,   13 ,   6 ,   4 ,   2 ,   1 ,   6 ,   4 
,,35 - 44,   56 ,   24 ,   4 ,   6 ,   7 ,   7 ,   5 ,   3 
,,45 - 54,   96 ,   46 ,   20 ,   11 ,   7 ,   8 ,   2 ,   2 
,,55 - 64,   177 ,   85 ,   25 ,   19 ,   17 ,   15 ,   8 ,   8 
,,>= 65,   270 ,   159 ,   43 ,   25 ,   14 ,   16 ,   11 ,   2 
,,Reguengos de Monsaraz,,,,,,,,
,,Total,   941 ,   444 ,   133 ,   116 ,   97 ,   87 ,   47 ,   17 
