Produtor singular segundo a  dimensão económica e as classes de idade (Alentejo Litoral - Sines),,,,,,,,,,
,,,,,,,,,,Pág 1/8
REGIÃO AGRÁRIA,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III / Concelho,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
ALENTEJO,,,,,,,,,,
Total,,,  34 097 ,  17 580 ,  5 044 ,  4 131 ,  3 063 ,  2 651 ,  1 232 ,   396 
15 - 24,,,   144 ,   46 ,   18 ,   19 ,   33 ,   16 ,   8 ,   4 
25 - 34,,,  1 401 ,   414 ,   167 ,   193 ,   219 ,   271 ,   113 ,   24 
35 - 44,,,  3 560 ,  1 197 ,   461 ,   490 ,   527 ,   563 ,   245 ,   77 
45 - 54,,,  5 653 ,  2 460 ,   882 ,   805 ,   595 ,   559 ,   277 ,   75 
55 - 64,,,  8 677 ,  4 293 ,  1 345 ,  1 184 ,   819 ,   653 ,   282 ,   101 
>= 65,,,  14 662 ,  9 170 ,  2 171 ,  1 440 ,   870 ,   589 ,   307 ,   115 
,Alentejo Litoral,,,,,,,,,
,Total,,  5 421 ,  2 444 ,   854 ,   857 ,   571 ,   466 ,   193 ,   36 
,15 - 24,,   30 ,   8 ,   7 ,   6 ,   7 ,   1 ,   1 ,- 
,25 - 34,,   217 ,   63 ,   27 ,   29 ,   38 ,   41 ,   16 ,   3 
,35 - 44,,   624 ,   175 ,   82 ,   124 ,   105 ,   88 ,   43 ,   7 
,45 - 54,,  1 033 ,   355 ,   159 ,   203 ,   141 ,   112 ,   54 ,   9 
,55 - 64,,  1 467 ,   624 ,   249 ,   255 ,   160 ,   132 ,   38 ,   9 
,>= 65,,  2 050 ,  1 219 ,   330 ,   240 ,   120 ,   92 ,   41 ,   8 
,,Alcácer do Sal,,,,,,,,
,,Total,   818 ,   189 ,   129 ,   218 ,   121 ,   94 ,   58 ,   9 
,,15 - 24,   5 ,- ,   1 ,   2 ,   2 ,- ,- ,- 
,,25 - 34,   41 ,   10 ,   4 ,   6 ,   13 ,   5 ,   3 ,- 
,,35 - 44,   131 ,   16 ,   23 ,   42 ,   20 ,   19 ,   10 ,   1 
,,45 - 54,   207 ,   39 ,   32 ,   55 ,   37 ,   28 ,   13 ,   3 
,,55 - 64,   194 ,   43 ,   38 ,   54 ,   23 ,   22 ,   13 ,   1 
,,>= 65,   240 ,   81 ,   31 ,   59 ,   26 ,   20 ,   19 ,   4 
,,Grândola,,,,,,,,
,,Total,   974 ,   474 ,   162 ,   151 ,   90 ,   67 ,   26 ,   4 
,,15 - 24,   11 ,   5 ,   2 ,   3 ,- ,   1 ,- ,- 
,,25 - 34,   31 ,   14 ,   6 ,   4 ,   2 ,   4 ,   1 ,- 
,,35 - 44,   92 ,   23 ,   13 ,   21 ,   14 ,   12 ,   8 ,   1 
,,45 - 54,   180 ,   74 ,   31 ,   30 ,   20 ,   18 ,   7 ,- 
,,55 - 64,   261 ,   119 ,   40 ,   45 ,   34 ,   19 ,   1 ,   3 
,,>= 65,   399 ,   239 ,   70 ,   48 ,   20 ,   13 ,   9 ,- 
,,Odemira,,,,,,,,
,,Total,  1 862 ,   917 ,   300 ,   254 ,   178 ,   152 ,   51 ,   10 
,,15 - 24,   5 ,   3 ,   1 ,- ,   1 ,- ,- ,- 
,,25 - 34,   75 ,   24 ,   7 ,   7 ,   15 ,   12 ,   8 ,   2 
,,35 - 44,   222 ,   66 ,   28 ,   35 ,   40 ,   34 ,   14 ,   5 
,,45 - 54,   314 ,   120 ,   44 ,   66 ,   35 ,   32 ,   14 ,   3 
,,55 - 64,   529 ,   243 ,   103 ,   83 ,   48 ,   43 ,   9 ,- 
,,>= 65,   717 ,   461 ,   117 ,   63 ,   39 ,   31 ,   6 ,- 
,,Santiago do Cacém,,,,,,,,
,,Total,  1 557 ,   766 ,   226 ,   207 ,   164 ,   130 ,   52 ,   12 
,,15 - 24,   9 ,- ,   3 ,   1 ,   4 ,- ,   1 ,- 
,,25 - 34,   62 ,   13 ,   8 ,   11 ,   8 ,   17 ,   4 ,   1 
,,35 - 44,   150 ,   60 ,   14 ,   22 ,   24 ,   19 ,   11 ,- 
,,45 - 54,   294 ,   109 ,   43 ,   45 ,   46 ,   29 ,   19 ,   3 
,,55 - 64,   422 ,   185 ,   59 ,   68 ,   50 ,   43 ,   12 ,   5 
,,>= 65,   620 ,   399 ,   99 ,   60 ,   32 ,   22 ,   5 ,   3 
,,Sines,,,,,,,,
,,Total,   210 ,   98 ,   37 ,   27 ,   18 ,   23 ,   6 ,   1 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,   8 ,   2 ,   2 ,   1 ,- ,   3 ,- ,- 
,,35 - 44,   29 ,   10 ,   4 ,   4 ,   7 ,   4 ,- ,- 
,,45 - 54,   38 ,   13 ,   9 ,   7 ,   3 ,   5 ,   1 ,- 
,,55 - 64,   61 ,   34 ,   9 ,   5 ,   5 ,   5 ,   3 ,- 
,,>= 65,   74 ,   39 ,   13 ,   10 ,   3 ,   6 ,   2 ,   1 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,
