Explorações segundo o número de suínos (Alentejo Central - Arraiolos),,,,,,,,,,,,
,,,,,,,,,,,,Pág 1/2
REGIÃO AGRÁRIA,,Total,Classes de número de animais,,,,,,,,,
Nut III / Concelho,,,1 a 2,3 a 4,5 a 9,10 a 19,20 a 49,50 a 99,100 a 199,200 a 399,400 a 999,> = 1000
ALENTEJO,expl (nº),  7 355 ,  3 537 ,  1 064 ,   737 ,   652 ,   566 ,   276 ,   203 ,   126 ,   106 ,   88 
,efect (nº),  466 228 ,  5 275 ,  3 571 ,  4 798 ,  8 863 ,  16 943 ,  19 359 ,  27 476 ,  34 514 ,  63 792 ,  281 637 
Alentejo Litoral,expl (nº),  2 363 ,  1 185 ,   311 ,   251 ,   219 ,   179 ,   82 ,   40 ,   27 ,   31 ,   38 
,efect (nº),  150 305 ,  1 655 ,  1 056 ,  1 624 ,  2 992 ,  5 473 ,  5 895 ,  5 205 ,  6 866 ,  19 183 ,  100 356 
Alcácer do Sal,expl (nº),   118 ,   59 ,   14 ,   10 ,   12 ,   4 ,   5 ,   5 ,   2 ,   2 ,   5 
,efect (nº),  14 825 ,   94 ,   46 ,   59 ,   160 ,   123 ,   355 ,   686 ,... ,... ,  11 547 
Grândola,expl (nº),   387 ,   218 ,   48 ,   32 ,   15 ,   18 ,   14 ,   16 ,   7 ,   10 ,   9 
,efect (nº),  37 269 ,   298 ,   155 ,   206 ,   217 ,   500 ,  1 062 ,  2 161 ,  1 752 ,  6 102 ,  24 816 
Odemira,expl (nº),  1 051 ,   486 ,   158 ,   137 ,   120 ,   97 ,   35 ,   9 ,   4 ,   3 ,   2 
,efect (nº),  15 316 ,   694 ,   545 ,   901 ,  1 649 ,  2 923 ,  2 516 ,  1 096 ,  1 001 ,  1 795 ,... 
Santiago do Cacém,expl (nº),   713 ,   367 ,   80 ,   61 ,   65 ,   55 ,   26 ,   9 ,   14 ,   15 ,   21 
,efect (nº),  76 293 ,   494 ,   275 ,   393 ,   870 ,  1 786 ,  1 806 ,  1 158 ,  3 580 ,  9 540 ,  56 391 
Sines,expl (nº),   94 ,   55 ,   11 ,   11 ,   7 ,   5 ,   2 ,   1 ,- ,   1 ,   1 
,efect (nº),  6 602 ,   75 ,   35 ,   65 ,   96 ,   141 ,... ,... ,- ,... ,... 
Alto Alentejo,expl (nº),  1 914 ,  1 303 ,   275 ,   125 ,   90 ,   53 ,   18 ,   27 ,   9 ,   4 ,   10 
,efect (nº),  43 676 ,  1 936 ,   909 ,   793 ,  1 189 ,  1 594 ,  1 238 ,  3 715 ,  2 761 ,  2 483 ,  27 058 
Alter do Chão,expl (nº),   14 ,   6 ,   2 ,   2 ,   2 ,   1 ,- ,   1 ,- ,- ,- 
,efect (nº),   234 ,   10 ,... ,... ,... ,... ,- ,... ,- ,- ,- 
Arronches,expl (nº),   99 ,   56 ,   18 ,   4 ,   9 ,   4 ,   3 ,   1 ,   3 ,- ,   1 
,efect (nº),  4 733 ,   84 ,   59 ,   26 ,   118 ,   115 ,   205 ,... ,   862 ,- ,... 
Avis,expl (nº),   49 ,   18 ,   12 ,   4 ,   6 ,   3 ,   2 ,   2 ,   1 ,   1 ,- 
,efect (nº),  1 919 ,   26 ,   40 ,   26 ,   88 ,   106 ,... ,... ,... ,... ,- 
Campo Maior,expl (nº),   37 ,   18 ,   6 ,   8 ,   2 ,   2 ,- ,   1 ,- ,- ,- 
,efect (nº),   339 ,   30 ,   18 ,   52 ,... ,... ,- ,... ,- ,- ,- 
Castelo de Vide,expl (nº),   52 ,   40 ,   9 ,   3 ,- ,- ,- ,- ,- ,- ,- 
,efect (nº),   113 ,   63 ,   33 ,   17 ,- ,- ,- ,- ,- ,- ,- 
Crato,expl (nº),   63 ,   45 ,   8 ,   4 ,   3 ,   1 ,   1 ,- ,   1 ,- ,- 
,efect (nº),   573 ,   68 ,   27 ,   23 ,   32 ,... ,... ,- ,... ,- ,- 
Elvas,expl (nº),   81 ,   31 ,   8 ,   13 ,   12 ,   5 ,   3 ,   7 ,- ,- ,   2 
,efect (nº),  6 910 ,   49 ,   28 ,   84 ,   152 ,   148 ,   234 ,   984 ,- ,- ,... 
Fronteira,expl (nº),   53 ,   29 ,   8 ,   5 ,   4 ,   3 ,- ,   1 ,- ,   1 ,   2 
,efect (nº),  4 140 ,   45 ,   28 ,   27 ,   51 ,   78 ,- ,... ,- ,... ,... 
