"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (OTE / Alentejo Central - Vidigueira)",,,,,,,,
,,,,,,,,Pág 14/14
,,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
OTE,expl (nº),   433 ,   745 ,   714 ,  1 581 ,   670 ,  1 876 ,   618 
,SAL (ha),  13 427 ,  48 589 ,  80 865 ,  69 118 ,  43 164 ,  83 990 ,  28 402 
Cereais plantas olea./proteaginosas,expl (nº),   123 ,   351 ,   70 ,   59 ,   51 ,   124 ,   50 
,SAL (ha),  5 279 ,  19 566 ,  11 410 ,  5 417 ,  3 352 ,  12 729 ,  4 365 
Culturas agrícolas diversas,expl (nº),   10 ,   165 ,   8 ,   81 ,   11 ,   55 ,   23 
,SAL (ha),   675 ,  7 233 ,  1 151 ,  4 024 ,   820 ,  3 793 ,   987 
Horticultura,expl (nº),   10 ,   2 ,   5 ,   5 ,- ,   5 ,   7 
,SAL (ha),   48 ,... ,   19 ,   27 ,- ,   14 ,   29 
Viticultura,expl (nº),   83 ,   1 ,- ,   111 ,   5 ,   3 ,   147 
,SAL (ha),   717 ,... ,- ,  1 394 ,   25 ,   626 ,  2 434 
Fruticultura,expl (nº),   3 ,   3 ,   62 ,   42 ,   2 ,   41 ,   27 
,SAL (ha),   11 ,   94 ,  3 519 ,  1 057 ,... ,   241 ,   400 
Olivicultura,expl (nº),   75 ,   29 ,   26 ,   639 ,   27 ,   846 ,   126 
,SAL (ha),   207 ,  1 233 ,   214 ,  7 855 ,   176 ,  9 997 ,  1 126 
Culturas permanentes diversas,expl (nº),   18 ,   2 ,   14 ,   141 ,   3 ,   57 ,   67 
,SAL (ha),   322 ,... ,   261 ,  4 436 ,   144 ,   915 ,   747 
Bovinos de leite,expl (nº),- ,- ,   2 ,- ,- ,- ,   1 
,SAL (ha),- ,- ,... ,- ,- ,- ,... 
Bovinos para gado/carne,expl (nº),   5 ,   8 ,   6 ,   27 ,   21 ,   12 ,   3 
,SAL (ha),  1 232 ,  2 270 ,   435 ,  4 444 ,  1 216 ,  1 070 ,   70 
Bovinos para leite/gado/carne,expl (nº),- ,   1 ,- ,- ,- ,- ,   2 
,SAL (ha),- ,... ,- ,- ,- ,- ,... 
Ovinos/caprinos/out. herbívoros,expl (nº),   26 ,   78 ,   274 ,   100 ,   231 ,   229 ,   40 
,SAL (ha),   282 ,  2 569 ,  21 309 ,  6 869 ,  10 875 ,  9 646 ,  2 911 
Granívoros,expl (nº),   5 ,   4 ,   15 ,   8 ,   86 ,   17 ,   2 
,SAL (ha),   221 ,   38 ,   293 ,   58 ,   885 ,   349 ,... 
Policultura,expl (nº),   40 ,   30 ,   39 ,   215 ,   29 ,   225 ,   74 
,SAL (ha),  3 354 ,  3 976 ,  3 759 ,  15 018 ,  2 116 ,  24 203 ,  9 326 
Polipecuária-herbívoros,expl (nº),   4 ,   7 ,   20 ,   23 ,   38 ,   52 ,   6 
,SAL (ha),   5 ,   328 ,  2 033 ,  4 004 ,  7 174 ,  4 142 ,   343 
Polipecuária-granívoros,expl (nº),   3 ,   3 ,   13 ,   15 ,   69 ,   19 ,- 
,SAL (ha),   4 ,   463 ,  1 268 ,  3 479 ,  3 831 ,  1 296 ,- 
Agricultura geral e herbívoros,expl (nº),   12 ,   44 ,   100 ,   31 ,   43 ,   69 ,   11 
,SAL (ha),   541 ,  9 362 ,  31 831 ,  8 331 ,  10 816 ,  10 256 ,  2 308 
Culturas diversas e gado,expl (nº),   10 ,   6 ,   53 ,   72 ,   48 ,   76 ,   27 
,SAL (ha),   512 ,   206 ,  3 325 ,  2 581 ,  1 693 ,  4 142 ,  3 168 
Não classificadas,expl (nº),   6 ,   11 ,   7 ,   12 ,   6 ,   46 ,   5 
,SAL (ha),   20 ,   249 ,   24 ,   119 ,   34 ,   570 ,   8 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,
