Explorações segundo o número de caprinos (Alentejo Central - Arraiolos),,,,,,,,
,,,,,,,,Pág 1/2
REGIÃO AGRÁRIA,,Total,Classes de número de animais,,,,,
Nut III / Concelho,,,1 a 9,10 a 19,20 a 49,50 a 99,100 a 499,> = 500
ALENTEJO,expl,  3 988 ,  2 457 ,   560 ,   439 ,   202 ,   313 ,   17 
,efect,  119 949 ,  9 246 ,  7 423 ,  13 326 ,  13 834 ,  65 445 ,  10 675 
Alentejo Litoral,expl,   442 ,   227 ,   72 ,   57 ,   34 ,   51 ,   1 
,efect,  16 482 ,   845 ,   932 ,  1 670 ,  2 284 ,  10 171 ,... 
Alcácer do Sal,expl,   28 ,   11 ,   7 ,   5 ,   3 ,   2 ,- 
,efect,   987 ,   59 ,   100 ,   167 ,   201 ,... ,- 
Grândola,expl,   90 ,   54 ,   14 ,   9 ,   5 ,   8 ,- 
,efect,  2 547 ,   183 ,   182 ,   244 ,   306 ,  1 632 ,- 
Odemira,expl,   205 ,   103 ,   32 ,   26 ,   15 ,   28 ,   1 
,efect,  8 345 ,   382 ,   413 ,   772 ,  1 022 ,  5 176 ,... 
Santiago do Cacém,expl,   107 ,   54 ,   15 ,   16 ,   10 ,   12 ,- 
,efect,  4 121 ,   197 ,   189 ,   467 ,   692 ,  2 576 ,- 
Sines,expl,   12 ,   5 ,   4 ,   1 ,   1 ,   1 ,- 
,efect,   482 ,   24 ,   48 ,... ,... ,... ,- 
Alto Alentejo,expl,  1 794 ,  1 257 ,   262 ,   151 ,   47 ,   73 ,   4 
,efect,  33 879 ,  4 679 ,  3 461 ,  4 630 ,  3 268 ,  15 285 ,  2 556 
Alter do Chão,expl,   21 ,   9 ,   7 ,   1 ,   2 ,   2 ,- 
,efect,   678 ,   38 ,   107 ,... ,... ,... ,- 
Arronches,expl,   63 ,   47 ,   8 ,   5 ,- ,   3 ,- 
,efect,  1 033 ,   172 ,   116 ,   145 ,- ,   600 ,- 
Avis,expl,   20 ,   16 ,   1 ,   2 ,- ,   1 ,- 
,efect,   601 ,   84 ,... ,... ,- ,... ,- 
Campo Maior,expl,   10 ,   6 ,   2 ,   1 ,- ,   1 ,- 
,efect,   208 ,   25 ,... ,... ,- ,... ,- 
Castelo de Vide,expl,   74 ,   45 ,   18 ,   7 ,   1 ,   3 ,- 
,efect,  1 351 ,   214 ,   231 ,   222 ,... ,   632 ,- 
Crato,expl,   46 ,   34 ,   3 ,   3 ,   2 ,   2 ,   2 
,efect,  2 177 ,   148 ,   47 ,   85 ,... ,... ,... 
Elvas,expl,   32 ,   19 ,   5 ,   4 ,- ,   4 ,- 
,efect,  1 132 ,   81 ,   67 ,   118 ,- ,   866 ,- 
Fronteira,expl,   35 ,   24 ,   6 ,   2 ,   2 ,   1 ,- 
,efect,   497 ,   80 ,   79 ,... ,... ,... ,- 
Gavião,expl,   224 ,   174 ,   24 ,   16 ,   7 ,   3 ,- 
,efect,  2 654 ,   601 ,   310 ,   526 ,   528 ,   689 ,- 
Marvão,expl,   172 ,   89 ,   51 ,   17 ,   8 ,   7 ,- 
,efect,  3 231 ,   388 ,   657 ,   456 ,   545 ,  1 185 ,- 
Monforte,expl,   12 ,   3 ,   4 ,   3 ,   1 ,   1 ,- 
,efect,   358 ,   13 ,   51 ,   104 ,... ,... ,- 
Mora,expl,   19 ,   12 ,   1 ,- ,   2 ,   4 ,- 
,efect,  1 020 ,   46 ,... ,- ,... ,   842 ,- 
Nisa,expl,   245 ,   169 ,   39 ,   21 ,   9 ,   6 ,   1 
,efect,  4 413 ,   718 ,   504 ,   632 ,   625 ,  1 265 ,... 
Ponte de Sor,expl,   389 ,   336 ,   28 ,   16 ,   2 ,   7 ,- 
,efect,  3 301 ,  1 041 ,   361 ,   525 ,... ,  1 252 ,- 
Portalegre,expl,   432 ,   274 ,   65 ,   53 ,   11 ,   28 ,   1 
,efect,  11 225 ,  1 030 ,   876 ,  1 615 ,   828 ,  6 324 ,... 
Alentejo Central,expl,   810 ,   494 ,   106 ,   82 ,   39 ,   81 ,   8 
,efect,  32 895 ,  1 836 ,  1 432 ,  2 456 ,  2 648 ,  19 660 ,  4 863 
Alandroal,expl,   211 ,   136 ,   19 ,   19 ,   12 ,   22 ,   3 
,efect,  8 354 ,   480 ,   246 ,   586 ,   853 ,  4 386 ,  1 803 
Arraiolos,expl,   28 ,   18 ,   1 ,   3 ,   2 ,   4 ,- 
,efect,  1 823 ,   70 ,... ,   66 ,... ,  1 534 ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,
