Culturas regadas (Baixo Alentejo - Vidigueira / Outras),,,,,,,,,,,
,,,,,,,,,,,Pág 4/4
REGIÃO AGRÁRIA / Nut III / Concelho,,Girasol,Tomate para indústria,Hortícolas              ao ar livre,"Prados, Pastagens Permanentes",Pomares excepto citrinos,Citrinos,Vinha para uva de mesa,Vinha para Vinho,Olival,Outras excepto a da horta familiar
Borba,expl (nº),   2 ,- ,   67 ,- ,   53 ,   43 ,   1 ,   25 ,   8 ,   10 
,área regada (ha),... ,- ,   70 ,- ,   92 ,   22 ,... ,   127 ,   9 ,   98 
Estremoz,expl (nº),   20 ,   7 ,   80 ,   16 ,   34 ,   48 ,   1 ,   23 ,   13 ,   18 
,área regada (ha),   174 ,   34 ,   93 ,   24 ,   73 ,   16 ,... ,   293 ,   75 ,   185 
Évora,expl (nº),   45 ,   1 ,   87 ,   14 ,   56 ,   139 ,   6 ,   14 ,   11 ,   51 
,área regada (ha),  1 024 ,... ,   84 ,   48 ,   18 ,   49 ,   1 ,   313 ,   174 ,  1 013 
Montemor-o-Novo,expl (nº),   24 ,   18 ,   52 ,   18 ,   75 ,   96 ,   5 ,   4 ,   7 ,   37 
,área regada (ha),   288 ,   107 ,   46 ,   432 ,   17 ,   21 ,o ,   14 ,   7 ,   653 
Mourão,expl (nº),   3 ,   1 ,   5 ,   1 ,   2 ,   12 ,- ,   5 ,   9 ,   4 
,área regada (ha),   10 ,... ,   37 ,... ,... ,   7 ,- ,   11 ,   41 ,   134 
Portel,expl (nº),   26 ,   1 ,   21 ,   2 ,   56 ,   130 ,   5 ,   5 ,   24 ,   21 
,área regada (ha),   558 ,... ,   14 ,... ,   7 ,   34 ,o ,   16 ,   146 ,   366 
Redondo,expl (nº),   12 ,- ,   24 ,   1 ,   11 ,   51 ,   1 ,   29 ,   18 ,   14 
,área regada (ha),   82 ,- ,   57 ,... ,   7 ,   16 ,... ,   332 ,   58 ,   91 
Reguengos de Monsaraz,expl (nº),   4 ,- ,   56 ,   2 ,   29 ,   147 ,   3 ,   56 ,   85 ,   28 
,área regada (ha),   41 ,- ,   54 ,... ,   21 ,   74 ,o ,   640 ,   138 ,   149 
Sousel,expl (nº),   7 ,   30 ,   14 ,   3 ,   4 ,   11 ,- ,   4 ,   15 ,   9 
,área regada (ha),   82 ,   306 ,   19 ,   6 ,   19 ,   4 ,- ,   33 ,   228 ,   165 
Vendas Novas,expl (nº),   3 ,   6 ,   10 ,   1 ,   57 ,   137 ,   4 ,   4 ,   4 ,   13 
,área regada (ha),   26 ,   26 ,   5 ,... ,   24 ,   70 ,   1 ,   19 ,o ,   11 
Viana do Alentejo,expl (nº),   7 ,- ,   32 ,   3 ,   17 ,   57 ,   1 ,   1 ,   2 ,   13 
,área regada (ha),   116 ,- ,   40 ,   15 ,   17 ,   52 ,... ,... ,... ,   172 
Vila Viçosa,expl (nº),- ,- ,   4 ,   1 ,   10 ,   51 ,   1 ,   2 ,   8 ,   6 
,área regada (ha),- ,- ,   5 ,... ,   25 ,   39 ,... ,... ,   35 ,   19 
Baixo Alentejo,expl (nº),   335 ,   222 ,   468 ,   13 ,   155 ,   615 ,   20 ,   77 ,   227 ,   254 
,área regada (ha),  4 162 ,  1 409 ,  1 277 ,   90 ,   306 ,   575 ,   260 ,   712 ,  2 110 ,  3 639 
Aljustrel,expl (nº),   72 ,   81 ,   28 ,- ,   2 ,   6 ,- ,   5 ,   6 ,   16 
,área regada (ha),   566 ,   482 ,   58 ,- ,... ,   3 ,- ,   7 ,   64 ,   300 
Almodôvar,expl (nº),   1 ,- ,   1 ,- ,   4 ,   8 ,   1 ,- ,   9 ,   7 
,área regada (ha),... ,- ,... ,- ,   1 ,   23 ,... ,- ,   7 ,   2 
Alvito,expl (nº),   5 ,   1 ,   32 ,   2 ,   4 ,   42 ,- ,   1 ,   3 ,   2 
,área regada (ha),   79 ,... ,   18 ,... ,   4 ,   75 ,- ,... ,   10 ,... 
Barrancos,expl (nº),- ,- ,- ,- ,   1 ,- ,- ,- ,- ,   1 
,área regada (ha),- ,- ,- ,- ,... ,- ,- ,- ,- ,... 
Beja,expl (nº),   70 ,   13 ,   101 ,- ,   31 ,   171 ,   10 ,   8 ,   38 ,   52 
,área regada (ha),  1 281 ,   120 ,   315 ,- ,   46 ,   105 ,   14 ,   19 ,   423 ,   786 
Castro Verde,expl (nº),   2 ,   1 ,- ,- ,   2 ,   19 ,- ,   2 ,   17 ,   3 
,área regada (ha),... ,... ,- ,- ,... ,   12 ,- ,... ,   19 ,   55 
Cuba,expl (nº),   13 ,- ,   12 ,- ,   6 ,   28 ,- ,   7 ,   5 ,   7 
,área regada (ha),   258 ,- ,   19 ,- ,   15 ,   15 ,- ,   38 ,   11 ,   87 
Ferreira do Alentejo,expl (nº),   134 ,   89 ,   105 ,- ,   4 ,   6 ,   2 ,   1 ,   3 ,   87 
,área regada (ha),  1 336 ,   482 ,   348 ,- ,   63 ,   12 ,... ,... ,   58 ,  1 511 
Mértola,expl (nº),- ,   1 ,   37 ,   2 ,   23 ,   59 ,   2 ,   4 ,   18 ,   9 
,área regada (ha),- ,... ,   19 ,... ,   57 ,   68 ,... ,   5 ,   56 ,   54 
Moura,expl (nº),   2 ,   10 ,   77 ,   5 ,   24 ,   41 ,- ,   8 ,   33 ,   20 
,área regada (ha),... ,   51 ,   307 ,   10 ,   41 ,   51 ,- ,   121 ,   681 ,   107 
Ourique,expl (nº),   11 ,   1 ,   4 ,- ,   6 ,   6 ,   1 ,   1 ,   3 ,   2 
,área regada (ha),   81 ,... ,   10 ,- ,   16 ,   1 ,... ,... ,   5 ,... 
Serpa,expl (nº),   14 ,   23 ,   45 ,   2 ,   27 ,   81 ,   3 ,   1 ,   40 ,   20 
,área regada (ha),   234 ,   171 ,   162 ,... ,   31 ,   52 ,   3 ,... ,   477 ,   368 
Vidigueira,expl (nº),   11 ,   2 ,   26 ,   2 ,   21 ,   148 ,   1 ,   39 ,   52 ,   28 
,área regada (ha),   294 ,... ,   20 ,... ,   29 ,   158 ,... ,   513 ,   299 ,   305 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
