Produtor singular segundo a  dimensão económica e as classes de idade (Alto Alentejo - Nisa),,,,,,,,,,
,,,,,,,,,,Pág 3/8
REGIÃO AGRÁRIA,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III / Concelho,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,Elvas,,,,,,,,
,,Total,   752 ,   347 ,   94 ,   95 ,   87 ,   68 ,   50 ,   11 
,,15 - 24,   7 ,   3 ,- ,- ,   2 ,   1 ,   1 ,- 
,,25 - 34,   41 ,   9 ,   2 ,   7 ,   7 ,   9 ,   4 ,   3 
,,35 - 44,   96 ,   28 ,   12 ,   14 ,   15 ,   15 ,   11 ,   1 
,,45 - 54,   136 ,   61 ,   18 ,   20 ,   12 ,   15 ,   8 ,   2 
,,55 - 64,   182 ,   79 ,   31 ,   28 ,   24 ,   10 ,   7 ,   3 
,,>= 65,   290 ,   167 ,   31 ,   26 ,   27 ,   18 ,   19 ,   2 
,,Fronteira,,,,,,,,
,,Total,   233 ,   87 ,   33 ,   35 ,   28 ,   32 ,   12 ,   6 
,,15 - 24,   3 ,   1 ,- ,- ,   1 ,   1 ,- ,- 
,,25 - 34,   8 ,   3 ,   2 ,- ,   3 ,- ,- ,- 
,,35 - 44,   34 ,   10 ,   5 ,   6 ,   4 ,   3 ,   4 ,   2 
,,45 - 54,   52 ,   18 ,   6 ,   9 ,   6 ,   11 ,   2 ,- 
,,55 - 64,   55 ,   20 ,   6 ,   10 ,   8 ,   9 ,   2 ,- 
,,>= 65,   81 ,   35 ,   14 ,   10 ,   6 ,   8 ,   4 ,   4 
,,Gavião,,,,,,,,
,,Total,   955 ,   662 ,   170 ,   87 ,   26 ,   8 ,   2 ,- 
,,15 - 24,   1 ,   1 ,- ,- ,- ,- ,- ,- 
,,25 - 34,   10 ,   7 ,- ,   1 ,   2 ,- ,- ,- 
,,35 - 44,   46 ,   29 ,   6 ,   3 ,   5 ,   3 ,- ,- 
,,45 - 54,   106 ,   71 ,   21 ,   9 ,   4 ,   1 ,- ,- 
,,55 - 64,   219 ,   149 ,   42 ,   22 ,   5 ,   1 ,- ,- 
,,>= 65,   573 ,   405 ,   101 ,   52 ,   10 ,   3 ,   2 ,- 
,,Marvão,,,,,,,,
,,Total,   553 ,   339 ,   105 ,   60 ,   34 ,   14 ,   1 ,- 
,,15 - 24,   2 ,- ,- ,- ,   2 ,- ,- ,- 
,,25 - 34,   15 ,   3 ,   1 ,   5 ,   2 ,   4 ,- ,- 
,,35 - 44,   62 ,   36 ,   13 ,   8 ,   5 ,- ,- ,- 
,,45 - 54,   56 ,   19 ,   19 ,   8 ,   7 ,   3 ,- ,- 
,,55 - 64,   130 ,   73 ,   25 ,   19 ,   7 ,   5 ,   1 ,- 
,,>= 65,   288 ,   208 ,   47 ,   20 ,   11 ,   2 ,- ,- 
,,Monforte,,,,,,,,
,,Total,   218 ,   100 ,   20 ,   25 ,   30 ,   18 ,   22 ,   3 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,   11 ,   3 ,- ,   2 ,   1 ,   2 ,   2 ,   1 
,,35 - 44,   21 ,   5 ,   1 ,   2 ,   5 ,   5 ,   2 ,   1 
,,45 - 54,   33 ,   13 ,   3 ,   3 ,   7 ,   1 ,   6 ,- 
,,55 - 64,   55 ,   26 ,   4 ,   6 ,   8 ,   6 ,   5 ,- 
,,>= 65,   98 ,   53 ,   12 ,   12 ,   9 ,   4 ,   7 ,   1 
,,Mora,,,,,,,,
,,Total,   499 ,   265 ,   83 ,   49 ,   35 ,   35 ,   22 ,   10 
,,15 - 24,   2 ,   1 ,- ,- ,   1 ,- ,- ,- 
,,25 - 34,   12 ,   5 ,   3 ,   2 ,   1 ,- ,   1 ,- 
,,35 - 44,   47 ,   18 ,   7 ,   3 ,   6 ,   7 ,   5 ,   1 
,,45 - 54,   79 ,   33 ,   9 ,   10 ,   6 ,   8 ,   8 ,   5 
,,55 - 64,   114 ,   60 ,   18 ,   13 ,   8 ,   10 ,   2 ,   3 
,,>= 65,   245 ,   148 ,   46 ,   21 ,   13 ,   10 ,   6 ,   1 
,,Nisa,,,,,,,,
,,Total,  1 387 ,  1 022 ,   163 ,   98 ,   60 ,   34 ,   9 ,   1 
,,15 - 24,   1 ,   1 ,- ,- ,- ,- ,- ,- 
,,25 - 34,   28 ,   13 ,   2 ,   1 ,   9 ,   3 ,- ,- 
,,35 - 44,   73 ,   42 ,   10 ,   5 ,   8 ,   6 ,   2 ,- 
,,45 - 54,   176 ,   130 ,   18 ,   16 ,   5 ,   5 ,   2 ,- 
,,55 - 64,   353 ,   226 ,   52 ,   38 ,   22 ,   12 ,   3 ,- 
,,>= 65,   756 ,   610 ,   81 ,   38 ,   16 ,   8 ,   2 ,   1 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,
