Explorações segundo o número de suínos (Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,Pág 1/2,,
REGIÃO AGRÁRIA,,Total,Classes de número de animais,,,,,,,,,,,
Nut III / Concelho,,,1 a 2,3 a 4,5 a 9,10 a 19,20 a 49,50 a 99,100 a 199,200 a 399,400 a 999,> = 1000,,
Borba,expl (nº),   94 ,   38 ,   18 ,   18 ,   5 ,   5 ,   4 ,- ,- ,   2 ,   4 ,,
,efect (nº),  9 564 ,   57 ,   61 ,   115 ,   73 ,   141 ,   249 ,- ,- ,... ,  7 824 ,,
Estremoz,expl (nº),   156 ,   63 ,   33 ,   12 ,   19 ,   12 ,   7 ,   4 ,   2 ,   1 ,   3 ,,
,efect (nº),  15 022 ,   104 ,   109 ,   79 ,   241 ,   354 ,   469 ,   506 ,... ,... ,  12 269 ,,
Évora,expl (nº),   174 ,   66 ,   30 ,   13 ,   17 ,   15 ,   11 ,   9 ,   10 ,   3 ,- ,,
,efect (nº),  8 373 ,   104 ,   100 ,   78 ,   237 ,   463 ,   776 ,  1 226 ,  2 944 ,  2 445 ,- ,,
Montemor-o-Novo,expl (nº),   152 ,   47 ,   17 ,   11 ,   12 ,   12 ,   12 ,   8 ,   6 ,   13 ,   14 ,,
,efect (nº),  81 943 ,   77 ,   56 ,   69 ,   163 ,   337 ,   906 ,  1 027 ,  1 751 ,  7 218 ,  70 339 ,,
Mourão,expl (nº),   40 ,   11 ,   9 ,   3 ,   4 ,   6 ,   3 ,   1 ,   2 ,   1 ,- ,,
,efect (nº),  1 754 ,   19 ,   29 ,   18 ,   49 ,   204 ,   262 ,... ,... ,... ,- ,,
Portel,expl (nº),   87 ,   29 ,   14 ,   9 ,   9 ,   9 ,   7 ,   1 ,   5 ,   4 ,- ,,
,efect (nº),  4 349 ,   43 ,   47 ,   62 ,   112 ,   251 ,   429 ,... ,  1 162 ,  2 110 ,- ,,
Redondo,expl (nº),   109 ,   43 ,   26 ,   12 ,   9 ,   7 ,   3 ,   2 ,   1 ,   5 ,   1 ,,
,efect (nº),  5 917 ,   74 ,   89 ,   74 ,   132 ,   167 ,   224 ,... ,... ,  3 588 ,... ,,
Reguengos de Monsaraz,expl (nº),   148 ,   57 ,   20 ,   13 ,   8 ,   15 ,   10 ,   12 ,   7 ,   5 ,   1 ,,
,efect (nº),  8 946 ,   91 ,   67 ,   84 ,   127 ,   460 ,   715 ,  1 669 ,  1 779 ,  2 904 ,... ,,
Sousel,expl (nº),   45 ,   15 ,   10 ,   5 ,   2 ,   3 ,   2 ,   3 ,   1 ,   2 ,   2 ,,
,efect (nº),  6 508 ,   23 ,   34 ,   28 ,... ,   81 ,... ,   467 ,... ,... ,... ,,
Vendas Novas,expl (nº),   45 ,   28 ,   1 ,   5 ,   3 ,   4 ,- ,   2 ,   1 ,- ,   1 ,,
,efect (nº),  6 849 ,   41 ,... ,   40 ,   34 ,   127 ,- ,... ,... ,- ,... ,,
Viana do Alentejo,expl (nº),   47 ,   4 ,   7 ,   5 ,   3 ,   13 ,   3 ,   5 ,   1 ,   4 ,   2 ,,
,efect (nº),  13 456 ,   5 ,   22 ,   33 ,   48 ,   380 ,   222 ,   679 ,... ,  2 492 ,... ,,
Vila Viçosa,expl (nº),   38 ,   10 ,   6 ,   13 ,   4 ,   1 ,   2 ,- ,   1 ,   1 ,- ,,
,efect (nº),  1 062 ,   16 ,   22 ,   81 ,   56 ,... ,... ,- ,... ,... ,- ,,
Baixo Alentejo,expl (nº),  1 654 ,   514 ,   249 ,   213 ,   227 ,   207 ,   94 ,   75 ,   43 ,   24 ,   8 ,,
,efect (nº),  77 053 ,   831 ,   837 ,  1 430 ,  3 115 ,  6 148 ,  6 407 ,  10 338 ,  12 127 ,  13 796 ,  22 024 ,,
Aljustrel,expl (nº),   19 ,   2 ,- ,   2 ,   5 ,   3 ,   4 ,   1 ,   2 ,- ,- ,,
,efect (nº),  1 226 ,... ,- ,... ,   80 ,   97 ,   283 ,... ,... ,- ,- ,,
Almodôvar,expl (nº),   405 ,   125 ,   73 ,   54 ,   62 ,   53 ,   19 ,   12 ,   3 ,   4 ,- ,,
,efect (nº),  9 096 ,   204 ,   246 ,   375 ,   847 ,  1 581 ,  1 126 ,  1 600 ,   796 ,  2 321 ,- ,,
