Máquinas e equipamentos (Página 2),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 2/2
,,,,Loulé,Monchique,Olhão,Portimão,São Brás de Alportel,Silves,Tavira,Vila do Bispo,Vila Real de Santo António
Explorações que utilizam tractores,,,expl (nº),"2,559",280,814,466,402,"2,435","1,854",157,275
Máquinas pertencentes à exploração,,,,,,,,,,,,
,Tractores ( de rodas e de rasto),,expl (nº),"1,552",124,515,244,197,"1,417",826,52,110
,,,máq (nº),"1,688",135,636,275,217,"1,592",975,67,130
,,De menos de 20 c.v.,expl (nº),114,35,39,28,15,47,47,3,8
,,,máq (nº),114,37,39,28,15,47,48,3,8
,,De 20 a menos de 34 c.v.,expl (nº),446,41,161,87,61,230,121,7,22
,,,máq (nº),454,42,169,87,61,231,122,7,23
,,De 34 a menos de 55 c.v.,expl (nº),735,24,270,88,94,886,547,13,62
,,,máq (nº),760,25,304,91,98,939,602,13,70
,,De 55 a menos de 82 c.v.,expl (nº),294,22,78,47,29,295,157,28,22
,,,máq (nº),322,24,110,60,31,330,175,42,27
,,De 82 a menos de 109 c.v,expl (nº),25,4,7,6,5,28,18,1,1
,,,máq (nº),28,4,8,8,7,31,23,... ,... 
,,De 109 c.v. e mais,expl (nº),9,3,5,1,5,12,5,1,1
,,,máq (nº),10,3,6,... ,5,14,5,... ,... 
,Motocultivadores,,expl (nº),394,146,209,83,89,114,316,7,59
,,,máq (nº),401,147,213,87,91,114,323,7,59
,Motoenxadas (motofresas),,expl (nº),350,87,97,33,88,28,429,11,28
,,,máq (nº),352,87,99,34,89,28,440,12,28
,Motoceifeiras (motogadanheiras),,expl (nº),71,37,8,16,4,32,89,3,2
,,,máq (nº),73,40,8,18,4,33,93,3,... 
,Electrobomba/motobomba,,expl (nº),"1,781",317,781,405,234,"2,076","1,688",92,240
,,,máq (nº),"2,231",472,991,491,287,"2,751","2,736",106,367
,Distribuidores de adubos e correctivos,,expl (nº),36,2,35,7,1,130,113,14,3
,,,máq (nº),49,... ,52,17,... ,162,136,15,3
,Semeadores,,expl (nº),13,3,2,7,- ,30,11,7,2
,,,máq (nº),15,3,... ,8,- ,32,11,7,... 
,Plantadores/transplantadores,,expl (nº),8,2,5,2,- ,20,11,- ,- 
,,,máq (nº),8,... ,8,... ,- ,21,14,- ,- 
,Pulverizadores e polvilhadores,,expl (nº),387,98,149,231,8,"1,019",476,4,7
,,,máq (nº),447,104,193,244,9,"1,159",559,5,10
,Gadanheiras,,expl (nº),18,17,5,15,2,22,17,16,1
,,,máq (nº),19,19,5,16,... ,23,18,18,... 
,Colhedores de forragem,,expl (nº),1,1,1,2,1,2,1,- ,- 
,,,máq (nº),... ,... ,... ,... ,... ,... ,... ,- ,- 
,Enfardadeiras,,expl (nº),10,- ,3,8,- ,11,4,8,1
,,,máq (nº),10,- ,3,8,- ,12,4,8,... 
,Ceifeiras-debulhadoras,,expl (nº),10,2,4,2,1,22,10,7,1
,,,máq (nº),10,... ,4,... ,... ,27,11,8,... 
,Secadores de cereais,,expl (nº),1,1,- ,- ,- ,1,- ,- ,- 
,,,máq (nº),... ,... ,- ,- ,- ,... ,- ,- ,- 
,Viradores de feno,,expl (nº),3,1,1,2,- ,6,2,9,1
,,,máq (nº),3,... ,... ,... ,- ,6,... ,9,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve."
