Principais culturas temporárias (Ilha da Madeira - São Vicente),,,,,,,,,,,,
,,,,,,,,,,,,Pág. 3/4
REGIÃO AGRÁRIA,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Ribeira Brava,,,,,,,,,,
,,Culturas temporárias,  1 548 ,   391 ,  1 490 ,   244 ,  1 238 ,   148 ,  1 081 ,   116 ,   505 ,   31 
,,Cereais para grão,   181 ,   8 ,   129 ,   5 ,   76 ,   3 ,   75 ,   3 ,   1 ,... 
,,Leguminosas secas para grão,   404 ,   6 ,   361 ,   5 ,   50 ,   1 ,   41 ,   1 ,   10 ,o 
,,Prados temporários,   2 ,... ,   1 ,... ,   1 ,... ,- ,- ,   1 ,... 
,,Culturas forrageiras,   166 ,   22 ,   75 ,   6 ,   116 ,   15 ,   115 ,   15 ,   2 ,... 
,,Batata,  1 429 ,   239 ,  1 322 ,   132 ,  1 048 ,   108 ,   852 ,   77 ,   481 ,   30 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   64 ,   5 ,   64 ,   5 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,  1 045 ,   66 ,  1 005 ,   62 ,   90 ,   3 ,   53 ,   2 ,   39 ,o 
,,Flores e plantas ornamentais,   14 ,o ,   14 ,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   950 ,   45 ,   734 ,   27 ,   406 ,   19 ,   396 ,   19 ,   13 ,o 
,,Santa Cruz,,,,,,,,,,
,,Culturas temporárias,   949 ,   248 ,   940 ,   228 ,   277 ,   20 ,   252 ,   19 ,   34 ,   1 
,,Cereais para grão,   127 ,   4 ,   120 ,   4 ,   7 ,o ,   4 ,o ,   3 ,o 
,,Leguminosas secas para grão,   356 ,   11 ,   305 ,   9 ,   63 ,   2 ,   61 ,   2 ,   2 ,... 
,,Prados temporários,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   41 ,   6 ,   34 ,   5 ,   10 ,o ,   10 ,o ,- ,- 
,,Batata,   715 ,   70 ,   691 ,   63 ,   70 ,   6 ,   56 ,   6 ,   15 ,o 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   16 ,o ,   10 ,o ,   6 ,o ,   5 ,o ,   1 ,... 
,,Culturas hortícolas,   855 ,   126 ,   824 ,   119 ,   133 ,   6 ,   114 ,   6 ,   19 ,o 
,,Flores e plantas ornamentais,   46 ,   13 ,   46 ,   13 ,   1 ,... ,- ,- ,   1 ,... 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   4 ,o ,   4 ,o ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   382 ,   19 ,   333 ,   16 ,   66 ,   3 ,   62 ,   3 ,   4 ,o 
,,Santana,,,,,,,,,,
,,Culturas temporárias,  1 961 ,   828 ,  1 723 ,   451 ,  1 528 ,   377 ,   997 ,   182 ,  1 003 ,   195 
,,Cereais para grão,   746 ,   76 ,   665 ,   58 ,   126 ,   16 ,   118 ,   15 ,   8 ,   1 
,,Leguminosas secas para grão,   260 ,   22 ,   149 ,   9 ,   132 ,   12 ,   120 ,   10 ,   15 ,   1 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   74 ,   16 ,   57 ,   9 ,   30 ,   7 ,   17 ,   4 ,   14 ,   3 
,,Batata,  1 854 ,   450 ,  1 391 ,   211 ,  1 222 ,   238 ,   472 ,   66 ,   960 ,   172 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   79 ,   6 ,   75 ,   5 ,   11 ,o ,   8 ,o ,   3 ,o 
,,Culturas hortícolas,   996 ,   127 ,   864 ,   95 ,   373 ,   33 ,   221 ,   19 ,   171 ,   13 
,,Flores e plantas ornamentais,   7 ,   1 ,   7 ,   1 ,   1 ,... ,   1 ,... ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   14 ,o ,   13 ,o ,   1 ,... ,   1 ,... ,- ,- 
,,Outras culturas temporárias,  1 025 ,   129 ,   618 ,   58 ,   603 ,   71 ,   564 ,   67 ,   46 ,   5 
,,São Vicente,,,,,,,,,,
,,Culturas temporárias,  1 365 ,   341 ,  1 128 ,   132 ,  1 263 ,   209 ,   684 ,   53 ,  1 001 ,   155 
,,Cereais para grão,   167 ,   3 ,   50 ,   1 ,   118 ,   2 ,   109 ,   2 ,   9 ,o 
,,Leguminosas secas para grão,   661 ,   23 ,   334 ,   10 ,   393 ,   13 ,   360 ,   11 ,   44 ,   1 
,,Prados temporários,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   5 ,o ,   2 ,... ,   4 ,o ,   4 ,o ,- ,- 
,,Batata,  1 344 ,   275 ,  1 023 ,   108 ,  1 119 ,   166 ,   212 ,   16 ,   988 ,   150 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   11 ,   1 ,   1 ,... ,   10 ,   1 ,- ,- ,   10 ,   1 
,,Culturas hortícolas,   155 ,   5 ,   135 ,   3 ,   27 ,   1 ,   11 ,o ,   16 ,o 
,,Flores e plantas ornamentais,   6 ,   1 ,   4 ,   1 ,   2 ,... ,   1 ,... ,   1 ,... 
,,Sementes de culturas forrageiras,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   561 ,   33 ,   209 ,   8 ,   383 ,   25 ,   365 ,   24 ,   20 ,   1 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,
