"lon" "lat" "cbs" "bio_01ZAF" "bio_02ZAF" "bio_03ZAF" "bio_04ZAF" "bio_05ZAF" "bio_06ZAF" "bio_07ZAF" "bio_08ZAF" "bio_09ZAF" "bio_10ZAF" "bio_11ZAF" "bio_12ZAF" "bio_13ZAF" "bio_14ZAF" "bio_15ZAF" "bio_16ZAF" "bio_17ZAF" "bio_18ZAF" "bio_19ZAF" "bio_20ZAF" "bio_21ZAF" "bio_22ZAF" "bio_23ZAF" "bio_24ZAF" "koppen" "ID_province" "province" "ID_district" "district" "cbs_low"
"5" 29.5833333333333 -22.1666666666667 1 22.3555555555556 15.0708333333333 55.375 3994.27777777778 33.2819444444444 6.34166666666667 26.9402777777778 26.5430555555556 16.5972222222222 26.5430555555556 16.5972222222222 317.125 67.5972222222222 1 85.5972222222222 176.458333333333 5 176.458333333333 5 195.111111111111 80.3722222222222 185.830555555556 80.3722222222222 185.830555555556 "BWh" 5 "Limpopo" 216 "Messina" 2
"6" 29.6666666666667 -22.1666666666667 1 22.2625 14.7909090909091 55.3181818181818 3947.20454545455 33.0193181818182 6.55568181818182 26.4636363636364 26.3920454545455 16.5704545454545 26.3920454545455 16.5704545454545 322.670454545455 68.75 1 85.9659090909091 179.909090909091 5.02272727272727 179.909090909091 5.02272727272727 198.613636363636 80.15 185.005681818182 80.15 185.005681818182 "BWh" 5 "Limpopo" 216 "Messina" 2
"7" 29.75 -22.1666666666667 1 22.2705128205128 14.5205128205128 55.0128205128205 3934.11538461538 32.9179487179487 6.78333333333333 26.1346153846154 26.3820512820513 16.5897435897436 26.3820512820513 16.5897435897436 325.641025641026 69 1 85.8333333333333 180.987179487179 5.14102564102564 180.987179487179 5.14102564102564 200.102564102564 80.1346153846154 184.923076923077 80.1346153846154 184.923076923077 "BWh" 5 "Limpopo" 216 "Messina" 2
"11" 29.1666666666667 -22.25 1 21.9103092783505 15.980412371134 54.4536082474227 4356.57731958763 33.7762886597938 4.71030927835052 29.0659793814433 26.6257731958763 15.7360824742268 26.6257731958763 15.7360824742268 347.309278350515 74.3917525773196 1 84.7216494845361 190.216494845361 4.71134020618557 190.216494845361 4.71134020618557 208.731958762887 77.6515463917526 183.237113402062 77.6515463917526 183.237113402062 "BWh" 5 "Limpopo" 230 "Soutpansberg" 2
"12" 29.8333333333333 -22.25 1 22.104 14.04 54.99 3862.58 32.504 7.175 25.329 26.144 16.512 26.144 16.512 338.91 70.99 1 85.1 187.26 6.42 187.26 6.42 207.34 79.557 183.382 79.557 183.382 "BWh" 5 "Limpopo" 216 "Messina" 2
"13" 29.9166666666667 -22.25 1 22.4575757575758 13.9070707070707 54.4747474747475 3887.9696969697 32.8484848484849 7.58585858585859 25.2626262626263 26.5343434343434 16.8252525252525 26.5343434343434 16.8252525252525 329.191919191919 68.9393939393939 1 85.0707070707071 182.151515151515 5.83838383838384 182.151515151515 5.83838383838384 202.131313131313 80.8949494949495 186.231313131313 80.8949494949495 186.231313131313 "BWh" 5 "Limpopo" 216 "Messina" 2
"14" 29.75 -22.4166666666667 1 21.318 13.748 56.98 3549.25 31.126 7.153 23.973 24.981 16.135 24.981 16.135 406.21 84.13 2 84.94 227.28 10.95 227.28 10.95 244.91 77.184 176.569 77.184 176.569 "BSh" 5 "Limpopo" 216 "Messina" 2
"15" 29.8333333333333 -22.4166666666667 1 21.713 13.557 56.55 3538.75 31.428 7.669 23.759 25.374 16.54 25.374 16.54 391.24 81.15 2 85.34 218.93 10.69 218.93 10.69 237.5 78.726 179.625 78.726 179.625 "BSh" 5 "Limpopo" 216 "Messina" 2
"16" 28.9166666666667 -22.5 1 21.482 15.572 56.01 4019.64 32.734 5.178 27.556 25.624 15.703 25.624 15.703 340.45 70.19 0 87.2 190.3 3.35 189.16 3.35 208.04 77.247 179.286 77.247 179.286 "BWh" 5 "Limpopo" 230 "Soutpansberg" 2
"17" 29.8333333333333 -22.5 1 21.901 13.565 56.93 3488.08 31.584 7.93 23.654 25.528 16.798 25.528 16.798 386.66 79.46 2 85.88 217.58 10.01 217.58 10.01 235.72 79.509 180.97 79.509 180.97 "BSh" 5 "Limpopo" 216 "Messina" 2
"18" 29.9166666666667 -22.5 1 22.285 13.368 57 3424.92 31.808 8.532 23.276 25.834 17.263 25.834 17.263 384.67 79.47 2 86.28 217.32 10.03 217.32 10.03 234.93 81.22 183.961 81.22 183.961 "BSh" 5 "Limpopo" 216 "Messina" 2
"19" 30 -22.5 1 22.456 13.091 57.28 3303.57 31.728 9.089 22.639 25.859 17.587 25.859 17.587 408.54 84.66 2.27 86.35 232.05 11.09 232.05 11.09 247.57 82.158 185.055 82.158 185.055 "BSh" 5 "Limpopo" 216 "Messina" 2
"20" 30.0833333333333 -22.5 1 22.46 12.824 57.91 3168.22 31.491 9.505 21.986 25.703 17.767 25.703 17.767 448.32 92.88 2.68 86.5 256.03 12.7 256.03 12.7 268.18 82.477 184.803 82.477 184.803 "BSh" 5 "Limpopo" 216 "Messina" 2
"21" 30.1666666666667 -22.5 1 22.755 12.818 58.02 3121.18 31.763 9.92 21.843 25.977 18.135 25.977 18.135 455.49 94.42 2.62 87.03 262.27 12.31 262.27 12.31 270.99 83.698 187.041 83.698 187.041 "BSh" 5 "Limpopo" 216 "Messina" 2
