"Características da habitação do produtor singular (Total de Explorações, Idade da habitação > 50 anos)",,,,,,,,
,,,,,,,1999,
,,,,,,,pág. 5/6,
Região Agrícola,,,Total de explorações,,,,,
Nut III,,,Total  ,Electricidade,Água Canalizada,Instalação Sanitária,Electrodomésticos,
Concelho,,,Idade da habitação > 50 anos,,,,,
,,,expl. (nº),,,,,
BEIRA LITORAL,,,"20,815","20,590","19,506","18,954","20,287",
,Baixo Vouga,,"3,933","3,929","3,814","3,699","3,878",
,,Águeda,554,553,538,528,547,
,,Albergaria-a-Velha,344,344,335,324,338,
,,Anadia,617,617,607,596,614,
,,Aveiro,367,367,356,339,364,
,,Estarreja,359,358,351,332,352,
,,Ílhavo,73,73,73,71,72,
,,Mealhada,291,291,290,285,286,
,,Murtosa,133,133,120,109,133,
,,Oliveira do Bairro,262,261,257,253,256,
,,Ovar,332,332,320,309,331,
,,Sever do Vouga,245,245,224,208,240,
,,Vagos,356,355,343,345,345,
,Baixo Mondego,,"4,061","4,037","3,949","3,803","3,988",
,,Cantanhede,927,923,910,907,914,
,,Coimbra,662,658,652,631,657,
,,Condeixa-a-Nova,338,333,331,300,324,
,,Figueira da Foz,546,542,516,499,529,
,,Mira,222,220,214,212,219,
,,Montemor-o-Velho,572,568,549,521,562,
,,Penacova,213,213,210,200,212,
,,Soure,581,580,567,533,571,
,Pinhal Litoral,,"2,237","2,228","2,191","2,116","2,183",
,,Batalha,269,269,261,258,266,
,,Leiria,746,745,741,739,738,
,,Marinha Grande,38,38,37,37,38,
,,Pombal,757,750,733,686,724,
,,Porto de Mós,427,426,419,396,417,
,Pinhal Interior Norte,,"2,869","2,823","2,749","2,535","2,781",
,,Alvaiázere,337,334,328,306,326,
,,Ansião,398,394,392,338,385,
,,Arganil,277,277,271,260,272,
,,Castanheira de Pêra,17,17,17,17,17,
,,Figueiró dos Vinhos,126,126,125,121,126,
,,Góis,81,80,73,75,80,
,,Lousã,97,96,96,94,96,
,,Miranda do Corvo,165,165,163,152,163,
,,Oliveira do Hospital,682,657,622,561,648,
,,Pampilhosa da Serra,72,72,70,65,71,
,,Pedrógão Grande,97,96,93,91,96,
,,Penela,157,152,152,132,150,
,,Tábua,281,275,265,246,269,
,,Vila Nova de Poiares,82,82,82,77,82,
,Dão-Lafões,,"7,715","7,573","6,803","6,801","7,457",
,,Aguiar da Beira,128,124,117,101,115,
,,Carregal do Sal,416,412,405,401,410,
,,Castro Daire,560,546,474,438,531,
,,Mangualde,662,646,584,591,639,
,,Mortágua,167,166,158,149,166,
,,Nelas,512,509,499,491,509,
,,Oliveira de Frades,466,460,417,405,453,
,,Penalva do Castelo,416,408,380,374,389,
,,Santa Comba Dão,225,223,217,216,223,
,,São Pedro do Sul,745,731,667,662,722,
,,Sátão,373,362,341,331,353,
,,Tondela,"1,123","1,100",938,977,"1,086",
,,Vila Nova de Paiva,115,110,102,90,106,
,,Viseu,"1,266","1,248","1,053","1,106","1,239",
,,Vouzela,541,528,451,469,516,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
