"Utilização das terras (Total e Baixo Vouga, página 1)",,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 1/8
,,,BEIRA LITORAL,Baixo Vouga,Águeda,Albergaria-a-Velha,Anadia,Aveiro,Estarreja
Superfície Total,,expl (nº),"79,806","15,467","2,287",997,"2,752","1,168","1,124"
,,área (ha),"316,648","54,019","9,208","3,820","11,053","3,802","4,437"
Superfície Agrícola Utilizada (SAU),,expl (nº),"79,294","15,389","2,280",991,"2,744","1,167","1,105"
,,área (ha),"169,796","30,707","2,917","2,596","5,159","2,904","3,204"
Terra arável,,expl (nº),"75,792","15,123","2,255",988,"2,646","1,155","1,095"
,,área (ha),"103,645","22,025","2,431","1,929","2,134","2,270","2,635"
Terra arável limpa,,expl (nº),"75,750","15,117","2,255",988,"2,644","1,155","1,095"
,,área (ha),"103,545","22,012","2,431","1,927","2,125","2,269","2,635"
,Culturas temporárias,expl (nº),"71,025","14,217","2,166",958,"2,297","1,135","1,068"
,,área (ha),"96,201","20,825","2,304","1,876","1,832","2,192","2,582"
,Pousio (com e sem ajuda),expl (nº),"5,333",976,43,7,283,53,14
,,área (ha),"2,843",403,14,4,128,31,8
,Horta familiar,expl (nº),"59,668","11,718","1,890",772,"2,208",741,894
,,área (ha),"4,482",773,113,46,165,46,45
Culturas sob-coberto matas e florestas,,expl (nº),72,11,- ,2,3,1,- 
,,área (ha),99,13,- ,... ,9,... ,- 
,Culturas temporárias,expl (nº),58,7,- ,2,2,- ,- 
,,área (ha),80,8,- ,... ,... ,- ,- 
,Pousio (com e sem ajuda),expl (nº),17,5,- ,- ,2,1,- 
,,área (ha),17,4,- ,- ,... ,... ,- 
Culturas permanentes,,expl (nº),"61,900","9,667","1,629",768,"2,345",768,507
,,área (ha),"48,300","6,277",369,83,"2,927",164,111
Sem culturas sob-coberto,,expl (nº),"59,004","9,267","1,494",738,"2,315",756,495
,,área (ha),"38,060","5,886",302,76,"2,863",159,107
Com culturas temporárias,,expl (nº),"17,608","1,522",255,88,268,35,9
,,área (ha),"7,578",331,58,5,58,4,o 
Com pousio (com e sem ajuda),,expl (nº),270,60,1,- ,1,- ,- 
,,área (ha),78,12,... ,- ,... ,- ,- 
Com horta familiar,,expl (nº),"6,444",411,70,26,48,17,18
,,área (ha),485,33,4,o ,4,2,1
Com pastagens permanentes,,expl (nº),"1,810",31,6,2,1,4,3
,,área (ha),"2,045",7,1,... ,... ,1,o 
Pastagens permanentes,,expl (nº),"13,529","2,575",249,323,19,474,441
,,área (ha),"17,864","2,408",117,584,95,470,461
Em terra limpa,,expl (nº),"13,447","2,566",245,322,18,472,441
,,área (ha),"17,404","2,390",116,583,95,468,461
Sob-coberto de matas e florestas,,expl (nº),228,22,5,1,2,6,- 
,,área (ha),462,20,o ,... ,... ,3,- 
Matas e florestas sem culturas sob-coberto,,expl (nº),"60,543","10,912","1,774",707,"1,901",712,769
,,área (ha),"131,800","21,274","6,061","1,106","5,542",713,"1,017"
Superfície Agrícola não utilizada,,expl (nº),"14,871","2,072",247,93,281,226,157
,,área (ha),"8,134",850,88,37,138,88,101
Outras superfícies,,expl (nº),"75,394","15,211","2,274",997,"2,690","1,163","1,121"
,,área (ha),"6,918","1,194",140,82,215,99,114
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Centro."
