Produtor singular segundo a  dimensão económica e as classes de idade (Ilha de São Miguel - Povoação),,,,,,,,,
,,,,,,,,,Pág. 1/4
REGIÃO AGRÁRIA,,Total,Classes de dimensão económica (UDE) - (nº de indivíduos),,,,,,
Ilha / Concelho,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
AÇORES,,,,,,,,,
Total,,  18 932 ,  9 340 ,  2 864 ,  2 354 ,  2 080 ,  1 879 ,   380 ,   35 
15 - 24,,   275 ,   98 ,   47 ,   33 ,   42 ,   49 ,   6 ,- 
25 - 34,,  1 977 ,   674 ,   237 ,   251 ,   351 ,   401 ,   62 ,   1 
35 - 44,,  3 914 ,  1 499 ,   577 ,   555 ,   576 ,   584 ,   114 ,   9 
45 - 54,,  4 370 ,  1 816 ,   678 ,   654 ,   612 ,   496 ,   103 ,   11 
55 - 64,,  3 782 ,  2 114 ,   617 ,   468 ,   305 ,   207 ,   63 ,   8 
>= 65,,  4 614 ,  3 139 ,   708 ,   393 ,   194 ,   142 ,   32 ,   6 
Ilha de Santa Maria (Vila do Porto),,,,,,,,,
Total,,   576 ,   277 ,   131 ,   97 ,   48 ,   22 ,   1 ,- 
15 - 24,,   26 ,   13 ,   11 ,   1 ,   1 ,- ,- ,- 
25 - 34,,   70 ,   36 ,   10 ,   12 ,   8 ,   4 ,- ,- 
35 - 44,,   139 ,   61 ,   32 ,   26 ,   11 ,   9 ,- ,- 
45 - 54,,   114 ,   40 ,   24 ,   27 ,   16 ,   6 ,   1 ,- 
55 - 64,,   91 ,   46 ,   24 ,   12 ,   7 ,   2 ,- ,- 
>= 65,,   136 ,   81 ,   30 ,   19 ,   5 ,   1 ,- ,- 
Ilha de São Miguel,,,,,,,,,
Total,,  7 252 ,  3 687 ,   881 ,   714 ,   843 ,   903 ,   200 ,   24 
15 - 24,,   65 ,   28 ,   5 ,   7 ,   9 ,   15 ,   1 ,- 
25 - 34,,   726 ,   266 ,   70 ,   66 ,   130 ,   168 ,   25 ,   1 
35 - 44,,  1 523 ,   621 ,   175 ,   139 ,   252 ,   279 ,   52 ,   5 
45 - 54,,  1 617 ,   727 ,   194 ,   197 ,   227 ,   215 ,   50 ,   7 
55 - 64,,  1 441 ,   778 ,   198 ,   156 ,   128 ,   127 ,   47 ,   7 
>= 65,,  1 880 ,  1 267 ,   239 ,   149 ,   97 ,   99 ,   25 ,   4 
,Lagoa,,,,,,,,
,Total,   554 ,   271 ,   79 ,   58 ,   68 ,   61 ,   16 ,   1 
,15 - 24,   6 ,   2 ,   1 ,   1 ,   1 ,   1 ,- ,- 
,25 - 34,   53 ,   18 ,   4 ,   6 ,   9 ,   13 ,   3 ,- 
,35 - 44,   109 ,   43 ,   14 ,   7 ,   21 ,   20 ,   3 ,   1 
,45 - 54,   126 ,   61 ,   15 ,   18 ,   15 ,   14 ,   3 ,- 
,55 - 64,   125 ,   59 ,   29 ,   12 ,   12 ,   8 ,   5 ,- 
,>= 65,   135 ,   88 ,   16 ,   14 ,   10 ,   5 ,   2 ,- 
,Noedeste,,,,,,,,
,Total,   665 ,   305 ,   94 ,   77 ,   97 ,   79 ,   13 ,- 
,15 - 24,   5 ,   1 ,- ,   2 ,- ,   2 ,- ,- 
,25 - 34,   71 ,   13 ,   6 ,   11 ,   19 ,   18 ,   4 ,- 
,35 - 44,   140 ,   51 ,   17 ,   17 ,   28 ,   23 ,   4 ,- 
,45 - 54,   148 ,   55 ,   21 ,   19 ,   30 ,   22 ,   1 ,- 
,55 - 64,   125 ,   61 ,   21 ,   16 ,   15 ,   10 ,   2 ,- 
,>= 65,   176 ,   124 ,   29 ,   12 ,   5 ,   4 ,   2 ,- 
,Ponta Delgada,,,,,,,,
,Total,  2 825 ,  1 590 ,   282 ,   234 ,   277 ,   358 ,   73 ,   11 
,15 - 24,   33 ,   15 ,   3 ,   4 ,   2 ,   9 ,- ,- 
,25 - 34,   266 ,   122 ,   17 ,   14 ,   38 ,   68 ,   6 ,   1 
,35 - 44,   624 ,   295 ,   54 ,   36 ,   95 ,   118 ,   23 ,   3 
,45 - 54,   625 ,   336 ,   65 ,   59 ,   68 ,   80 ,   15 ,   2 
,55 - 64,   590 ,   343 ,   66 ,   72 ,   41 ,   47 ,   18 ,   3 
,>= 65,   687 ,   479 ,   77 ,   49 ,   33 ,   36 ,   11 ,   2 
,Povoação,,,,,,,,
,Total,   661 ,   372 ,   73 ,   51 ,   79 ,   72 ,   13 ,   1 
,15 - 24,   9 ,   2 ,   1 ,- ,   5 ,   1 ,- ,- 
,25 - 34,   67 ,   20 ,   3 ,   6 ,   19 ,   16 ,   3 ,- 
,35 - 44,   119 ,   52 ,   16 ,   6 ,   21 ,   21 ,   3 ,- 
,45 - 54,   144 ,   66 ,   11 ,   21 ,   22 ,   19 ,   4 ,   1 
,55 - 64,   127 ,   83 ,   20 ,   6 ,   10 ,   6 ,   2 ,- 
,>= 65,   195 ,   149 ,   22 ,   12 ,   2 ,   9 ,   1 ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,
