Principais culturas temporárias (Ilha Terceira - Vila da Praia da Vitória),,,,,,,,,,,,
,,,,,,,,,,,,pág. 3/7
REGIÃO AGRÁRIA,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Vila Franca do Campo,,,,,,,,,,
,,Culturas temporárias,   587 ,   666 ,   560 ,   511 ,   297 ,   154 ,   236 ,   138 ,   95 ,   16 
,,Cereais para grão,   127 ,   24 ,   82 ,   12 ,   57 ,   12 ,   41 ,   9 ,   16 ,   2 
,,Leguminosas secas para grão,   157 ,   20 ,   105 ,   12 ,   59 ,   7 ,   48 ,   7 ,   11 ,o 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   257 ,   486 ,   245 ,   389 ,   86 ,   96 ,   86 ,   96 ,- ,- 
,,Batata,   387 ,   105 ,   318 ,   74 ,   139 ,   32 ,   67 ,   19 ,   82 ,   13 
,,Beterraba sacarina,   11 ,   5 ,   11 ,   5 ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   3 ,   4 ,   3 ,   4 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   88 ,   17 ,   62 ,   14 ,   34 ,   5 ,   34 ,   5 ,- ,- 
,,Flores e plantas ornamentais,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   52 ,   5 ,   42 ,   4 ,   11 ,o ,   8 ,o ,   3 ,o 
,Ilha Terceira,,,,,,,,,,,
,Culturas temporárias,,  2 629 ,  4 556 ,  2 470 ,  3 002 ,  1 499 ,  1 556 ,  1 298 ,  1 530 ,   280 ,   25 
,Cereais para grão,,   285 ,   45 ,   269 ,   44 ,   16 ,   1 ,   10 ,   1 ,   6 ,o 
,Leguminosas secas para grão,,   673 ,   35 ,   594 ,   31 ,   105 ,   4 ,   62 ,   3 ,   45 ,   2 
,Prados temporários,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,,  1 776 ,  4 254 ,  1 561 ,  2 744 ,  1 197 ,  1 511 ,  1 197 ,  1 511 ,- ,- 
,Batata,,  1 112 ,   103 ,   932 ,   84 ,   215 ,   17 ,   28 ,   2 ,   188 ,   14 
,Beterraba sacarina,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,,   446 ,   78 ,   368 ,   66 ,   96 ,   9 ,   33 ,   5 ,   64 ,   3 
,Flores e plantas ornamentais,,   28 ,   8 ,   28 ,   8 ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,,   4 ,   1 ,   4 ,   1 ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,,   3 ,   1 ,   3 ,   1 ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,,   309 ,   25 ,   253 ,   20 ,   65 ,   3 ,   28 ,   1 ,   39 ,   1 
,,Angra do Heroísmo,,,,,,,,,,
