Principais culturas temporárias (Ilha do Corvo),,,,,,,,,,,
,,,,,,,,,,,pág. 7/7
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Ilha do Corvo (Corvo),,,,,,,,,,
,Culturas temporárias,   61 ,   20 ,   61 ,   20 ,   5 ,o ,   5 ,o ,- ,- 
,Cereais para grão,   54 ,   11 ,   54 ,   11 ,   2 ,... ,   2 ,... ,- ,- 
,Leguminosas secas para grão,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   36 ,   4 ,   35 ,   4 ,   4 ,o ,   4 ,o ,- ,- 
,Batata,   16 ,   1 ,   16 ,   1 ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   40 ,   2 ,   40 ,   2 ,- ,- ,- ,- ,- ,- 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,   32 ,   1 ,   32 ,   1 ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
