Produtor singular segundo a  dimensão económica e as classes de idade (Ilha do Faial),,,,,,,,,
,,,,,,,,,Pág. 3/4
REGIÃO AGRÁRIA,,Total,Classes de dimensão económica (UDE) - (nº de indivíduos),,,,,,
Ilha / Concelho,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,Calheta,,,,,,,,
,Total,   637 ,   261 ,   100 ,   93 ,   102 ,   72 ,   9 ,- 
,15 - 24,   25 ,   2 ,   6 ,   4 ,   5 ,   7 ,   1 ,- 
,25 - 34,   69 ,   14 ,   6 ,   10 ,   20 ,   17 ,   2 ,- 
,35 - 44,   141 ,   39 ,   14 ,   26 ,   34 ,   23 ,   5 ,- 
,45 - 54,   143 ,   41 ,   28 ,   25 ,   27 ,   21 ,   1 ,- 
,55 - 64,   130 ,   68 ,   21 ,   22 ,   15 ,   4 ,- ,- 
,>= 65,   129 ,   97 ,   25 ,   6 ,   1 ,- ,- ,- 
,Velas,,,,,,,,
,Total,   636 ,   323 ,   78 ,   72 ,   82 ,   70 ,   11 ,- 
,15 - 24,   19 ,   4 ,   3 ,   1 ,   8 ,   3 ,- ,- 
,25 - 34,   75 ,   16 ,   8 ,   12 ,   15 ,   21 ,   3 ,- 
,35 - 44,   119 ,   43 ,   7 ,   18 ,   23 ,   24 ,   4 ,- 
,45 - 54,   142 ,   55 ,   19 ,   22 ,   24 ,   19 ,   3 ,- 
,55 - 64,   133 ,   96 ,   14 ,   11 ,   9 ,   2 ,   1 ,- 
,>= 65,   148 ,   109 ,   27 ,   8 ,   3 ,   1 ,- ,- 
Ilha do Pico,,,,,,,,,
Total,,  2 622 ,  1 122 ,   484 ,   425 ,   315 ,   232 ,   44 ,- 
15 - 24,,   22 ,   5 ,   4 ,   5 ,   6 ,   2 ,- ,- 
25 - 34,,   234 ,   64 ,   42 ,   41 ,   43 ,   41 ,   3 ,- 
35 - 44,,   521 ,   150 ,   94 ,   107 ,   84 ,   71 ,   15 ,- 
45 - 54,,   607 ,   204 ,   116 ,   100 ,   95 ,   73 ,   19 ,- 
55 - 64,,   535 ,   249 ,   107 ,   93 ,   57 ,   26 ,   3 ,- 
>= 65,,   703 ,   450 ,   121 ,   79 ,   30 ,   19 ,   4 ,- 
,Lajes do Pico,,,,,,,,
,Total,  1 002 ,   440 ,   197 ,   172 ,   119 ,   70 ,   4 ,- 
,15 - 24,   9 ,   2 ,   1 ,   2 ,   3 ,   1 ,- ,- 
,25 - 34,   104 ,   32 ,   23 ,   18 ,   15 ,   16 ,- ,- 
,35 - 44,   198 ,   60 ,   40 ,   45 ,   29 ,   24 ,- ,- 
,45 - 54,   232 ,   89 ,   45 ,   37 ,   39 ,   19 ,   3 ,- 
,55 - 64,   222 ,   108 ,   38 ,   43 ,   23 ,   9 ,   1 ,- 
,>= 65,   237 ,   149 ,   50 ,   27 ,   10 ,   1 ,- ,- 
,Madalena,,,,,,,,
,Total,  1 075 ,   403 ,   200 ,   171 ,   137 ,   126 ,   38 ,- 
,15 - 24,   11 ,   2 ,   3 ,   3 ,   2 ,   1 ,- ,- 
,25 - 34,   81 ,   21 ,   11 ,   15 ,   13 ,   18 ,   3 ,- 
,35 - 44,   216 ,   51 ,   43 ,   37 ,   38 ,   32 ,   15 ,- 
,45 - 54,   259 ,   81 ,   46 ,   39 ,   35 ,   44 ,   14 ,- 
,55 - 64,   220 ,   86 ,   49 ,   37 ,   31 ,   15 ,   2 ,- 
,>= 65,   288 ,   162 ,   48 ,   40 ,   18 ,   16 ,   4 ,- 
,São Roque do Pico,,,,,,,,
,Total,   545 ,   279 ,   87 ,   82 ,   59 ,   36 ,   2 ,- 
,15 - 24,   2 ,   1 ,- ,- ,   1 ,- ,- ,- 
,25 - 34,   49 ,   11 ,   8 ,   8 ,   15 ,   7 ,- ,- 
,35 - 44,   107 ,   39 ,   11 ,   25 ,   17 ,   15 ,- ,- 
,45 - 54,   116 ,   34 ,   25 ,   24 ,   21 ,   10 ,   2 ,- 
,55 - 64,   93 ,   55 ,   20 ,   13 ,   3 ,   2 ,- ,- 
,>= 65,   178 ,   139 ,   23 ,   12 ,   2 ,   2 ,- ,- 
Ilha do Faial (Horta),,,,,,,,,
Total,,  1 259 ,   601 ,   208 ,   194 ,   166 ,   82 ,   6 ,   2 
15 - 24,,   20 ,   10 ,   1 ,   5 ,   2 ,   1 ,   1 ,- 
25 - 34,,   145 ,   44 ,   21 ,   16 ,   43 ,   21 ,- ,- 
35 - 44,,   260 ,   83 ,   55 ,   56 ,   35 ,   29 ,   2 ,- 
45 - 54,,   348 ,   127 ,   70 ,   66 ,   55 ,   25 ,   3 ,   2 
55 - 64,,   226 ,   147 ,   24 ,   31 ,   20 ,   4 ,- ,- 
>= 65,,   260 ,   190 ,   37 ,   20 ,   11 ,   2 ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,
